Alachua County, Florida, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,55.4,0.2
200002,57.8,0.7
200003,65.4,3.1
200004,65.9,-2.1
200005,76.9,2.2
200006,79.9,0.6
200007,81.4,0.6
200008,81.2,0.5
200009,77.8,-0.5
200010,68.3,-2.2
200011,60.5,-1.3
200012,53.3,-2.8
200101,50.9,-4.3
200102,62.9,5.8
200103,61.8,-0.5
200104,68.3,0.3
200105,74.1,-0.6
200106,79.6,0.3
200107,81.2,0.4
200108,81.3,0.6
200109,76.2,-2.1
200110,69.0,-1.5
200111,66.0,4.2
200112,61.8,5.7
200201,56.6,1.4
200202,56.5,-0.6
200203,65.0,2.7
200204,73.0,5.0
200205,75.6,0.9
200206,79.0,-0.3
200207,80.7,-0.1
200208,80.0,-0.7
200209,80.5,2.2
200210,74.4,3.9
200211,59.9,-1.9
200212,53.7,-2.4
200301,49.1,-6.1
200302,57.9,0.8
200303,67.1,4.8
200304,67.6,-0.4
200305,77.1,2.4
200306,79.3,0.0
200307,80.5,-0.3
200308,80.4,-0.3
200309,77.7,-0.6
200310,71.4,0.9
200311,66.4,4.6
200312,53.0,-3.1
200401,54.1,-1.1
200402,55.9,-1.2
200403,63.9,1.6
200404,65.9,-2.1
200405,76.4,1.7
200406,81.3,2.0
200407,81.7,0.9
200408,80.9,0.2
200409,79.3,1.0
200410,73.1,2.6
200411,64.8,3.0
200412,54.3,-1.8
200501,58.3,3.1
200502,58.8,1.7
200503,61.3,-1.0
200504,66.0,-2.0
200505,72.3,-2.4
200506,79.7,0.4
200507,83.0,2.2
200508,82.8,2.1
200509,80.0,1.7
200510,71.5,1.0
200511,64.7,2.9
200512,53.1,-3.0
200601,58.7,3.5
200602,55.4,-1.7
200603,62.2,-0.1
200604,71.2,3.2
200605,75.4,0.7
200606,79.5,0.2
200607,81.7,0.9
200608,82.9,2.2
200609,78.4,0.1
200610,70.0,-0.5
200611,60.6,-1.2
200612,61.6,5.5
200701,58.0,2.8
200702,55.6,-1.5
200703,64.0,1.7
200704,66.5,-1.5
200705,73.7,-1.0
200706,79.4,0.1
200707,82.2,1.4
200708,83.4,2.7
200709,79.7,1.4
200710,74.5,4.0
200711,61.9,0.1
200712,61.7,5.6
200801,55.8,0.6
200802,59.8,2.7
200803,61.9,-0.4
200804,67.9,-0.1
200805,75.9,1.2
200806,80.7,1.4
200807,81.3,0.5
200808,80.9,0.2
200809,78.8,0.5
200810,69.6,-0.9
200811,58.8,-3.0
200812,59.7,3.6
200901,54.5,-0.7
200902,54.3,-2.8
200903,64.1,1.8
200904,67.6,-0.4
200905,75.9,1.2
200906,82.1,2.8
200907,81.5,0.7
200908,81.9,1.2
200909,79.7,1.4
200910,73.7,3.2
200911,63.7,1.9
200912,57.9,1.8
201001,49.8,-5.4
201002,50.1,-7.0
201003,57.5,-4.8
201004,68.4,0.4
201005,78.2,3.5
201006,82.6,3.3
201007,83.5,2.7
201008,83.3,2.6
201009,79.8,1.5
201010,69.8,-0.7
201011,62.3,0.5
201012,47.3,-8.8
201101,51.3,-3.9
201102,60.4,3.3
201103,64.7,2.4
201104,71.4,3.4
201105,76.1,1.4
201106,82.3,3.0
201107,82.1,1.3
201108,83.5,2.8
201109,79.0,0.7
201110,68.3,-2.2
201111,63.6,1.8
201112,60.0,3.9
201201,56.6,1.4
201202,61.5,4.4
201203,69.1,6.8
201204,70.3,2.3
201205,76.7,2.0
201206,78.7,-0.6
201207,82.0,1.2
201208,80.5,-0.2
201209,78.8,0.5
201210,71.5,1.0
201211,59.2,-2.6
201212,58.9,2.8
201301,61.4,6.2
201302,58.8,1.7
201303,56.3,-6.0
201304,69.7,1.7
201305,73.3,-1.4
201306,80.8,1.5
201307,80.8,0.0
201308,82.2,1.5
201309,79.4,1.1
201310,72.0,1.5
201311,64.1,2.3
201312,62.0,5.9
201401,49.9,-5.3
201402,58.3,1.2
201403,59.9,-2.4
201404,68.6,0.6
201405,74.1,-0.6
201406,79.0,-0.3
201407,80.7,-0.1
201408,81.5,0.8
201409,78.2,-0.1
201410,69.8,-0.7
201411,57.6,-4.2
201412,59.0,2.9
201501,54.6,-0.6
201502,52.5,-4.6
201503,67.4,5.1
201504,73.1,5.1
201505,76.1,1.4
201506,81.2,1.9
201507,82.3,1.5
201508,81.4,0.7
201509,78.8,0.5
201510,72.2,1.7
201511,69.9,8.1
201512,67.1,11.0
201601,52.7,-2.5
201602,56.2,-0.9
201603,66.3,4.0
201604,69.4,1.4
201605,75.1,0.4
201606,81.5,2.2
201607,83.7,2.9
201608,82.8,2.1
201609,80.3,2.0
201610,72.8,2.3
201611,64.1,2.3
201612,63.1,7.0
201701,60.5,5.3
201702,63.0,5.9
201703,63.7,1.4
201704,70.8,2.8
201705,76.2,1.5
201706,79.1,-0.2
201707,81.7,0.9
201708,81.8,1.1
201709,78.7,0.4
201710,72.7,2.2
201711,63.9,2.1
201712,58.0,1.9
201801,50.3,-4.9
201802,66.8,9.7
201803,60.5,-1.8
201804,68.3,0.3
201805,76.2,1.5
201806,81.3,2.0
201807,81.7,0.9
201808,82.1,1.4
201809,82.3,4.0
201810,75.4,4.9
201811,64.1,2.3
201812,59.1,3.0
201901,55.7,0.5
201902,65.2,8.1
201903,64.0,1.7
201904,69.4,1.4
201905,78.9,4.2
201906,81.8,2.5
201907,82.3,1.5
201908,82.4,1.7
201909,81.2,2.9
201910,76.4,5.9
201911,61.3,-0.5
201912,60.8,4.7
202001,58.8,3.6
