Bradford County, Florida, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,54.8,0.3
200002,57.0,0.6
200003,64.9,3.2
200004,65.4,-2.0
200005,76.7,2.5
200006,79.8,0.8
200007,81.2,0.6
200008,80.8,0.4
200009,77.5,-0.3
200010,67.7,-2.2
200011,60.0,-1.3
200012,52.0,-3.4
200101,50.1,-4.4
200102,62.0,5.6
200103,61.2,-0.5
200104,67.9,0.5
200105,73.8,-0.4
200106,79.3,0.3
200107,81.3,0.7
200108,81.0,0.6
200109,75.8,-2.0
200110,68.4,-1.5
200111,65.4,4.1
200112,61.4,6.0
200201,55.7,1.2
200202,56.3,-0.1
200203,64.3,2.6
200204,72.8,5.4
200205,74.9,0.7
200206,78.8,-0.2
200207,80.6,0.0
200208,79.6,-0.8
200209,79.9,2.1
200210,74.0,4.1
200211,59.7,-1.6
200212,53.3,-2.1
200301,48.6,-5.9
200302,57.3,0.9
200303,66.6,4.9
200304,67.1,-0.3
200305,76.8,2.6
200306,79.1,0.1
200307,80.4,-0.2
200308,80.4,0.0
200309,77.2,-0.6
200310,70.9,1.0
200311,66.0,4.7
200312,52.3,-3.1
200401,53.4,-1.1
200402,54.7,-1.7
200403,63.5,1.8
200404,65.6,-1.8
200405,75.9,1.7
200406,81.0,2.0
200407,81.5,0.9
200408,80.5,0.1
200409,78.7,0.9
200410,72.4,2.5
200411,64.5,3.2
200412,54.0,-1.4
200501,57.5,3.0
200502,58.2,1.8
200503,60.8,-0.9
200504,65.2,-2.2
200505,72.2,-2.0
200506,79.5,0.5
200507,82.8,2.2
200508,82.7,2.3
200509,79.6,1.8
200510,70.9,1.0
200511,64.3,3.0
200512,52.7,-2.7
200601,58.1,3.6
200602,55.0,-1.4
200603,61.8,0.1
200604,70.7,3.3
200605,75.1,0.9
200606,79.2,0.2
200607,81.5,0.9
200608,82.8,2.4
200609,78.4,0.6
200610,69.2,-0.7
200611,60.1,-1.2
200612,61.0,5.6
200701,57.4,2.9
200702,55.4,-1.0
200703,63.6,1.9
200704,65.9,-1.5
200705,73.1,-1.1
200706,78.9,-0.1
200707,81.8,1.2
200708,83.2,2.8
200709,79.1,1.3
200710,74.1,4.2
200711,61.2,-0.1
200712,60.9,5.5
200801,54.8,0.3
200802,59.7,3.3
200803,61.3,-0.4
200804,67.5,0.1
200805,75.4,1.2
200806,80.4,1.4
200807,80.9,0.3
200808,80.5,0.1
200809,78.1,0.3
200810,68.6,-1.3
200811,58.1,-3.2
200812,59.0,3.6
200901,54.2,-0.3
200902,53.9,-2.5
200903,63.5,1.8
200904,67.2,-0.2
200905,75.6,1.4
200906,82.0,3.0
200907,81.2,0.6
200908,81.6,1.2
200909,79.1,1.3
200910,73.3,3.4
200911,63.5,2.2
200912,57.0,1.6
201001,49.3,-5.2
201002,50.0,-6.4
201003,57.1,-4.6
201004,68.0,0.6
201005,77.8,3.6
201006,82.3,3.3
201007,83.1,2.5
201008,83.1,2.7
201009,79.4,1.6
201010,69.6,-0.3
201011,61.7,0.4
201012,46.6,-8.8
201101,50.2,-4.3
201102,59.8,3.4
201103,64.4,2.7
201104,70.9,3.5
201105,75.4,1.2
201106,82.1,3.1
201107,82.0,1.4
201108,83.4,3.0
201109,78.6,0.8
201110,67.9,-2.0
201111,63.2,1.9
201112,59.6,4.2
201201,56.1,1.6
201202,60.9,4.5
201203,68.7,7.0
201204,69.8,2.4
201205,76.3,2.1
201206,78.3,-0.7
201207,82.3,1.7
201208,80.2,-0.2
201209,78.5,0.7
201210,71.0,1.1
201211,58.7,-2.6
201212,58.7,3.3
201301,60.8,6.3
201302,58.2,1.8
201303,55.8,-5.9
201304,68.0,0.6
201305,72.5,-1.7
201306,80.3,1.3
201307,80.2,-0.4
201308,81.6,1.2
201309,78.6,0.8
201310,71.0,1.1
201311,62.8,1.5
201312,61.2,5.8
201401,49.7,-4.8
201402,58.2,1.8
201403,59.5,-2.2
201404,68.5,1.1
201405,74.0,-0.2
201406,79.2,0.2
201407,80.8,0.2
201408,81.5,1.1
201409,77.9,0.1
201410,69.7,-0.2
201411,57.3,-4.0
201412,58.8,3.4
201501,53.9,-0.6
201502,52.4,-4.0
201503,66.9,5.2
201504,73.0,5.6
201505,75.5,1.3
201506,81.2,2.2
201507,82.4,1.8
201508,81.5,1.1
201509,78.5,0.7
201510,71.6,1.7
201511,69.6,8.3
201512,67.0,11.6
201601,52.3,-2.2
201602,56.0,-0.4
201603,66.2,4.5
201604,68.9,1.5
201605,74.8,0.6
201606,81.4,2.4
201607,83.6,3.0
201608,82.8,2.4
201609,79.9,2.1
201610,72.3,2.4
201611,63.9,2.6
201612,61.9,6.5
201701,60.0,5.5
201702,62.6,6.2
201703,63.0,1.3
201704,70.4,3.0
201705,75.7,1.5
201706,78.5,-0.5
201707,81.6,1.0
201708,81.2,0.8
201709,78.2,0.4
201710,72.4,2.5
201711,63.3,2.0
201712,57.5,2.1
201801,49.7,-4.8
201802,65.9,9.5
201803,60.1,-1.6
201804,67.2,-0.2
201805,75.4,1.2
201806,80.8,1.8
201807,81.0,0.4
201808,81.6,1.2
201809,81.8,4.0
201810,74.4,4.5
201811,63.0,1.7
201812,58.5,3.1
201901,55.5,1.0
201902,64.4,8.0
201903,63.2,1.5
201904,69.2,1.8
201905,78.5,4.3
201906,81.4,2.4
201907,81.9,1.3
201908,82.0,1.6
201909,80.4,2.6
201910,75.3,5.4
201911,60.8,-0.5
201912,60.6,5.2
202001,58.9,4.4
