Gadsden County, Florida, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,52.1,0.8
200002,55.6,2.0
200003,62.3,2.5
200004,64.1,-2.2
200005,77.3,3.5
200006,80.2,1.1
200007,83.4,2.8
200008,81.2,0.9
200009,76.0,-1.3
200010,67.5,-0.5
200011,57.7,-0.8
200012,47.4,-4.9
200101,46.8,-4.5
200102,58.9,5.3
200103,58.0,-1.8
200104,66.9,0.6
200105,72.9,-0.9
200106,78.6,-0.5
200107,80.4,-0.2
200108,78.8,-1.5
200109,74.3,-3.0
200110,66.2,-1.8
200111,63.2,4.7
200112,57.0,4.7
200201,52.8,1.5
200202,51.4,-2.2
200203,60.1,0.3
200204,71.3,5.0
200205,74.2,0.4
200206,79.3,0.2
200207,81.1,0.5
200208,80.1,-0.2
200209,79.3,2.0
200210,72.3,4.3
200211,56.4,-2.1
200212,50.0,-2.3
200301,46.0,-5.3
200302,54.1,0.5
200303,64.0,4.2
200304,65.3,-1.0
200305,75.3,1.5
200306,78.8,-0.3
200307,79.3,-1.3
200308,79.7,-0.6
200309,75.6,-1.7
200310,68.1,0.1
200311,62.9,4.4
200312,48.0,-4.3
200401,49.4,-1.9
200402,50.7,-2.9
200403,61.3,1.5
200404,63.5,-2.8
200405,74.9,1.1
200406,79.5,0.4
200407,80.7,0.1
200408,80.3,0.0
200409,76.9,-0.4
200410,71.6,3.6
200411,61.9,3.4
200412,51.0,-1.3
200501,54.4,3.1
200502,56.2,2.6
200503,57.5,-2.3
200504,63.0,-3.3
200505,71.2,-2.6
200506,78.9,-0.2
200507,81.9,1.3
200508,81.2,0.9
200509,79.0,1.7
200510,69.3,1.3
200511,62.3,3.8
200512,50.2,-2.1
200601,56.9,5.6
200602,52.1,-1.5
200603,60.6,0.8
200604,70.1,3.8
200605,73.0,-0.8
200606,79.1,0.0
200607,82.2,1.6
200608,82.4,2.1
200609,75.7,-1.6
200610,66.6,-1.4
200611,58.0,-0.5
200612,56.2,3.9
200701,53.2,1.9
200702,51.6,-2.0
200703,62.2,2.4
200704,64.4,-1.9
200705,73.5,-0.3
200706,79.5,0.4
200707,81.9,1.3
200708,83.5,3.2
200709,78.3,1.0
200710,71.4,3.4
200711,57.9,-0.6
200712,57.4,5.1
200801,49.4,-1.9
200802,54.4,0.8
200803,58.7,-1.1
200804,65.6,-0.7
200805,74.7,0.9
200806,80.2,1.1
200807,80.4,-0.2
200808,79.7,-0.6
200809,76.6,-0.7
200810,65.5,-2.5
200811,55.3,-3.2
200812,56.0,3.7
200901,51.4,0.1
200902,50.2,-3.4
200903,60.5,0.7
200904,65.8,-0.5
200905,74.4,0.6
200906,81.9,2.8
200907,79.6,-1.0
200908,79.5,-0.8
200909,77.7,0.4
200910,70.6,2.6
200911,58.4,-0.1
200912,52.3,0.0
201001,46.2,-5.1
201002,45.1,-8.5
201003,54.7,-5.1
201004,67.0,0.7
201005,76.9,3.1
201006,82.4,3.3
201007,83.0,2.4
201008,83.0,2.7
201009,79.5,2.2
201010,67.4,-0.6
201011,58.4,-0.1
201012,43.7,-8.6
201101,45.4,-5.9
201102,54.1,0.5
201103,61.9,2.1
201104,68.9,2.6
201105,73.9,0.1
201106,83.5,4.4
201107,82.3,1.7
201108,83.3,3.0
201109,76.2,-1.1
201110,64.8,-3.2
201111,60.1,1.6
201112,55.6,3.3
201201,54.7,3.4
201202,57.6,4.0
201203,67.3,7.5
201204,68.6,2.3
201205,76.1,2.3
201206,78.1,-1.0
201207,82.7,2.1
