Lee County, Florida, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,63.8,0.4
200002,65.2,0.8
200003,71.7,3.7
200004,71.8,-0.6
200005,78.6,1.6
200006,81.6,1.1
200007,83.0,1.1
200008,82.5,0.3
200009,82.1,1.1
200010,74.6,-1.6
200011,68.7,-0.6
200012,64.1,-0.5
200101,58.3,-5.1
200102,71.1,6.7
200103,69.4,1.4
200104,73.2,0.8
200105,76.6,-0.4
200106,81.5,1.0
200107,82.0,0.1
200108,82.8,0.6
200109,79.6,-1.4
200110,76.0,-0.2
200111,71.2,1.9
200112,68.9,4.3
200201,65.2,1.8
200202,65.0,0.6
200203,71.8,3.8
200204,76.1,3.7
200205,79.2,2.2
200206,80.7,0.2
200207,82.5,0.6
200208,82.6,0.4
200209,82.6,1.6
200210,79.7,3.5
200211,68.7,-0.6
200212,63.4,-1.2
200301,57.5,-5.9
200302,68.0,3.6
200303,75.1,7.1
200304,73.1,0.7
200305,80.2,3.2
200306,82.1,1.6
200307,83.3,1.4
200308,82.5,0.3
200309,81.9,0.9
200310,78.2,2.0
200311,73.4,4.1
200312,62.3,-2.3
200401,62.4,-1.0
200402,66.3,1.9
200403,69.3,1.3
200404,70.9,-1.5
200405,77.9,0.9
200406,82.6,2.1
200407,82.6,0.7
200408,83.0,0.8
200409,81.7,0.7
200410,77.5,1.3
200411,71.4,2.1
200412,64.2,-0.4
200501,64.3,0.9
200502,65.5,1.1
200503,68.1,0.1
200504,70.3,-2.1
200505,77.3,0.3
200506,80.5,0.0
200507,84.3,2.4
200508,84.4,2.2
200509,82.4,1.4
200510,78.1,1.9
200511,72.6,3.3
200512,64.0,-0.6
200601,65.0,1.6
200602,63.4,-1.0
200603,69.1,1.1
200604,74.9,2.5
200605,77.8,0.8
200606,82.0,1.5
200607,82.2,0.3
200608,83.2,1.0
200609,81.9,0.9
200610,76.4,0.2
200611,69.0,-0.3
200612,70.6,6.0
200701,67.6,4.2
200702,64.1,-0.3
200703,70.6,2.6
200704,72.6,0.2
200705,77.1,0.1
200706,81.1,0.6
200707,83.2,1.3
200708,84.2,2.0
200709,82.5,1.5
200710,80.7,4.5
200711,70.4,1.1
200712,70.4,5.8
200801,64.6,1.2
200802,70.1,5.7
200803,70.0,2.0
200804,73.5,1.1
200805,79.0,2.0
200806,82.0,1.5
200807,82.2,0.3
200808,83.5,1.3
200809,82.1,1.1
200810,75.7,-0.5
200811,66.6,-2.7
200812,66.9,2.3
200901,62.5,-0.9
200902,63.2,-1.2
200903,69.3,1.3
200904,73.8,1.4
200905,79.2,2.2
200906,82.9,2.4
200907,83.6,1.7
200908,83.9,1.7
200909,82.9,1.9
200910,78.9,2.7
200911,71.8,2.5
200912,67.8,3.2
201001,58.7,-4.7
201002,59.0,-5.4
201003,62.8,-5.2
201004,72.3,-0.1
201005,80.8,3.8
201006,84.9,4.4
201007,84.1,2.2
201008,84.3,2.1
201009,82.8,1.8
201010,76.7,0.5
201011,70.6,1.3
201012,56.1,-8.5
201101,62.3,-1.1
201102,67.6,3.2
201103,70.3,2.3
201104,77.2,4.8
201105,79.4,2.4
201106,82.4,1.9
201107,83.5,1.6
201108,84.1,1.9
201109,82.9,1.9
201110,75.5,-0.7
201111,72.1,2.8
201112,68.8,4.2
201201,64.1,0.7
201202,70.3,5.9
201203,73.0,5.0
201204,74.1,1.7
201205,80.1,3.1
201206,81.3,0.8
201207,83.3,1.4
201208,83.6,1.4
201209,82.0,1.0
201210,77.9,1.7
201211,67.4,-1.9
201212,67.7,3.1
201301,69.5,6.1
201302,67.4,3.0
201303,63.7,-4.3
201304,76.2,3.8
201305,76.8,-0.2
201306,82.1,1.6
201307,82.0,0.1
201308,83.3,1.1
201309,81.5,0.5
201310,78.4,2.2
201311,73.7,4.4
201312,71.4,6.8
201401,62.7,-0.7
201402,70.2,5.8
201403,69.1,1.1
201404,74.2,1.8
201405,78.7,1.7
201406,81.5,1.0
201407,83.2,1.3
201408,84.2,2.0
201409,81.4,0.4
201410,76.9,0.7
201411,67.6,-1.7
201412,67.3,2.7
201501,65.8,2.4
201502,62.9,-1.5
201503,73.7,5.7
201504,78.1,5.7
201505,79.3,2.3
201506,82.2,1.7
201507,82.5,0.6
201508,82.9,0.7
201509,81.8,0.8
201510,78.3,2.1
201511,76.9,7.6
201512,74.1,9.5
201601,62.7,-0.7
201602,63.9,-0.5
201603,71.9,3.9
201604,74.4,2.0
201605,78.2,1.2
201606,82.5,2.0
201607,84.1,2.2
201608,83.7,1.5
201609,82.9,1.9
201610,77.9,1.7
201611,70.5,1.2
201612,72.4,7.8
201701,67.1,3.7
201702,70.2,5.8
201703,70.6,2.6
201704,75.0,2.6
201705,79.8,2.8
201706,81.8,1.3
201707,83.6,1.7
201708,84.0,1.8
201709,82.9,1.9
201710,77.5,1.3
201711,73.2,3.9
201712,68.2,3.6
201801,62.0,-1.4
201802,73.6,9.2
201803,67.2,-0.8
201804,75.3,2.9
201805,77.6,0.6
201806,82.9,2.4
201807,83.5,1.6
201808,83.0,0.8
201809,83.1,2.1
201810,79.3,3.1
201811,72.9,3.6
201812,67.2,2.6
201901,62.8,-0.6
201902,72.2,7.8
201903,70.2,2.2
201904,74.8,2.4
201905,80.5,3.5
201906,83.2,2.7
201907,83.4,1.5
201908,83.6,1.4
201909,82.9,1.9
201910,81.5,5.3
201911,71.6,2.3
201912,69.2,4.6
202001,66.2,2.8
