Monroe County, Florida, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,67.7,1.3
200002,68.5,1.4
200003,73.6,3.6
200004,73.9,0.2
200005,78.8,1.6
200006,81.7,0.9
200007,83.4,1.2
200008,83.1,0.5
200009,83.4,1.8
200010,76.9,-0.9
200011,72.5,0.5
200012,67.9,0.3
200101,61.2,-5.2
200102,73.0,5.9
200103,72.0,2.0
200104,74.6,0.9
200105,76.8,-0.4
200106,82.0,1.2
200107,82.4,0.2
200108,84.0,1.4
200109,81.7,0.1
200110,78.8,1.0
200111,73.8,1.8
200112,72.5,4.9
200201,69.2,2.8
200202,68.9,1.8
200203,73.8,3.8
200204,77.1,3.4
200205,79.7,2.5
200206,80.7,-0.1
200207,83.3,1.1
200208,83.5,0.9
200209,83.3,1.7
200210,81.3,3.5
200211,72.2,0.2
200212,68.5,0.9
200301,61.2,-5.2
200302,70.9,3.8
200303,77.5,7.5
200304,74.2,0.5
200305,81.4,4.2
200306,82.6,1.8
200307,84.0,1.8
200308,83.3,0.7
200309,83.2,1.6
200310,80.6,2.8
200311,75.6,3.6
200312,66.0,-1.6
200401,66.0,-0.4
200402,69.9,2.8
200403,71.7,1.7
200404,72.5,-1.2
200405,78.2,1.0
200406,83.2,2.4
200407,82.4,0.2
200408,83.8,1.2
200409,82.6,1.0
200410,79.2,1.4
200411,74.2,2.2
200412,68.0,0.4
200501,67.0,0.6
200502,67.6,0.5
200503,70.4,0.4
200504,72.2,-1.5
200505,77.8,0.6
200506,81.7,0.9
200507,85.3,3.1
200508,85.4,2.8
200509,83.2,1.6
200510,79.2,1.4
200511,74.9,2.9
200512,68.6,1.0
200601,67.7,1.3
200602,67.0,-0.1
200603,71.0,1.0
200604,75.3,1.6
200605,78.0,0.8
200606,81.9,1.1
200607,82.7,0.5
200608,84.0,1.4
200609,83.2,1.6
200610,78.7,0.9
200611,71.4,-0.6
200612,73.4,5.8
200701,71.2,4.8
200702,67.4,0.3
200703,72.2,2.2
200704,73.8,0.1
200705,77.5,0.3
200706,81.4,0.6
200707,84.5,2.3
200708,84.9,2.3
200709,83.1,1.5
200710,81.6,3.8
200711,73.5,1.5
200712,73.0,5.4
200801,67.7,1.3
200802,72.7,5.6
200803,72.4,2.4
200804,74.3,0.6
200805,79.1,1.9
200806,82.5,1.7
200807,82.8,0.6
200808,83.7,1.1
200809,82.7,1.1
200810,77.6,-0.2
200811,69.9,-2.1
200812,69.7,2.1
200901,65.5,-0.9
200902,65.3,-1.8
200903,69.9,-0.1
200904,74.8,1.1
200905,78.7,1.5
200906,82.2,1.4
200907,84.1,1.9
200908,84.6,2.0
200909,83.8,2.2
200910,81.1,3.3
200911,74.2,2.2
200912,70.8,3.2
201001,61.2,-5.2
201002,62.5,-4.6
201003,65.2,-4.8
201004,74.0,0.3
201005,81.1,3.9
201006,85.3,4.5
201007,84.2,2.0
201008,84.4,1.8
201009,83.3,1.7
201010,78.4,0.6
201011,72.6,0.6
201012,60.0,-7.6
201101,65.3,-1.1
201102,69.6,2.5
201103,71.4,1.4
201104,77.5,3.8
201105,79.6,2.4
201106,82.2,1.4
201107,84.1,1.9
201108,84.4,1.8
201109,83.5,1.9
201110,77.9,0.1
201111,74.4,2.4
201112,71.2,3.6
201201,67.2,0.8
201202,72.0,4.9
201203,74.4,4.4
201204,74.3,0.6
201205,79.1,1.9
201206,81.8,1.0
201207,83.3,1.1
201208,83.9,1.3
201209,82.4,0.8
201210,79.1,1.3
201211,70.4,-1.6
201212,70.8,3.2
201301,72.5,6.1
201302,70.6,3.5
201303,66.7,-3.3
201304,77.5,3.8
201305,78.2,1.0
201306,83.1,2.3
201307,82.9,0.7
201308,83.8,1.2
201309,82.9,1.3
201310,80.4,2.6
201311,76.3,4.3
201312,74.6,7.0
201401,66.8,0.4
201402,73.4,6.3
201403,71.9,1.9
201404,76.0,2.3
201405,79.1,1.9
201406,81.5,0.7
201407,83.9,1.7
201408,85.0,2.4
201409,82.3,0.7
201410,79.0,1.2
201411,71.4,-0.6
201412,69.9,2.3
201501,69.6,3.2
201502,66.6,-0.5
201503,75.3,5.3
201504,78.8,5.1
201505,79.5,2.3
201506,82.9,2.1
201507,83.8,1.6
201508,84.6,2.0
201509,83.9,2.3
201510,81.0,3.2
201511,79.2,7.2
201512,77.6,10.0
201601,67.1,0.7
201602,67.5,0.4
201603,74.9,4.9
201604,75.6,1.9
201605,79.5,2.3
201606,83.5,2.7
201607,85.1,2.9
201608,84.6,2.0
201609,84.0,2.4
201610,80.1,2.3
201611,73.9,1.9
201612,75.7,8.1
201701,69.6,3.2
201702,71.8,4.7
201703,71.8,1.8
201704,76.1,2.4
201705,80.2,3.0
201706,83.0,2.2
201707,84.6,2.4
201708,84.8,2.2
201709,84.3,2.7
201710,79.6,1.8
201711,75.9,3.9
201712,70.2,2.6
201801,66.2,-0.2
201802,75.5,8.4
201803,69.6,-0.4
201804,76.2,2.5
201805,78.4,1.2
201806,82.9,2.1
201807,84.3,2.1
201808,84.1,1.5
201809,83.9,2.3
201810,81.2,3.4
201811,76.3,4.3
201812,71.4,3.8
201901,67.6,1.2
201902,75.2,8.1
201903,73.3,3.3
201904,77.6,3.9
201905,81.8,4.6
201906,85.2,4.4
201907,85.4,3.2
201908,85.3,2.7
201909,84.3,2.7
201910,83.0,5.2
201911,75.1,3.1
201912,72.6,5.0
202001,69.7,3.3
