Seminole County, Florida, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,60.0,0.6
200002,61.9,1.1
200003,69.4,4.2
200004,69.9,-0.2
200005,78.1,2.3
200006,81.1,1.1
200007,82.7,1.2
200008,82.3,0.7
200009,81.2,1.4
200010,72.5,-1.1
200011,64.9,-0.9
200012,58.5,-1.9
200101,55.5,-3.9
200102,66.7,5.9
200103,66.1,0.9
200104,70.8,0.7
200105,76.1,0.3
200106,80.8,0.8
200107,81.7,0.2
200108,82.1,0.5
200109,78.2,-1.6
200110,73.3,-0.3
200111,69.2,3.4
200112,66.4,6.0
200201,61.2,1.8
200202,61.5,0.7
200203,68.9,3.7
200204,74.3,4.2
200205,77.4,1.6
200206,79.7,-0.3
200207,82.1,0.6
200208,81.7,0.1
200209,82.1,2.3
200210,78.2,4.6
200211,65.5,-0.3
200212,59.1,-1.3
200301,54.1,-5.3
200302,63.6,2.8
200303,71.6,6.4
200304,70.8,0.7
200305,79.7,3.9
200306,80.4,0.4
200307,82.3,0.8
200308,81.4,-0.2
200309,80.0,0.2
200310,75.3,1.7
200311,70.6,4.8
200312,58.7,-1.7
200401,58.9,-0.5
200402,61.4,0.6
200403,66.6,1.4
200404,68.5,-1.6
200405,77.0,1.2
200406,82.6,2.6
200407,82.8,1.3
200408,82.4,0.8
200409,81.3,1.5
200410,75.2,1.6
200411,69.6,3.8
200412,60.3,-0.1
200501,61.7,2.3
200502,63.0,2.2
200503,63.9,-1.3
200504,68.0,-2.1
200505,75.3,-0.5
200506,80.2,0.2
200507,84.3,2.8
200508,84.8,3.2
200509,81.1,1.3
200510,74.9,1.3
200511,69.1,3.3
200512,58.9,-1.5
200601,62.0,2.6
200602,59.8,-1.0
200603,66.4,1.2
200604,73.9,3.8
200605,77.4,1.6
200606,80.9,0.9
200607,82.4,0.9
200608,83.5,1.9
200609,80.7,0.9
200610,73.5,-0.1
200611,65.3,-0.5
200612,66.5,6.1
200701,63.4,4.0
200702,59.5,-1.3
200703,67.2,2.0
200704,70.0,-0.1
200705,75.2,-0.6
200706,80.5,0.5
200707,83.2,1.7
200708,84.5,2.9
200709,81.5,1.7
200710,78.1,4.5
200711,67.4,1.6
200712,66.8,6.4
200801,60.6,1.2
200802,65.3,4.5
200803,66.2,1.0
200804,70.5,0.4
200805,77.7,1.9
200806,81.6,1.6
200807,81.9,0.4
200808,81.9,0.3
200809,80.9,1.1
200810,73.3,-0.3
200811,63.3,-2.5
200812,63.8,3.4
200901,58.7,-0.7
200902,59.4,-1.4
200903,67.2,2.0
200904,70.5,0.4
200905,78.0,2.2
200906,82.4,2.4
200907,82.5,1.0
200908,83.4,1.8
200909,81.3,1.5
200910,77.0,3.4
200911,68.8,3.0
200912,62.9,2.5
201001,53.7,-5.7
201002,53.7,-7.1
201003,60.4,-4.8
201004,70.4,0.3
201005,79.0,3.2
201006,83.5,3.5
201007,84.0,2.5
201008,84.0,2.4
201009,81.3,1.5
201010,73.8,0.2
201011,66.9,1.1
201012,51.0,-9.4
201101,57.6,-1.8
201102,63.9,3.1
201103,67.6,2.4
201104,74.2,4.1
201105,77.6,1.8
201106,81.7,1.7
201107,82.9,1.4
201108,84.3,2.7
201109,81.4,1.6
201110,71.7,-1.9
201111,68.2,2.4
201112,65.0,4.6
201201,60.1,0.7
201202,66.3,5.5
201203,71.5,6.3
201204,72.6,2.5
201205,78.2,2.4
201206,79.2,-0.8
201207,83.1,1.6
201208,82.4,0.8
201209,80.6,0.8
201210,74.5,0.9
201211,63.5,-2.3
201212,63.3,2.9
201301,65.4,6.0
201302,63.8,3.0
201303,60.4,-4.8
201304,72.6,2.5
201305,74.4,-1.4
201306,80.8,0.8
201307,80.9,-0.6
201308,82.8,1.2
201309,80.4,0.6
201310,75.5,1.9
201311,69.6,3.8
201312,66.6,6.2
201401,56.6,-2.8
201402,64.0,3.2
201403,65.4,0.2
201404,71.7,1.6
201405,77.0,1.2
201406,80.4,0.4
201407,82.6,1.1
201408,83.6,2.0
201409,80.5,0.7
201410,74.3,0.7
201411,63.6,-2.2
201412,63.7,3.3
201501,60.3,0.9
201502,58.5,-2.3
201503,71.0,5.8
201504,76.3,6.2
201505,78.1,2.3
201506,82.0,2.0
201507,83.2,1.7
201508,82.8,1.2
201509,81.0,1.2
201510,75.5,1.9
201511,74.3,8.5
201512,71.6,11.2
201601,58.4,-1.0
201602,60.4,-0.4
201603,70.2,5.0
201604,71.9,1.8
201605,77.0,1.2
201606,82.6,2.6
201607,85.2,3.7
201608,83.8,2.2
201609,81.6,1.8
201610,75.4,1.8
201611,67.7,1.9
201612,67.7,7.3
201701,64.0,4.6
201702,66.2,5.4
201703,67.3,2.1
201704,73.2,3.1
201705,78.4,2.6
201706,80.8,0.8
201707,83.3,1.8
201708,83.5,1.9
201709,81.4,1.6
201710,75.9,2.3
201711,69.2,3.4
201712,64.1,3.7
201801,56.9,-2.5
201802,70.7,9.9
201803,63.8,-1.4
201804,71.6,1.5
201805,76.0,0.2
201806,81.6,1.6
201807,82.6,1.1
201808,82.9,1.3
201809,83.2,3.4
201810,77.5,3.9
201811,69.1,3.3
201812,62.9,2.5
201901,59.8,0.4
201902,68.8,8.0
201903,67.1,1.9
201904,72.4,2.3
201905,79.0,3.2
201906,82.6,2.6
201907,83.3,1.8
201908,83.3,1.7
201909,81.4,1.6
201910,78.7,5.1
201911,67.1,1.3
201912,65.5,5.1
202001,63.3,3.9
