Fulton County, Georgia, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,42.0,0.5
200002,48.9,4.7
200003,55.7,4.2
200004,57.2,-2.6
200005,71.2,2.8
200006,76.1,0.5
200007,79.9,1.5
200008,78.3,0.8
200009,69.7,-2.4
200010,62.0,0.9
200011,49.8,-0.8
200012,35.8,-7.0
200101,39.8,-1.7
200102,49.1,4.9
200103,49.2,-2.3
200104,61.9,2.1
200105,68.4,0.0
200106,73.6,-2.0
200107,77.9,-0.5
200108,77.8,0.3
200109,69.6,-2.5
200110,58.7,-2.4
200111,57.4,6.8
200112,48.9,6.1
200201,44.8,3.3
200202,44.8,0.6
200203,52.8,1.3
200204,64.3,4.5
200205,66.8,-1.6
200206,75.4,-0.2
200207,79.6,1.2
200208,79.0,1.5
200209,74.5,2.4
200210,64.4,3.3
200211,48.9,-1.7
200212,42.3,-0.5
200301,38.4,-3.1
200302,45.0,0.8
200303,55.0,3.5
200304,60.3,0.5
200305,67.8,-0.6
200306,73.2,-2.4
200307,77.1,-1.3
200308,78.2,0.7
200309,70.7,-1.4
200310,61.3,0.2
200311,56.3,5.7
200312,41.6,-1.2
200401,41.3,-0.2
200402,42.4,-1.8
200403,56.8,5.3
200404,60.1,0.3
200405,71.3,2.9
200406,75.4,-0.2
200407,78.2,-0.2
200408,75.4,-2.1
200409,70.6,-1.5
200410,65.2,4.1
200411,54.9,4.3
200412,43.3,0.5
200501,46.3,4.8
200502,47.7,3.5
200503,50.8,-0.7
200504,59.0,-0.8
200505,65.0,-3.4
200506,74.3,-1.3
200507,79.0,0.6
200508,78.8,1.3
200509,75.0,2.9
200510,62.9,1.8
200511,53.4,2.8
200512,40.7,-2.1
200601,48.2,6.7
200602,43.0,-1.2
200603,53.2,1.7
200604,64.9,5.1
200605,67.9,-0.5
200606,75.8,0.2
200607,80.2,1.8
200608,80.5,3.0
200609,70.1,-2.0
200610,59.3,-1.8
200611,51.5,0.9
200612,48.3,5.5
200701,45.2,3.7
200702,42.8,-1.4
200703,58.4,6.9
200704,58.0,-1.8
200705,69.0,0.6
200706,77.3,1.7
200707,76.9,-1.5
200708,83.2,5.7
200709,74.2,2.1
200710,64.5,3.4
200711,51.1,0.5
200712,49.2,6.4
200801,41.0,-0.5
200802,46.6,2.4
200803,52.4,0.9
200804,59.8,0.0
200805,67.7,-0.7
200806,77.8,2.2
200807,78.1,-0.3
200808,77.1,-0.4
200809,72.5,0.4
200810,59.7,-1.4
200811,48.3,-2.3
200812,47.0,4.2
200901,42.2,0.7
200902,45.4,1.2
200903,53.5,2.0
200904,58.8,-1.0
200905,68.8,0.4
200906,78.0,2.4
200907,76.6,-1.8
200908,77.5,0.0
200909,71.6,-0.5
200910,59.5,-1.6
200911,52.7,2.1
200912,41.5,-1.3
201001,37.6,-3.9
201002,38.5,-5.7
201003,49.5,-2.0
201004,62.9,3.1
201005,71.4,3.0
201006,79.6,4.0
201007,80.8,2.4
201008,81.5,4.0
201009,75.1,3.0
201010,62.4,1.3
201011,52.6,2.0
201012,36.8,-6.0
201101,38.8,-2.7
201102,47.9,3.7
201103,54.6,3.1
201104,63.1,3.3
201105,68.6,0.2
201106,79.2,3.6
201107,80.9,2.5
201108,80.8,3.3
201109,70.8,-1.3
201110,59.2,-1.9
201111,53.5,2.9
201112,48.2,5.4
201201,46.8,5.3
201202,49.5,5.3
201203,62.6,11.1
201204,63.7,3.9
201205,71.9,3.5
201206,75.2,-0.4
201207,81.7,3.3
201208,77.0,-0.5
201209,71.9,-0.2
201210,60.9,-0.2
201211,50.1,-0.5
201212,49.2,6.4
201301,48.0,6.5
201302,44.8,0.6
201303,47.1,-4.4
201304,60.1,0.3
201305,66.0,-2.4
201306,75.9,0.3
201307,76.2,-2.2
201308,75.7,-1.8
201309,72.0,-0.1
201310,62.0,0.9
201311,48.9,-1.7
201312,46.1,3.3
201401,35.0,-6.5
201402,45.4,1.2
201403,50.4,-1.1
201404,60.6,0.8
201405,68.8,0.4
201406,76.4,0.8
201407,76.4,-2.0
201408,77.1,-0.4
201409,73.7,1.6
201410,63.5,2.4
201411,46.5,-4.1
201412,48.0,5.2
201501,41.1,-0.4
201502,38.3,-5.9
201503,55.2,3.7
201504,63.3,3.5
201505,70.5,2.1
201506,77.8,2.2
201507,80.1,1.7
201508,78.1,0.6
201509,71.6,-0.5
201510,62.0,0.9
201511,55.8,5.2
201512,55.2,12.4
201601,40.5,-1.0
201602,46.4,2.2
201603,57.6,6.1
201604,61.2,1.4
201605,68.7,0.3
201606,78.4,2.8
201607,81.6,3.2
201608,80.8,3.3
201609,76.4,4.3
201610,65.9,4.8
201611,55.4,4.8
201612,47.0,4.2
201701,49.7,8.2
201702,53.1,8.9
201703,55.4,3.9
201704,65.8,6.0
201705,69.1,0.7
201706,75.1,-0.5
201707,79.5,1.1
201708,77.5,0.0
201709,71.4,-0.7
201710,63.6,2.5
201711,54.2,3.6
201712,45.4,2.6
201801,38.5,-3.0
201802,55.8,11.6
201803,51.7,0.2
201804,57.7,-2.1
201805,73.1,4.7
201806,78.2,2.6
201807,79.2,0.8
201808,78.0,0.5
201809,78.8,6.7
201810,65.1,4.0
201811,48.4,-2.2
201812,46.5,3.7
201901,44.0,2.5
201902,51.8,7.6
201903,53.1,1.6
201904,62.4,2.6
201905,73.8,5.4
201906,75.5,-0.1
201907,80.2,1.8
201908,80.1,2.6
201909,79.1,7.0
201910,66.3,5.2
201911,50.0,-0.6
201912,49.2,6.4
202001,47.1,5.6
