Lowndes County, Georgia, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,50.7,-0.1
200002,55.1,1.7
200003,62.6,3.3
200004,63.3,-2.5
200005,75.2,2.2
200006,78.7,0.1
200007,81.3,0.9
200008,80.4,0.4
200009,75.3,-1.4
200010,65.3,-2.1
200011,56.5,-1.4
200012,47.0,-4.7
200101,46.0,-4.8
200102,58.9,5.5
200103,58.5,-0.8
200104,65.8,0.0
200105,72.3,-0.7
200106,77.9,-0.7
200107,80.5,0.1
200108,79.8,-0.2
200109,74.2,-2.5
200110,65.0,-2.4
200111,62.5,4.6
200112,57.7,6.0
200201,51.8,1.0
200202,52.8,-0.6
200203,59.8,0.5
200204,70.7,4.9
200205,73.1,0.1
200206,78.3,-0.3
200207,81.0,0.6
200208,79.7,-0.3
200209,78.8,2.1
200210,71.6,4.2
200211,55.4,-2.5
200212,49.2,-2.5
200301,45.5,-5.3
200302,54.0,0.6
200303,64.0,4.7
200304,65.0,-0.8
200305,74.7,1.7
200306,77.9,-0.7
200307,79.8,-0.6
200308,80.0,0.0
200309,75.2,-1.5
200310,67.5,0.1
200311,62.4,4.5
200312,48.2,-3.5
200401,49.3,-1.5
200402,50.1,-3.3
200403,61.4,2.1
200404,63.0,-2.8
200405,74.4,1.4
200406,79.4,0.8
200407,80.6,0.2
200408,79.7,-0.3
200409,76.7,0.0
200410,70.7,3.3
200411,61.0,3.1
200412,51.5,-0.2
200501,53.8,3.0
200502,54.3,0.9
200503,56.8,-2.5
200504,62.2,-3.6
200505,70.5,-2.5
200506,78.4,-0.2
200507,82.3,1.9
200508,81.7,1.7
200509,79.1,2.4
200510,68.6,1.2
200511,61.4,3.5
200512,49.0,-2.7
200601,56.0,5.2
200602,52.4,-1.0
200603,60.2,0.9
200604,69.4,3.6
200605,73.1,0.1
200606,78.5,-0.1
200607,81.3,0.9
200608,82.2,2.2
200609,76.4,-0.3
200610,67.0,-0.4
200611,57.2,-0.7
200612,56.2,4.5
200701,54.2,3.4
200702,51.6,-1.8
200703,61.6,2.3
200704,64.4,-1.4
200705,72.8,-0.2
200706,78.4,-0.2
200707,81.3,0.9
200708,82.8,2.8
200709,77.9,1.2
200710,71.4,4.0
200711,56.8,-1.1
200712,57.2,5.5
200801,51.5,0.7
200802,55.4,2.0
200803,58.7,-0.6
200804,66.0,0.2
200805,73.0,0.0
200806,80.5,1.9
200807,80.6,0.2
200808,79.7,-0.3
200809,76.3,-0.4
200810,66.0,-1.4
200811,54.3,-3.6
200812,56.0,4.3
200901,51.0,0.2
200902,50.9,-2.5
200903,60.3,1.0
200904,65.3,-0.5
200905,73.9,0.9
200906,81.0,2.4
200907,79.1,-1.3
200908,80.0,0.0
200909,77.5,0.8
200910,70.2,2.8
200911,58.7,0.8
200912,51.4,-0.3
201001,47.0,-3.8
201002,45.7,-7.7
201003,54.7,-4.6
201004,66.1,0.3
201005,76.2,3.2
201006,81.9,3.3
201007,82.5,2.1
201008,82.8,2.8
201009,78.0,1.3
201010,67.4,0.0
201011,57.8,-0.1
201012,44.1,-7.6
201101,46.1,-4.7
201102,55.4,2.0
201103,62.1,2.8
201104,68.3,2.5
201105,73.3,0.3
201106,82.1,3.5
201107,81.6,1.2
201108,83.0,3.0
201109,75.8,-0.9
201110,65.1,-2.3
201111,59.4,1.5
201112,55.7,4.0
201201,54.3,3.5
201202,57.3,3.9
201203,67.6,8.3
201204,68.1,2.3
201205,74.8,1.8
201206,76.6,-2.0
201207,81.8,1.4
201208,78.9,-1.1
201209,76.2,-0.5
201210,68.4,1.0
201211,55.8,-2.1
201212,55.9,4.2
201301,57.7,6.9
201302,54.0,0.6
201303,54.1,-5.2
201304,66.1,0.3
201305,70.4,-2.6
201306,79.5,0.9
201307,79.3,-1.1
201308,80.2,0.2
201309,77.4,0.7
201310,68.8,1.4
201311,58.5,0.6
201312,57.1,5.4
201401,45.5,-5.3
201402,55.4,2.0
201403,56.5,-2.8
201404,66.0,0.2
201405,72.8,-0.2
201406,79.4,0.8
201407,80.4,0.0
201408,81.5,1.5
201409,77.2,0.5
201410,67.9,0.5
201411,52.8,-5.1
201412,55.5,3.8
201501,49.6,-1.2
201502,48.6,-4.8
201503,63.5,4.2
201504,70.6,4.8
201505,74.2,1.2
201506,80.3,1.7
201507,82.1,1.7
201508,81.1,1.1
201509,75.5,-1.2
201510,68.3,0.9
201511,64.7,6.8
201512,62.5,10.8
201601,49.0,-1.8
201602,53.7,0.3
201603,64.2,4.9
201604,67.0,1.2
201605,72.9,-0.1
201606,80.7,2.1
201607,83.0,2.6
201608,81.6,1.6
201609,77.7,1.0
201610,69.4,2.0
201611,60.5,2.6
201612,58.1,6.4
201701,56.6,5.8
201702,60.5,7.1
201703,61.3,2.0
201704,68.8,3.0
201705,73.3,0.3
201706,77.5,-1.1
201707,81.1,0.7
201708,80.8,0.8
201709,75.9,-0.8
201710,69.9,2.5
201711,59.0,1.1
201712,53.3,1.6
201801,46.0,-4.8
201802,63.7,10.3
201803,57.0,-2.3
201804,63.2,-2.6
201805,74.4,1.4
201806,80.1,1.5
201807,80.7,0.3
201808,80.5,0.5
201809,80.5,3.8
201810,71.1,3.7
201811,57.8,-0.1
201812,53.8,2.1
201901,52.0,1.2
201902,61.2,7.8
201903,59.4,0.1
201904,66.2,0.4
201905,76.7,3.7
201906,79.9,1.3
201907,81.0,0.6
201908,81.2,1.2
201909,79.2,2.5
201910,72.7,5.3
201911,55.8,-2.1
201912,55.6,3.9
202001,54.4,3.6
