Woodbury County, Iowa, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,22.0,4.8
200002,33.2,10.8
200003,42.6,8.3
200004,50.3,2.2
200005,64.0,4.1
200006,68.3,-1.0
200007,73.3,-0.9
200008,73.8,2.2
200009,64.4,1.5
200010,54.2,3.2
200011,27.9,-7.0
200012,10.2,-11.7
200101,21.6,4.4
200102,15.8,-6.6
200103,30.5,-3.8
200104,51.8,3.7
200105,61.3,1.4
200106,70.0,0.7
200107,75.6,1.4
200108,72.3,0.7
200109,61.4,-1.5
200110,50.7,-0.3
200111,47.2,12.3
200112,29.2,7.3
200201,27.1,9.9
200202,28.8,6.4
200203,28.8,-5.5
200204,50.4,2.3
200205,57.1,-2.8
200206,74.2,4.9
200207,77.5,3.3
200208,71.4,-0.2
200209,65.0,2.1
200210,44.9,-6.1
200211,34.5,-0.4
200212,28.5,6.6
200301,19.8,2.6
200302,21.0,-1.4
200303,36.1,1.8
200304,51.0,2.9
200305,57.8,-2.1
200306,67.8,-1.5
200307,74.0,-0.2
200308,74.2,2.6
200309,60.3,-2.6
200310,53.3,2.3
200311,34.4,-0.5
200312,27.6,5.7
200401,17.4,0.2
200402,21.2,-1.2
200403,40.9,6.6
200404,51.5,3.4
200405,60.6,0.7
200406,66.8,-2.5
200407,71.4,-2.8
200408,67.5,-4.1
200409,68.2,5.3
200410,52.6,1.6
200411,39.8,4.9
200412,27.1,5.2
200501,18.1,0.9
200502,31.3,8.9
200503,37.4,3.1
200504,53.4,5.3
200505,59.2,-0.7
200506,73.2,3.9
200507,76.2,2.0
200508,72.7,1.1
200509,68.9,6.0
200510,53.0,2.0
200511,39.4,4.5
200512,20.6,-1.3
200601,33.4,16.2
200602,25.7,3.3
200603,36.4,2.1
200604,53.8,5.7
200605,62.3,2.4
200606,71.9,2.6
200607,77.3,3.1
200608,72.6,1.0
200609,59.4,-3.5
200610,48.2,-2.8
200611,37.1,2.2
200612,29.9,8.0
200701,19.5,2.3
200702,16.9,-5.5
200703,42.6,8.3
200704,47.4,-0.7
200705,65.3,5.4
200706,71.3,2.0
200707,75.6,1.4
200708,74.4,2.8
200709,64.0,1.1
200710,55.3,4.3
200711,37.1,2.2
200712,19.0,-2.9
200801,15.1,-2.1
200802,17.3,-5.1
200803,33.0,-1.3
200804,44.8,-3.3
200805,57.6,-2.3
200806,69.5,0.2
200807,74.2,0.0
200808,71.0,-0.6
200809,63.1,0.2
200810,51.1,0.1
200811,36.8,1.9
200812,16.8,-5.1
200901,15.1,-2.1
200902,27.0,4.6
200903,36.3,2.0
200904,46.8,-1.3
200905,61.1,1.2
200906,69.1,-0.2
200907,69.1,-5.1
200908,69.0,-2.6
200909,63.3,0.4
200910,43.9,-7.1
200911,43.1,8.2
200912,17.6,-4.3
201001,12.8,-4.4
201002,17.0,-5.4
201003,37.7,3.4
201004,55.1,7.0
201005,59.6,-0.3
201006,71.0,1.7
201007,74.4,0.2
201008,75.3,3.7
201009,63.3,0.4
201010,54.4,3.4
201011,36.9,2.0
201012,20.0,-1.9
201101,13.4,-3.8
201102,21.4,-1.0
201103,35.0,0.7
201104,47.3,-0.8
201105,59.5,-0.4
201106,69.7,0.4
201107,78.8,4.6
201108,72.7,1.1
201109,60.0,-2.9
201110,53.8,2.8
201111,37.6,2.7
201112,26.8,4.9
201201,26.5,9.3
201202,27.6,5.2
201203,52.2,17.9
201204,53.9,5.8
201205,64.8,4.9
201206,72.0,2.7
201207,79.9,5.7
201208,71.9,0.3
