Blaine County, Idaho, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,22.0,2.6
200002,29.8,6.2
200003,32.2,1.9
200004,44.3,4.7
200005,49.4,1.0
200006,59.0,3.2
200007,67.3,2.4
200008,66.8,3.6
200009,53.7,-0.3
200010,43.4,0.1
200011,24.4,-5.6
200012,22.5,1.2
200101,20.4,1.0
200102,22.0,-1.6
200103,35.6,5.3
200104,39.2,-0.4
200105,53.0,4.6
200106,57.5,1.7
200107,65.4,0.5
200108,68.4,5.2
200109,58.8,4.8
200110,44.6,1.3
200111,34.7,4.7
200112,17.6,-3.7
200201,18.6,-0.8
200202,20.2,-3.4
200203,27.5,-2.8
200204,41.0,1.4
200205,48.5,0.1
200206,58.8,3.0
200207,69.5,4.6
200208,61.9,-1.3
200209,55.4,1.4
200210,40.8,-2.5
200211,31.8,1.8
200212,25.4,4.1
200301,29.0,9.6
200302,24.7,1.1
200303,34.3,4.0
200304,39.0,-0.6
200305,49.0,0.6
200306,58.6,2.8
200307,70.7,5.8
200308,67.6,4.4
200309,56.0,2.0
200310,48.5,5.2
200311,26.7,-3.3
200312,25.6,4.3
200401,19.6,0.2
200402,22.2,-1.4
200403,37.3,7.0
200404,43.5,3.9
200405,48.1,-0.3
200406,57.9,2.1
200407,65.7,0.8
200408,62.6,-0.6
200409,53.4,-0.6
200410,43.8,0.5
200411,32.0,2.0
200412,26.0,4.7
200501,23.7,4.3
200502,25.6,2.0
200503,33.8,3.5
200504,40.3,0.7
200505,48.2,-0.2
200506,52.8,-3.0
200507,66.5,1.6
200508,64.1,0.9
200509,53.5,-0.5
200510,44.9,1.6
200511,31.5,1.5
200512,21.2,-0.1
200601,23.3,3.9
200602,21.0,-2.6
200603,29.3,-1.0
200604,41.8,2.2
200605,51.1,2.7
200606,60.2,4.4
200607,69.9,5.0
200608,63.2,0.0
200609,54.4,0.4
200610,42.6,-0.7
200611,30.8,0.8
200612,23.4,2.1
200701,18.6,-0.8
200702,29.0,5.4
200703,37.6,7.3
200704,42.0,2.4
200705,51.4,3.0
200706,59.4,3.6
200707,71.7,6.8
200708,65.4,2.2
200709,54.2,0.2
200710,41.9,-1.4
200711,33.2,3.2
200712,20.3,-1.0
200801,16.2,-3.2
200802,23.6,0.0
200803,27.4,-2.9
200804,34.6,-5.0
200805,48.2,-0.2
200806,55.9,0.1
200807,66.6,1.7
200808,64.5,1.3
200809,55.2,1.2
200810,43.9,0.6
200811,36.7,6.7
200812,20.7,-0.6
200901,23.1,3.7
200902,24.2,0.6
200903,29.9,-0.4
200904,40.1,0.5
200905,49.8,1.4
200906,54.6,-1.2
200907,65.1,0.2
200908,62.7,-0.5
200909,60.0,6.0
200910,38.8,-4.5
200911,31.2,1.2
200912,17.7,-3.6
201001,24.9,5.5
201002,24.5,0.9
201003,32.2,1.9
201004,38.6,-1.0
201005,42.4,-6.0
201006,54.5,-1.3
201007,63.6,-1.3
201008,61.7,-1.5
201009,56.1,2.1
201010,47.0,3.7
201011,28.5,-1.5
201012,24.1,2.8
201101,20.6,1.2
201102,21.4,-2.2
201103,30.3,0.0
201104,35.0,-4.6
201105,44.6,-3.8
201106,53.1,-2.7
201107,64.5,-0.4
201108,65.5,2.3
201109,59.0,5.0
201110,45.4,2.1
201111,28.7,-1.3
201112,23.5,2.2
201201,24.6,5.2
201202,25.1,1.5
201203,34.6,4.3
201204,43.7,4.1
201205,48.8,0.4
201206,56.6,0.8
201207,68.3,3.4
201208,67.1,3.9
201209,58.0,4.0
201210,43.2,-0.1
201211,34.6,4.6
201212,21.7,0.4
201301,18.1,-1.3
201302,24.7,1.1
201303,33.7,3.4
201304,39.4,-0.2
201305,50.1,1.7
201306,59.2,3.4
201307,69.6,4.7
201308,67.7,4.5
201309,55.9,1.9
201310,42.1,-1.2
201311,33.8,3.8
201312,19.4,-1.9
201401,26.9,7.5
201402,27.1,3.5
201403,35.1,4.8
201404,41.0,1.4
201405,50.9,2.5
201406,56.5,0.7
201407,69.2,4.3
201408,62.4,-0.8
201409,57.2,3.2
201410,47.7,4.4
201411,30.2,0.2
201412,27.1,5.8
201501,26.1,6.7
201502,33.6,10.0
201503,39.7,9.4
201504,41.5,1.9
201505,50.7,2.3
201506,63.7,7.9
201507,63.8,-1.1
201508,64.5,1.3
201509,57.2,3.2
201510,50.4,7.1
201511,28.1,-1.9
201512,20.2,-1.1
201601,21.9,2.5
201602,28.2,4.6
201603,34.8,4.5
201604,45.8,6.2
201605,48.7,0.3
201606,60.7,4.9
201607,64.5,-0.4
201608,64.4,1.2
201609,53.8,-0.2
201610,44.8,1.5
201611,37.3,7.3
201612,16.6,-4.7
201701,15.8,-3.6
201702,27.1,3.5
201703,36.0,5.7
201704,39.2,-0.4
201705,49.6,1.2
201706,58.7,2.9
201707,69.8,4.9
201708,66.1,2.9
201709,55.0,1.0
201710,40.6,-2.7
201711,33.6,3.6
201712,24.4,3.1
201801,28.4,9.0
201802,24.4,0.8
201803,30.4,0.1
201804,41.4,1.8
201805,52.6,4.2
201806,57.5,1.7
201807,68.7,3.8
201808,64.6,1.4
201809,56.3,2.3
201810,43.5,0.2
201811,30.8,0.8
201812,21.5,0.2
201901,23.6,4.2
201902,20.3,-3.3
201903,30.1,-0.2
201904,42.3,2.7
201905,47.9,-0.5
201906,56.1,0.3
201907,65.5,0.6
201908,65.7,2.5
201909,54.1,0.1
201910,35.6,-7.7
201911,33.7,3.7
201912,23.0,1.7
202001,23.3,3.9
