Bonneville County, Idaho, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,23.6,4.6
200002,29.9,6.8
200003,32.0,2.4
200004,44.1,4.6
200005,50.0,1.3
200006,58.0,1.6
200007,66.8,2.3
200008,66.3,3.4
200009,54.0,0.3
200010,43.3,0.4
200011,22.3,-7.5
200012,20.2,-0.6
200101,17.3,-1.7
200102,22.2,-0.9
200103,33.9,4.3
200104,40.8,1.3
200105,52.3,3.6
200106,57.9,1.5
200107,66.9,2.4
200108,67.9,5.0
200109,58.8,5.1
200110,43.9,1.0
200111,34.7,4.9
200112,17.6,-3.2
200201,19.2,0.2
200202,17.7,-5.4
200203,26.9,-2.7
200204,40.8,1.3
200205,48.6,-0.1
200206,58.4,2.0
200207,68.1,3.6
200208,62.1,-0.8
200209,54.8,1.1
200210,39.3,-3.6
200211,27.8,-2.0
200212,26.3,5.5
200301,28.7,9.7
200302,23.8,0.7
200303,34.8,5.2
200304,40.4,0.9
200305,50.2,1.5
200306,57.5,1.1
200307,69.8,5.3
200308,67.6,4.7
200309,54.3,0.6
200310,47.3,4.4
200311,25.9,-3.9
200312,26.5,5.7
200401,19.4,0.4
200402,22.2,-0.9
200403,36.9,7.3
200404,42.8,3.3
200405,47.8,-0.9
200406,56.8,0.4
200407,64.6,0.1
200408,61.6,-1.3
200409,52.8,-0.9
200410,43.6,0.7
200411,30.6,0.8
200412,25.3,4.5
200501,24.6,5.6
200502,23.4,0.3
200503,32.1,2.5
200504,40.6,1.1
200505,48.4,-0.3
200506,54.0,-2.4
200507,66.0,1.5
200508,62.9,0.0
200509,53.3,-0.4
200510,44.3,1.4
200511,31.1,1.3
200512,20.5,-0.3
200601,24.5,5.5
200602,20.6,-2.5
200603,30.5,0.9
200604,42.0,2.5
200605,51.1,2.4
200606,60.2,3.8
200607,68.8,4.3
200608,62.8,-0.1
200609,52.4,-1.3
200610,41.2,-1.7
200611,31.9,2.1
200612,22.9,2.1
200701,14.7,-4.3
200702,28.0,4.9
200703,37.1,7.5
200704,42.1,2.6
200705,51.4,2.7
200706,59.9,3.5
200707,71.2,6.7
200708,66.0,3.1
200709,54.7,1.0
200710,42.3,-0.6
200711,32.7,2.9
200712,20.6,-0.2
200801,16.5,-2.5
200802,23.0,-0.1
200803,26.3,-3.3
200804,34.6,-4.9
200805,47.4,-1.3
200806,56.0,-0.4
200807,66.4,1.9
200808,64.4,1.5
200809,54.6,0.9
200810,43.6,0.7
200811,35.6,5.8
200812,21.4,0.6
200901,22.4,3.4
200902,24.1,1.0
200903,30.4,0.8
200904,39.9,0.4
200905,50.6,1.9
200906,55.0,-1.4
200907,63.9,-0.6
200908,62.2,-0.7
200909,58.9,5.2
200910,38.8,-4.1
200911,31.8,2.0
200912,18.0,-2.8
201001,23.1,4.1
201002,22.4,-0.7
201003,32.4,2.8
201004,39.7,0.2
201005,43.4,-5.3
201006,55.8,-0.6
201007,63.4,-1.1
201008,62.4,-0.5
201009,56.1,2.4
201010,46.8,3.9
201011,28.9,-0.9
201012,25.4,4.6
201101,20.4,1.4
201102,19.9,-3.2
201103,31.9,2.3
201104,36.0,-3.5
201105,44.6,-4.1
201106,54.1,-2.3
201107,64.8,0.3
201108,65.0,2.1
201109,57.4,3.7
201110,45.0,2.1
201111,28.7,-1.1
201112,20.1,-0.7
201201,24.7,5.7
201202,25.2,2.1
201203,36.6,7.0
201204,44.6,5.1
201205,49.3,0.6
201206,58.3,1.9
201207,68.1,3.6
201208,66.9,4.0
201209,57.3,3.6
201210,42.6,-0.3
201211,35.2,5.4
201212,24.2,3.4
201301,15.9,-3.1
201302,23.8,0.7
201303,32.1,2.5
201304,38.3,-1.2
201305,50.7,2.0
201306,59.0,2.6
201307,68.2,3.7
201308,67.0,4.1
201309,57.0,3.3
201310,41.0,-1.9
201311,32.7,2.9
201312,17.1,-3.7
201401,22.9,3.9
201402,27.3,4.2
201403,34.8,5.2
201404,39.7,0.2
201405,51.0,2.3
201406,55.5,-0.9
201407,66.8,2.3
201408,61.4,-1.5
201409,56.2,2.5
201410,47.1,4.2
201411,29.0,-0.8
201412,27.6,6.8
201501,24.8,5.8
201502,32.9,9.8
201503,39.1,9.5
201504,41.6,2.1
201505,49.8,1.1
201506,62.5,6.1
201507,62.6,-1.9
201508,63.5,0.6
201509,57.5,3.8
201510,49.4,6.5
201511,27.7,-2.1
201512,21.0,0.2
201601,22.7,3.7
201602,27.1,4.0
201603,34.7,5.1
201604,43.7,4.2
201605,48.9,0.2
201606,60.8,4.4
201607,64.6,0.1
201608,63.6,0.7
201609,54.2,0.5
201610,45.1,2.2
201611,37.5,7.7
201612,16.6,-4.2
201701,15.9,-3.1
201702,29.0,5.9
201703,38.2,8.6
201704,39.5,0.0
201705,49.7,1.0
201706,58.6,2.2
201707,68.2,3.7
201708,64.4,1.5
201709,54.0,0.3
201710,40.2,-2.7
201711,34.7,4.9
201712,22.6,1.8
201801,27.3,8.3
201802,25.5,2.4
201803,31.2,1.6
201804,41.4,1.9
201805,52.9,4.2
201806,57.6,1.2
201807,67.0,2.5
201808,63.9,1.0
201809,57.1,3.4
201810,42.7,-0.2
201811,29.0,-0.8
201812,21.2,0.4
201901,22.0,3.0
201902,22.3,-0.8
201903,30.5,0.9
201904,42.2,2.7
201905,47.8,-0.9
201906,56.2,-0.2
201907,65.1,0.6
201908,64.7,1.8
201909,54.4,0.7
201910,34.4,-8.5
201911,33.0,3.2
201912,23.5,2.7
202001,24.6,5.6
