Kootenai County, Idaho, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,29.4,3.9
200002,33.1,3.1
200003,37.3,1.5
200004,45.9,2.5
200005,50.4,-0.8
200006,57.6,-0.1
200007,64.6,-0.2
200008,65.2,1.5
200009,53.5,-2.1
200010,45.2,0.0
200011,28.8,-5.2
200012,26.2,-1.9
200101,29.6,4.1
200102,28.7,-1.3
200103,38.0,2.2
200104,41.3,-2.1
200105,52.9,1.7
200106,55.4,-2.3
200107,64.4,-0.4
200108,67.0,3.3
200109,60.1,4.5
200110,43.3,-1.9
200111,38.6,4.6
200112,29.3,1.2
200201,30.4,4.9
200202,30.9,0.9
200203,32.0,-3.8
200204,42.7,-0.7
200205,48.4,-2.8
200206,59.0,1.3
200207,67.4,2.6
200208,62.9,-0.8
200209,56.4,0.8
200210,42.0,-3.2
200211,36.1,2.1
200212,33.5,5.4
200301,34.1,8.6
200302,32.7,2.7
200303,38.7,2.9
200304,43.4,0.0
200305,50.6,-0.6
200306,60.6,2.9
200307,69.2,4.4
200308,67.0,3.3
200309,58.1,2.5
200310,48.8,3.6
200311,30.4,-3.6
200312,29.6,1.5
200401,28.2,2.7
200402,32.8,2.8
200403,40.8,5.0
200404,46.4,3.0
200405,51.0,-0.2
200406,59.2,1.5
200407,67.4,2.6
200408,66.0,2.3
200409,54.6,-1.0
200410,46.0,0.8
200411,35.7,1.7
200412,32.6,4.5
200501,29.0,3.5
200502,34.0,4.0
200503,39.5,3.7
200504,45.2,1.8
200505,53.6,2.4
200506,56.0,-1.7
200507,65.4,0.6
200508,65.3,1.6
200509,54.2,-1.4
200510,46.6,1.4
200511,34.6,0.6
200512,25.4,-2.7
200601,35.1,9.6
200602,29.8,-0.2
200603,36.4,0.6
200604,44.2,0.8
200605,52.9,1.7
200606,60.3,2.6
200607,69.9,5.1
200608,64.4,0.7
200609,57.5,1.9
200610,45.2,0.0
200611,35.2,1.2
200612,29.1,1.0
200701,25.2,-0.3
200702,33.1,3.1
200703,39.3,3.5
200704,43.6,0.2
200705,52.4,1.2
200706,57.9,0.2
200707,71.0,6.2
200708,64.1,0.4
200709,56.3,0.7
200710,44.4,-0.8
200711,34.6,0.6
200712,28.9,0.8
200801,25.5,0.0
200802,33.0,3.0
200803,34.5,-1.3
200804,38.8,-4.6
200805,51.7,0.5
200806,55.8,-1.9
200807,66.0,1.2
200808,63.8,0.1
200809,56.0,0.4
200810,44.6,-0.6
200811,37.8,3.8
200812,23.0,-5.1
200901,27.8,2.3
200902,31.5,1.5
200903,32.2,-3.6
200904,42.3,-1.1
200905,51.2,0.0
200906,59.4,1.7
200907,66.2,1.4
200908,65.5,1.8
200909,59.7,4.1
200910,40.4,-4.8
200911,36.1,2.1
200912,24.1,-4.0
201001,33.8,8.3
201002,36.3,6.3
201003,39.0,3.2
201004,43.0,-0.4
201005,48.0,-3.2
201006,55.8,-1.9
201007,64.2,-0.6
201008,64.4,0.7
201009,55.4,-0.2
201010,47.0,1.8
201011,33.0,-1.0
201012,30.2,2.1
201101,29.6,4.1
201102,27.6,-2.4
201103,36.2,0.4
201104,38.7,-4.7
201105,48.8,-2.4
201106,54.8,-2.9
201107,62.3,-2.5
201108,66.5,2.8
201109,60.5,4.9
201110,45.9,0.7
201111,33.6,-0.4
201112,29.7,1.6
201201,30.0,4.5
201202,32.2,2.2
201203,36.0,0.2
201204,44.8,1.4
201205,50.2,-1.0
201206,55.3,-2.4
201207,67.4,2.6
201208,65.9,2.2
201209,58.6,3.0
201210,45.4,0.2
201211,37.5,3.5
201212,31.7,3.6
201301,27.1,1.6
201302,33.4,3.4
201303,37.6,1.8
201304,42.6,-0.8
201305,53.0,1.8
201306,57.8,0.1
201307,68.6,3.8
201308,66.8,3.1
201309,58.7,3.1
201310,42.8,-2.4
201311,33.8,-0.2
201312,26.0,-2.1
201401,31.3,5.8
201402,26.1,-3.9
201403,36.9,1.1
201404,43.2,-0.2
201405,52.8,1.6
201406,57.1,-0.6
201407,69.4,4.6
201408,66.9,3.2
201409,58.8,3.2
201410,49.8,4.6
201411,33.6,-0.4
201412,31.8,3.7
201501,32.1,6.6
201502,37.5,7.5
201503,41.8,6.0
201504,43.8,0.4
201505,55.9,4.7
201506,66.6,8.9
201507,69.0,4.2
201508,68.1,4.4
201509,55.1,-0.5
201510,51.2,6.0
201511,34.6,0.6
201512,31.2,3.1
201601,31.6,6.1
201602,37.5,7.5
201603,39.4,3.6
201604,50.6,7.2
201605,54.7,3.5
201606,60.6,2.9
201607,64.4,-0.4
201608,65.6,1.9
201609,55.9,0.3
201610,46.0,0.8
201611,41.4,7.4
201612,23.9,-4.2
201701,22.9,-2.6
201702,30.1,0.1
201703,37.4,1.6
201704,42.5,-0.9
201705,53.3,2.1
201706,60.1,2.4
201707,69.4,4.6
201708,68.5,4.8
201709,57.4,1.8
201710,44.0,-1.2
201711,35.9,1.9
201712,26.7,-1.4
201801,33.4,7.9
201802,28.8,-1.2
201803,36.5,0.7
201804,43.0,-0.4
201805,57.3,6.1
201806,57.8,0.1
201807,67.1,2.3
201808,65.5,1.8
201809,55.0,-0.6
201810,44.7,-0.5
201811,35.9,1.9
201812,31.0,2.9
201901,31.4,5.9
201902,21.6,-8.4
201903,33.7,-2.1
201904,43.8,0.4
201905,54.2,3.0
201906,59.7,2.0
201907,64.6,-0.2
201908,66.0,2.3
201909,56.0,0.4
201910,39.5,-5.7
201911,36.0,2.0
201912,32.8,4.7
202001,32.7,7.2
