St. Clair County, Illinois, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,33.2,2.9
200002,43.1,8.8
200003,48.8,4.8
200004,54.5,-0.6
200005,68.6,3.5
200006,73.0,-1.0
200007,76.0,-2.3
200008,78.8,2.6
200009,68.3,-0.7
200010,60.2,2.5
200011,41.9,-2.5
200012,21.9,-11.9
200101,29.8,-0.5
200102,36.6,2.3
200103,40.6,-3.4
200104,61.8,6.7
200105,67.6,2.5
200106,73.0,-1.0
200107,78.7,0.4
200108,78.0,1.8
200109,67.6,-1.4
200110,57.0,-0.7
200111,51.7,7.3
200112,39.3,5.5
200201,36.6,6.3
200202,37.6,3.3
200203,41.2,-2.8
200204,58.2,3.1
200205,62.5,-2.6
200206,76.4,2.4
200207,80.9,2.6
200208,78.2,2.0
200209,72.0,3.0
200210,55.1,-2.6
200211,43.4,-1.0
200212,36.3,2.5
200301,27.7,-2.6
200302,31.1,-3.2
200303,46.5,2.5
200304,56.9,1.8
200305,64.2,-0.9
200306,70.0,-4.0
200307,77.9,-0.4
200308,78.4,2.2
200309,66.1,-2.9
200310,58.1,0.4
200311,49.1,4.7
200312,37.8,4.0
200401,30.6,0.3
200402,34.6,0.3
200403,49.4,5.4
200404,57.0,1.9
200405,69.1,4.0
200406,72.5,-1.5
200407,75.6,-2.7
200408,71.5,-4.7
200409,68.6,-0.4
200410,59.2,1.5
200411,49.1,4.7
200412,35.6,1.8
200501,35.0,4.7
200502,40.8,6.5
200503,43.2,-0.8
200504,57.6,2.5
200505,64.5,-0.6
200506,77.1,3.1
200507,78.3,0.0
200508,79.0,2.8
200509,73.1,4.1
200510,58.4,0.7
200511,49.0,4.6
200512,32.0,-1.8
200601,42.3,12.0
200602,34.9,0.6
200603,46.8,2.8
200604,61.6,6.5
200605,65.0,-0.1
200606,74.9,0.9
200607,79.6,1.3
200608,78.7,2.5
200609,66.6,-2.4
200610,55.0,-2.7
200611,47.1,2.7
200612,40.2,6.4
200701,34.9,4.6
200702,29.3,-5.0
200703,53.5,9.5
200704,53.7,-1.4
200705,69.7,4.6
200706,75.1,1.1
200707,76.0,-2.3
200708,82.7,6.5
200709,72.6,3.6
200710,61.8,4.1
200711,46.1,1.7
200712,35.7,1.9
200801,32.7,2.4
200802,31.8,-2.5
200803,44.2,0.2
200804,53.8,-1.3
200805,62.3,-2.8
200806,75.8,1.8
200807,77.4,-0.9
200808,75.0,-1.2
200809,69.6,0.6
200810,57.2,-0.5
200811,44.7,0.3
200812,32.8,-1.0
200901,27.4,-2.9
200902,37.6,3.3
200903,48.9,4.9
200904,54.9,-0.2
200905,65.3,0.2
200906,76.4,2.4
200907,73.9,-4.4
200908,74.0,-2.2
200909,68.1,-0.9
200910,52.8,-4.9
200911,50.9,6.5
200912,33.1,-0.7
201001,26.3,-4.0
201002,29.8,-4.5
201003,47.0,3.0
201004,61.8,6.7
201005,67.2,2.1
201006,78.9,4.9
201007,80.1,1.8
201008,79.6,3.4
201009,69.9,0.9
201010,59.6,1.9
201011,47.7,3.3
201012,29.4,-4.4
201101,27.7,-2.6
201102,36.2,1.9
201103,46.1,2.1
201104,59.3,4.2
201105,65.3,0.2
201106,76.9,2.9
201107,83.2,4.9
201108,78.8,2.6
201109,66.5,-2.5
201110,58.0,0.3
201111,50.1,5.7
201112,39.7,5.9
201201,36.8,6.5
201202,40.7,6.4
201203,59.0,15.0
201204,59.2,4.1
201205,71.4,6.3
201206,75.4,1.4
201207,84.8,6.5
201208,77.2,1.0
201209,67.6,-1.4
201210,56.1,-1.6
201211,44.3,-0.1
201212,40.8,7.0
201301,34.6,4.3
201302,35.4,1.1
201303,39.5,-4.5
201304,54.6,-0.5
201305,66.1,1.0
201306,75.0,1.0
201307,75.9,-2.4
201308,75.9,-0.3
201309,71.9,2.9
201310,57.5,-0.2
201311,42.7,-1.7
201312,32.1,-1.7
201401,26.8,-3.5
201402,26.8,-7.5
201403,41.2,-2.8
201404,56.5,1.4
201405,67.2,2.1
201406,75.8,1.8
201407,73.4,-4.9
201408,77.6,1.4
201409,67.9,-1.1
201410,58.6,0.9
201411,38.6,-5.8
201412,38.2,4.4
201501,31.6,1.3
201502,26.7,-7.6
201503,44.4,0.4
201504,58.3,3.2
201505,67.7,2.6
201506,76.0,2.0
201507,78.7,0.4
201508,75.4,-0.8
201509,72.6,3.6
201510,59.4,1.7
201511,50.3,5.9
201512,44.4,10.6
201601,32.5,2.2
201602,38.8,4.5
201603,51.4,7.4
201604,57.8,2.7
201605,64.6,-0.5
201606,78.9,4.9
201607,79.7,1.4
201608,78.5,2.3
201609,73.2,4.2
201610,63.8,6.1
201611,50.3,5.9
201612,33.6,-0.2
201701,36.9,6.6
201702,46.1,11.8
201703,48.8,4.8
201704,60.6,5.5
201705,66.4,1.3
201706,75.4,1.4
201707,80.4,2.1
201708,74.0,-2.2
201709,71.6,2.6
201710,61.8,4.1
201711,47.7,3.3
201712,34.6,0.8
201801,29.1,-1.2
201802,37.7,3.4
201803,43.1,-0.9
201804,49.4,-5.7
201805,73.6,8.5
201806,78.8,4.8
201807,78.4,0.1
201808,77.2,1.0
201809,73.8,4.8
201810,58.9,1.2
201811,39.1,-5.3
201812,39.0,5.2
201901,31.1,0.8
201902,35.3,1.0
201903,41.6,-2.4
201904,57.1,2.0
201905,67.3,2.2
201906,73.6,-0.4
201907,79.1,0.8
201908,76.5,0.3
201909,75.5,6.5
201910,56.9,-0.8
201911,39.7,-4.7
201912,38.5,4.7
202001,35.1,4.8
