Bartholomew County, Indiana, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,29.0,0.3
200002,39.1,7.4
200003,47.1,5.5
200004,51.5,-0.9
200005,65.8,3.0
200006,72.0,0.2
200007,72.9,-2.8
200008,72.1,-1.5
200009,64.7,-2.3
200010,58.1,3.1
200011,41.7,-0.9
200012,21.8,-10.4
200101,29.1,0.4
200102,35.8,4.1
200103,39.4,-2.2
200104,58.6,6.2
200105,65.4,2.6
200106,70.0,-1.8
200107,74.4,-1.3
200108,75.0,1.4
200109,64.8,-2.2
200110,54.7,-0.3
200111,49.8,7.2
200112,39.0,6.8
200201,35.5,6.8
200202,37.1,5.4
200203,40.9,-0.7
200204,55.5,3.1
200205,59.8,-3.0
200206,73.8,2.0
200207,77.5,1.8
200208,76.2,2.6
200209,70.4,3.4
200210,53.9,-1.1
200211,41.0,-1.6
200212,33.5,1.3
200301,23.9,-4.8
200302,27.3,-4.4
200303,44.7,3.1
200304,54.7,2.3
200305,62.8,0.0
200306,67.6,-4.2
200307,74.1,-1.6
200308,74.5,0.9
200309,64.0,-3.0
200310,54.3,-0.7
200311,47.2,4.6
200312,35.0,2.8
200401,26.4,-2.3
200402,31.8,0.1
200403,45.7,4.1
200404,54.3,1.9
200405,68.1,5.3
200406,71.2,-0.6
200407,73.1,-2.6
200408,70.0,-3.6
200409,68.2,1.2
200410,56.0,1.0
200411,48.0,5.4
200412,31.6,-0.6
200501,33.4,4.7
200502,37.6,5.9
200503,39.0,-2.6
200504,55.6,3.2
200505,60.0,-2.8
200506,73.5,1.7
200507,75.7,0.0
200508,76.0,2.4
200509,69.8,2.8
200510,56.2,1.2
200511,45.8,3.2
200512,29.0,-3.2
200601,40.4,11.7
200602,32.8,1.1
200603,41.6,0.0
200604,57.1,4.7
200605,61.0,-1.8
200606,70.2,-1.6
200607,75.4,-0.3
200608,75.0,1.4
200609,63.0,-4.0
200610,52.2,-2.8
200611,44.6,2.0
200612,38.4,6.2
200701,34.7,6.0
200702,22.4,-9.3
200703,49.2,7.6
200704,51.1,-1.3
200705,67.2,4.4
200706,72.8,1.0
200707,72.4,-3.3
200708,79.1,5.5
200709,70.6,3.6
200710,61.1,6.1
200711,43.2,0.6
200712,34.9,2.7
200801,29.2,0.5
200802,31.2,-0.5
200803,40.6,-1.0
200804,53.9,1.5
200805,59.2,-3.6
200806,72.9,1.1
200807,73.9,-1.8
200808,71.9,-1.7
200809,68.3,1.3
200810,54.6,-0.4
200811,41.3,-1.3
200812,31.2,-1.0
200901,24.3,-4.4
200902,33.3,1.6
200903,45.7,4.1
200904,53.0,0.6
200905,63.4,0.6
200906,72.6,0.8
200907,69.6,-6.1
200908,71.3,-2.3
200909,66.2,-0.8
200910,51.4,-3.6
200911,47.1,4.5
200912,31.6,-0.6
201001,25.7,-3.0
201002,26.1,-5.6
201003,44.5,2.9
201004,58.5,6.1
201005,65.1,2.3
201006,75.0,3.2
201007,76.8,1.1
201008,76.5,2.9
201009,68.6,1.6
201010,56.6,1.6
201011,43.4,0.8
201012,25.1,-7.1
201101,25.6,-3.1
201102,34.6,2.9
201103,43.9,2.3
201104,55.2,2.8
201105,62.8,0.0
201106,72.9,1.1
201107,79.8,4.1
201108,74.4,0.8
201109,64.9,-2.1
201110,54.4,-0.6
201111,48.6,6.0
201112,38.0,5.8
201201,34.7,6.0
201202,37.7,6.0
201203,56.2,14.6
201204,53.9,1.5
201205,69.2,6.4
201206,71.7,-0.1
201207,80.9,5.2
