Barber County, Kansas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,34.6,3.2
200002,42.3,5.7
200003,48.5,3.5
200004,55.9,0.0
200005,68.5,3.0
200006,73.2,-2.4
200007,79.9,-1.2
200008,84.9,5.2
200009,74.0,2.9
200010,61.1,2.3
200011,40.2,-4.1
200012,27.1,-6.8
200101,33.8,2.4
200102,34.7,-1.9
200103,43.5,-1.5
200104,60.9,5.0
200105,67.0,1.5
200106,75.6,0.0
200107,86.3,5.2
200108,82.3,2.6
200109,70.5,-0.6
200110,58.8,0.0
200111,51.5,7.2
200112,38.8,4.9
200201,35.9,4.5
200202,37.9,1.3
200203,42.2,-2.8
200204,59.0,3.1
200205,64.6,-0.9
200206,77.4,1.8
200207,81.0,-0.1
200208,80.0,0.3
200209,72.7,1.6
200210,52.2,-6.6
200211,44.7,0.4
200212,36.2,2.3
200301,34.1,2.7
200302,33.9,-2.7
200303,46.4,1.4
200304,58.7,2.8
200305,65.3,-0.2
200306,72.8,-2.8
200307,84.3,3.2
200308,82.0,2.3
200309,66.8,-4.3
200310,59.2,0.4
200311,45.4,1.1
200312,36.6,2.7
200401,33.8,2.4
200402,34.6,-2.0
200403,51.8,6.8
200404,56.9,1.0
200405,69.9,4.4
200406,74.1,-1.5
200407,77.6,-3.5
200408,75.2,-4.5
200409,72.9,1.8
200410,60.4,1.6
200411,46.4,2.1
200412,37.8,3.9
200501,32.5,1.1
200502,41.7,5.1
200503,47.3,2.3
200504,56.9,1.0
200505,66.9,1.4
200506,76.6,1.0
200507,79.6,-1.5
200508,79.0,-0.7
200509,74.6,3.5
200510,60.5,1.7
200511,49.0,4.7
200512,33.2,-0.7
200601,43.6,12.2
200602,37.0,0.4
200603,49.2,4.2
200604,63.3,7.4
200605,68.8,3.3
200606,78.2,2.6
200607,83.6,2.5
200608,81.3,1.6
200609,67.3,-3.8
200610,58.9,0.1
200611,47.2,2.9
200612,38.6,4.7
200701,31.4,0.0
200702,34.4,-2.2
200703,54.9,9.9
200704,52.9,-3.0
200705,67.3,1.8
200706,73.2,-2.4
200707,78.2,-2.9
200708,82.4,2.7
200709,72.9,1.8
200710,61.8,3.0
200711,45.9,1.6
200712,32.1,-1.8
200801,34.5,3.1
200802,36.6,0.0
200803,46.6,1.6
200804,53.6,-2.3
200805,65.9,0.4
200806,76.4,0.8
200807,80.2,-0.9
200808,78.0,-1.7
200809,68.1,-3.0
200810,57.7,-1.1
200811,46.9,2.6
200812,33.8,-0.1
200901,34.3,2.9
200902,43.0,6.4
200903,46.8,1.8
200904,55.4,-0.5
200905,64.4,-1.1
200906,78.0,2.4
200907,79.6,-1.5
200908,77.9,-1.8
200909,68.1,-3.0
200910,51.8,-7.0
200911,50.6,6.3
200912,30.1,-3.8
201001,30.7,-0.7
201002,32.2,-4.4
201003,46.2,1.2
201004,60.0,4.1
201005,65.0,-0.5
201006,80.4,4.8
201007,81.5,0.4
201008,82.0,2.3
201009,73.8,2.7
201010,61.0,2.2
201011,45.5,1.2
201012,34.6,0.7
201101,30.4,-1.0
201102,33.8,-2.8
201103,47.8,2.8
201104,58.5,2.6
201105,66.2,0.7
201106,82.3,6.7
201107,89.0,7.9
201108,85.3,5.6
201109,69.4,-1.7
201110,59.8,1.0
201111,46.0,1.7
201112,36.1,2.2
201201,38.4,7.0
201202,39.3,2.7
201203,57.6,12.6
201204,61.8,5.9
201205,71.6,6.1
201206,78.5,2.9
201207,85.7,4.6
201208,78.4,-1.3
201209,71.8,0.7
201210,57.2,-1.6
201211,49.3,5.0
201212,37.1,3.2
201301,35.8,4.4
201302,34.8,-1.8
201303,42.8,-2.2
201304,50.5,-5.4
201305,65.0,-0.5
201306,77.5,1.9
201307,79.4,-1.7
201308,78.0,-1.7
201309,73.9,2.8
201310,57.4,-1.4
201311,43.6,-0.7
201312,31.1,-2.8
201401,33.0,1.6
201402,30.5,-6.1
201403,41.6,-3.4
201404,56.5,0.6
201405,68.0,2.5
201406,75.6,0.0
201407,75.7,-5.4
201408,79.7,0.0
201409,71.6,0.5
201410,62.1,3.3
201411,40.7,-3.6
201412,36.8,2.9
201501,34.8,3.4
201502,33.6,-3.0
201503,49.1,4.1
201504,59.2,3.3
201505,63.0,-2.5
201506,77.8,2.2
201507,81.0,-0.1
201508,76.8,-2.9
201509,76.0,4.9
201510,61.4,2.6
201511,48.5,4.2
201512,39.6,5.7
201601,34.0,2.6
201602,43.4,6.8
201603,51.6,6.6
201604,59.0,3.1
201605,63.4,-2.1
201606,78.5,2.9
201607,82.0,0.9
201608,78.1,-1.6
201609,72.6,1.5
201610,63.9,5.1
201611,51.9,7.6
201612,31.8,-2.1
201701,35.7,4.3
201702,45.6,9.0
201703,51.3,6.3
201704,57.2,1.3
201705,63.2,-2.3
201706,76.3,0.7
201707,81.9,0.8
201708,74.8,-4.9
201709,71.9,0.8
201710,59.5,0.7
201711,47.4,3.1
201712,35.8,1.9
201801,33.2,1.8
201802,34.8,-1.8
201803,48.8,3.8
201804,50.5,-5.4
201805,74.0,8.5
201806,79.5,3.9
201807,79.8,-1.3
201808,77.6,-2.1
201809,71.4,0.3
201810,56.6,-2.2
201811,40.7,-3.6
201812,36.5,2.6
201901,34.8,3.4
201902,32.5,-4.1
201903,43.1,-1.9
201904,57.2,1.3
201905,62.7,-2.8
201906,74.2,-1.4
201907,80.1,-1.0
201908,80.0,0.3
201909,78.0,6.9
201910,53.0,-5.8
201911,42.7,-1.6
201912,37.9,4.0
202001,36.9,5.5
