Fayette County, Kentucky, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,32.0,0.1
200002,42.1,7.5
200003,48.2,4.9
200004,52.9,-0.4
200005,65.9,2.8
200006,72.5,1.2
200007,73.2,-2.0
200008,73.1,-0.5
200009,65.6,-2.0
200010,58.6,2.5
200011,43.1,-1.0
200012,25.1,-9.7
200101,30.6,-1.3
200102,39.6,5.0
200103,40.0,-3.3
200104,58.9,5.6
200105,65.7,2.6
200106,70.4,-0.9
200107,74.6,-0.6
200108,75.6,2.0
200109,65.3,-2.3
200110,55.9,-0.2
200111,51.0,6.9
200112,40.8,6.0
200201,37.4,5.5
200202,37.1,2.5
200203,44.3,1.0
200204,57.2,3.9
200205,60.7,-2.4
200206,73.4,2.1
200207,77.9,2.7
200208,77.0,3.4
200209,71.1,3.5
200210,55.6,-0.5
200211,42.6,-1.5
200212,35.3,0.5
200301,26.1,-5.8
200302,31.7,-2.9
200303,47.4,4.1
200304,56.2,2.9
200305,63.0,-0.1
200306,68.1,-3.2
200307,74.3,-0.9
200308,74.9,1.3
200309,64.5,-3.1
200310,55.9,-0.2
200311,49.3,5.2
200312,35.6,0.8
200401,30.3,-1.6
200402,35.9,1.3
200403,47.4,4.1
200404,54.6,1.3
200405,68.2,5.1
200406,70.9,-0.4
200407,73.0,-2.2
200408,70.0,-3.6
200409,67.7,0.1
200410,58.3,2.2
200411,49.0,4.9
200412,36.0,1.2
200501,37.2,5.3
200502,39.3,4.7
200503,40.4,-2.9
200504,55.6,2.3
200505,60.6,-2.5
200506,73.9,2.6
200507,77.2,2.0
200508,77.6,4.0
200509,70.8,3.2
200510,56.9,0.8
200511,46.9,2.8
200512,31.8,-3.0
200601,42.1,10.2
200602,35.2,0.6
200603,44.0,0.7
200604,58.6,5.3
200605,61.8,-1.3
200606,69.8,-1.5
200607,76.1,0.9
200608,76.6,3.0
200609,63.6,-4.0
200610,53.1,-3.0
200611,47.2,3.1
200612,41.1,6.3
200701,36.8,4.9
200702,27.0,-7.6
200703,51.4,8.1
200704,51.6,-1.7
200705,67.1,4.0
200706,73.0,1.7
200707,73.9,-1.3
200708,80.0,6.4
200709,71.6,4.0
200710,62.0,5.9
200711,45.2,1.1
200712,39.8,5.0
200801,32.2,0.3
200802,35.4,0.8
200803,43.5,0.2
200804,53.9,0.6
200805,60.5,-2.6
200806,72.9,1.6
200807,74.8,-0.4
200808,73.7,0.1
200809,70.9,3.3
200810,56.4,0.3
200811,42.4,-1.7
200812,35.8,1.0
200901,28.2,-3.7
200902,37.7,3.1
200903,47.2,3.9
200904,55.0,1.7
200905,63.8,0.7
200906,72.7,1.4
200907,71.1,-4.1
200908,72.6,-1.0
200909,68.0,0.4
200910,52.5,-3.6
200911,47.7,3.6
200912,34.9,0.1
201001,28.3,-3.6
201002,28.6,-6.0
201003,45.9,2.6
201004,58.5,5.2
201005,66.2,3.1
201006,75.7,4.4
201007,77.4,2.2
201008,77.4,3.8
201009,69.7,2.1
201010,57.9,1.8
201011,46.3,2.2
201012,27.0,-7.8
201101,28.2,-3.7
201102,37.9,3.3
201103,46.3,3.0
201104,57.2,3.9
201105,63.0,-0.1
201106,72.4,1.1
201107,78.5,3.3
201108,74.4,0.8
201109,65.7,-1.9
201110,54.3,-1.8
201111,49.4,5.3
201112,40.5,5.7
201201,37.1,5.2
201202,39.4,4.8
201203,55.8,12.5
201204,55.1,1.8
201205,68.0,4.9
201206,71.3,0.0
201207,79.9,4.7
201208,73.5,-0.1
201209,66.2,-1.4
201210,54.1,-2.0
201211,41.8,-2.3
201212,41.7,6.9
201301,35.4,3.5
201302,34.7,0.1
201303,38.6,-4.7
201304,54.2,0.9
201305,64.8,1.7
201306,72.8,1.5
201307,73.9,-1.3
201308,73.5,-0.1
201309,68.8,1.2
201310,56.9,0.8
201311,42.3,-1.8
201312,36.9,2.1
201401,25.6,-6.3
201402,31.5,-3.1
201403,40.6,-2.7
201404,57.0,3.7
201405,65.4,2.3
201406,73.5,2.2
201407,72.3,-2.9
201408,74.5,0.9
201409,67.9,0.3
201410,57.3,1.2
201411,39.1,-5.0
201412,38.3,3.5
201501,30.5,-1.4
201502,24.3,-10.3
201503,42.8,-0.5
201504,55.5,2.2
201505,67.1,4.0
201506,72.9,1.6
201507,75.2,0.0
201508,71.9,-1.7
201509,69.9,2.3
201510,56.9,0.8
201511,49.9,5.8
201512,48.3,13.5
201601,30.8,-1.1
201602,37.7,3.1
201603,50.8,7.5
201604,56.2,2.9
201605,62.1,-1.0
201606,73.9,2.6
201607,77.2,2.0
201608,77.8,4.2
201609,71.9,4.3
201610,62.2,6.1
201611,49.0,4.9
201612,36.2,1.4
201701,39.6,7.7
201702,45.6,11.0
201703,46.8,3.5
201704,61.1,7.8
201705,64.3,1.2
201706,71.1,-0.2
201707,76.1,0.9
201708,72.2,-1.4
201709,67.4,-0.2
201710,58.8,2.7
201711,46.4,2.3
201712,34.5,-0.3
201801,29.7,-2.2
201802,44.1,9.5
201803,42.2,-1.1
201804,49.8,-3.5
201805,71.4,8.3
201806,74.6,3.3
201807,75.7,0.5
201808,75.2,1.6
201809,72.4,4.8
201810,58.6,2.5
201811,41.5,-2.6
201812,40.0,5.2
201901,33.4,1.5
201902,41.4,6.8
201903,41.8,-1.5
201904,57.5,4.2
201905,67.7,4.6
201906,71.1,-0.2
201907,77.4,2.2
201908,75.6,2.0
201909,75.0,7.4
201910,60.1,4.0
201911,41.3,-2.8
201912,41.2,6.4
202001,40.2,8.3
