Jefferson County, Kentucky, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,32.4,0.0
200002,43.2,8.0
200003,49.5,4.9
200004,54.2,-0.7
200005,67.6,2.9
200006,73.4,0.2
200007,74.8,-2.3
200008,75.1,-0.5
200009,66.4,-2.5
200010,59.5,2.6
200011,43.2,-1.7
200012,25.4,-9.9
200101,31.6,-0.8
200102,39.7,4.5
200103,41.3,-3.3
200104,60.4,5.5
200105,67.0,2.3
200106,71.8,-1.4
200107,76.7,-0.4
200108,77.0,1.4
200109,66.7,-2.2
200110,56.5,-0.4
200111,51.2,6.3
200112,41.0,5.7
200201,39.1,6.7
200202,38.8,3.6
200203,44.6,0.0
200204,58.8,3.9
200205,63.0,-1.7
200206,76.0,2.8
200207,79.6,2.5
200208,78.3,2.7
200209,72.8,3.9
200210,56.0,-0.9
200211,43.2,-1.7
200212,36.5,1.2
200301,27.1,-5.3
200302,31.1,-4.1
200303,47.8,3.2
200304,57.5,2.6
200305,64.4,-0.3
200306,69.7,-3.5
200307,75.6,-1.5
200308,76.1,0.5
200309,66.0,-2.9
200310,56.6,-0.3
200311,50.4,5.5
200312,37.2,1.9
200401,30.7,-1.7
200402,36.4,1.2
200403,48.9,4.3
200404,56.6,1.7
200405,69.8,5.1
200406,73.6,0.4
200407,74.8,-2.3
200408,71.9,-3.7
200409,69.6,0.7
200410,59.6,2.7
200411,49.9,5.0
200412,35.7,0.4
200501,37.1,4.7
200502,40.1,4.9
200503,41.6,-3.0
200504,57.0,2.1
200505,62.7,-2.0
200506,75.3,2.1
200507,77.7,0.6
200508,78.7,3.1
200509,71.9,3.0
200510,58.2,1.3
200511,47.6,2.7
200512,32.7,-2.6
200601,42.8,10.4
200602,36.1,0.9
200603,45.2,0.6
200604,59.7,4.8
200605,63.4,-1.3
200606,71.9,-1.3
200607,77.5,0.4
200608,77.6,2.0
200609,65.0,-3.9
200610,54.0,-2.9
200611,47.3,2.4
200612,41.2,5.9
200701,37.0,4.6
200702,28.2,-7.0
200703,53.3,8.7
200704,53.7,-1.2
200705,68.6,3.9
200706,75.0,1.8
200707,75.2,-1.9
200708,81.8,6.2
200709,73.4,4.5
200710,63.0,6.1
200711,46.3,1.4
200712,40.0,4.7
200801,32.7,0.3
200802,35.7,0.5
200803,44.3,-0.3
200804,55.7,0.8
200805,62.6,-2.1
200806,75.8,2.6
200807,76.6,-0.5
200808,75.6,0.0
200809,72.1,3.2
200810,57.5,0.6
200811,43.5,-1.4
200812,35.9,0.6
200901,28.5,-3.9
200902,38.0,2.8
200903,48.4,3.8
200904,56.4,1.5
200905,65.3,0.6
200906,74.4,1.2
200907,71.8,-5.3
200908,73.6,-2.0
200909,69.2,0.3
200910,53.4,-3.5
200911,49.5,4.6
200912,35.4,0.1
201001,29.1,-3.3
201002,29.4,-5.8
201003,47.2,2.6
201004,60.3,5.4
201005,68.0,3.3
201006,78.5,5.3
201007,79.8,2.7
201008,79.5,3.9
201009,72.0,3.1
201010,59.5,2.6
201011,47.4,2.5
201012,29.4,-5.9
201101,29.7,-2.7
201102,39.0,3.8
201103,47.8,3.2
201104,59.6,4.7
201105,65.4,0.7
201106,75.2,2.0
201107,81.4,4.3
201108,76.9,1.3
201109,66.7,-2.2
201110,56.0,-0.9
201111,50.5,5.6
201112,41.4,6.1
201201,38.2,5.8
201202,40.9,5.7
201203,58.2,13.6
201204,57.8,2.9
201205,70.8,6.1
201206,73.9,0.7
201207,82.0,4.9
201208,75.7,0.1
201209,67.8,-1.1
201210,55.2,-1.7
201211,43.3,-1.6
201212,42.7,7.4
201301,36.0,3.6
201302,35.8,0.6
201303,39.1,-5.5
201304,55.9,1.0
201305,66.6,1.9
201306,73.7,0.5
201307,74.4,-2.7
201308,75.1,-0.5
201309,70.0,1.1
201310,56.7,-0.2
201311,42.8,-2.1
201312,36.8,1.5
201401,26.8,-5.6
201402,31.0,-4.2
201403,41.8,-2.8
201404,58.5,3.6
201405,67.5,2.8
201406,76.0,2.8
201407,73.3,-3.8
201408,75.6,0.0
201409,68.4,-0.5
201410,57.3,0.4
201411,39.8,-5.1
201412,38.9,3.6
201501,31.7,-0.7
201502,26.0,-9.2
201503,44.4,-0.2
201504,57.8,2.9
201505,68.4,3.7
201506,75.1,1.9
201507,77.0,-0.1
201508,73.7,-1.9
201509,71.5,2.6
201510,58.5,1.6
201511,50.5,5.6
201512,48.0,12.7
201601,32.4,0.0
201602,38.3,3.1
201603,51.8,7.2
201604,57.3,2.4
201605,63.7,-1.0
201606,76.0,2.8
201607,78.3,1.2
201608,78.6,3.0
201609,72.9,4.0
201610,63.7,6.8
201611,50.5,5.6
201612,36.4,1.1
201701,40.0,7.6
201702,46.9,11.7
201703,48.3,3.7
201704,62.6,7.7
201705,66.0,1.3
201706,73.4,0.2
201707,78.0,0.9
201708,73.8,-1.8
201709,68.7,-0.2
201710,58.8,1.9
201711,47.0,2.1
201712,35.0,-0.3
201801,30.6,-1.8
201802,43.1,7.9
201803,43.2,-1.4
201804,51.0,-3.9
201805,73.4,8.7
201806,76.8,3.6
201807,77.3,0.2
201808,77.1,1.5
201809,73.2,4.3
201810,59.4,2.5
201811,41.7,-3.2
201812,41.3,6.0
201901,33.8,1.4
201902,40.6,5.4
201903,42.3,-2.3
201904,58.0,3.1
201905,68.5,3.8
201906,72.8,-0.4
201907,79.0,1.9
201908,76.6,1.0
201909,76.6,7.7
201910,59.7,2.8
201911,41.0,-3.9
201912,42.1,6.8
202001,39.8,7.4
