McCracken County, Kentucky, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,36.8,2.8
200002,44.2,6.8
200003,51.3,4.5
200004,56.3,-0.8
200005,68.8,2.3
200006,74.7,-0.4
200007,76.9,-2.0
200008,78.5,1.3
200009,69.4,-1.2
200010,61.9,2.8
200011,45.1,-1.5
200012,26.5,-10.5
200101,32.5,-1.5
200102,42.2,4.8
200103,42.6,-4.2
200104,63.1,6.0
200105,68.6,2.1
200106,73.2,-1.9
200107,79.0,0.1
200108,78.7,1.5
200109,68.6,-2.0
200110,58.2,-0.9
200111,52.0,5.4
200112,42.0,5.0
200201,38.9,4.9
200202,40.4,3.0
200203,46.1,-0.7
200204,60.8,3.7
200205,65.0,-1.5
200206,77.4,2.3
200207,81.7,2.8
200208,79.7,2.5
200209,74.0,3.4
200210,58.2,-0.9
200211,44.7,-1.9
200212,38.0,1.0
200301,29.7,-4.3
200302,34.8,-2.6
200303,48.8,2.0
200304,59.7,2.6
200305,66.6,0.1
200306,70.5,-4.6
200307,78.5,-0.4
200308,78.4,1.2
200309,67.6,-3.0
200310,59.3,0.2
200311,51.7,5.1
200312,39.7,2.7
200401,35.0,1.0
200402,37.8,0.4
200403,52.5,5.7
200404,58.2,1.1
200405,71.1,4.6
200406,73.9,-1.2
200407,76.6,-2.3
200408,73.0,-4.2
200409,70.9,0.3
200410,62.2,3.1
200411,51.4,4.8
200412,36.0,-1.0
200501,40.2,6.2
200502,43.3,5.9
200503,46.0,-0.8
200504,59.1,2.0
200505,65.1,-1.4
200506,76.4,1.3
200507,78.9,0.0
200508,80.5,3.3
200509,73.5,2.9
200510,59.9,0.8
200511,50.5,3.9
200512,34.8,-2.2
200601,44.4,10.4
200602,37.0,-0.4
200603,48.8,2.0
200604,62.6,5.5
200605,65.8,-0.7
200606,75.3,0.2
200607,78.5,-0.4
200608,78.9,1.7
200609,66.6,-4.0
200610,56.0,-3.1
200611,47.8,1.2
200612,42.1,5.1
200701,37.4,3.4
200702,33.5,-3.9
200703,56.6,9.8
200704,55.6,-1.5
200705,70.7,4.2
200706,76.0,0.9
200707,76.8,-2.1
200708,83.7,6.5
200709,73.9,3.3
200710,63.6,4.5
200711,47.3,0.7
200712,39.6,2.6
200801,34.4,0.4
200802,37.9,0.5
200803,47.6,0.8
200804,55.9,-1.2
200805,64.5,-2.0
200806,77.0,1.9
200807,78.6,-0.3
200808,76.2,-1.0
200809,72.3,1.7
200810,59.3,0.2
200811,44.6,-2.0
200812,36.4,-0.6
200901,31.7,-2.3
200902,41.0,3.6
200903,50.6,3.8
200904,57.8,0.7
200905,66.9,0.4
200906,77.8,2.7
200907,75.0,-3.9
200908,75.1,-2.1
200909,71.4,0.8
200910,55.3,-3.8
200911,51.2,4.6
200912,35.8,-1.2
201001,30.2,-3.8
201002,33.0,-4.4
201003,48.5,1.7
201004,62.2,5.1
201005,69.2,2.7
201006,79.9,4.8
201007,81.7,2.8
201008,81.6,4.4
201009,72.0,1.4
201010,60.5,1.4
201011,48.6,2.0
201012,31.8,-5.2
201101,31.6,-2.4
201102,39.2,1.8
201103,48.8,2.0
201104,61.2,4.1
201105,65.7,-0.8
201106,78.1,3.0
201107,82.2,3.3
201108,78.0,0.8
201109,68.2,-2.4
201110,58.2,-0.9
201111,50.9,4.3
201112,41.4,4.4
201201,40.2,6.2
201202,43.6,6.2
201203,61.3,14.5
201204,60.7,3.6
201205,72.3,5.8
201206,75.9,0.8
201207,84.3,5.4
201208,78.2,1.0
201209,69.6,-1.0
201210,57.0,-2.1
201211,45.2,-1.4
201212,44.4,7.4
201301,37.6,3.6
201302,38.2,0.8
201303,41.7,-5.1
201304,55.8,-1.3
201305,66.8,0.3
201306,75.4,0.3
201307,75.2,-3.7
201308,75.8,-1.4
201309,72.4,1.8
201310,60.1,1.0
201311,44.6,-2.0
201312,36.4,-0.6
201401,29.0,-5.0
201402,31.8,-5.6
201403,43.0,-3.8
201404,59.1,2.0
201405,69.3,2.8
201406,77.2,2.1
201407,74.6,-4.3
201408,79.1,1.9
201409,70.2,-0.4
201410,60.2,1.1
201411,40.8,-5.8
201412,40.6,3.6
201501,34.4,0.4
201502,28.2,-9.2
201503,45.5,-1.3
201504,60.6,3.5
201505,68.4,1.9
201506,77.4,2.3
201507,80.3,1.4
201508,75.2,-2.0
201509,72.3,1.7
201510,60.2,1.1
201511,52.8,6.2
201512,48.5,11.5
201601,34.4,0.4
201602,40.3,2.9
201603,53.6,6.8
201604,59.9,2.8
201605,65.4,-1.1
201606,78.2,3.1
201607,80.7,1.8
201608,79.6,2.4
201609,73.8,3.2
201610,65.6,6.5
201611,52.4,5.8
201612,37.7,0.7
201701,41.8,7.8
201702,48.2,10.8
201703,50.6,3.8
201704,62.9,5.8
201705,67.7,1.2
201706,75.4,0.3
201707,80.3,1.4
201708,75.4,-1.8
201709,71.7,1.1
201710,61.4,2.3
201711,48.6,2.0
201712,37.0,0.0
201801,29.4,-4.6
201802,43.0,5.6
201803,47.6,0.8
201804,52.2,-4.9
201805,74.6,8.1
201806,79.3,4.2
201807,79.8,0.9
201808,78.0,0.8
201809,74.7,4.1
201810,60.9,1.8
201811,42.1,-4.5
201812,41.7,4.7
201901,36.6,2.6
201902,42.4,5.0
201903,44.8,-2.0
201904,58.8,1.7
201905,69.5,3.0
201906,74.6,-0.5
201907,79.4,0.5
201908,78.2,1.0
201909,77.0,6.4
201910,59.7,0.6
201911,42.2,-4.4
201912,42.8,5.8
202001,40.1,6.1
