East Baton Rouge Parish, Louisiana, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,53.9,3.0
200002,59.1,5.4
200003,64.1,4.0
200004,65.5,-1.6
200005,77.7,3.7
200006,80.5,0.6
200007,82.8,1.2
200008,83.8,2.4
200009,77.6,0.1
200010,67.1,-1.0
200011,56.1,-2.3
200012,45.6,-6.8
200101,47.2,-3.7
200102,58.6,4.9
200103,56.8,-3.3
200104,70.2,3.1
200105,74.1,0.1
200106,78.2,-1.7
200107,81.8,0.2
200108,81.1,-0.3
200109,75.9,-1.6
200110,64.7,-3.4
200111,63.2,4.8
200112,55.3,2.9
200201,52.4,1.5
200202,50.2,-3.5
200203,60.0,-0.1
200204,70.3,3.2
200205,74.6,0.6
200206,79.0,-0.9
200207,81.8,0.2
200208,81.0,-0.4
200209,79.0,1.5
200210,71.3,3.2
200211,56.9,-1.5
200212,51.8,-0.6
200301,46.7,-4.2
200302,52.6,-1.1
200303,60.5,0.4
200304,67.0,-0.1
200305,77.4,3.4
200306,80.3,0.4
200307,81.3,-0.3
200308,82.4,1.0
200309,76.6,-0.9
200310,67.9,-0.2
200311,62.1,3.7
200312,49.9,-2.5
200401,50.8,-0.1
200402,50.6,-3.1
200403,64.2,4.1
200404,66.1,-1.0
200405,74.0,0.0
200406,79.8,-0.1
200407,81.8,0.2
200408,80.2,-1.2
200409,78.6,1.1
200410,74.2,6.1
200411,62.6,4.2
200412,50.3,-2.1
200501,55.5,4.6
200502,57.0,3.3
200503,58.5,-1.6
200504,65.8,-1.3
200505,73.5,-0.5
200506,80.5,0.6
200507,83.0,1.4
200508,83.2,1.8
200509,81.2,3.7
200510,67.9,-0.2
200511,61.0,2.6
200512,50.1,-2.3
200601,57.0,6.1
200602,53.0,-0.7
200603,63.4,3.3
200604,71.6,4.5
200605,74.4,0.4
200606,81.2,1.3
200607,82.0,0.4
200608,83.1,1.7
200609,76.5,-1.0
200610,69.0,0.9
200611,57.9,-0.5
200612,53.3,0.9
200701,51.6,0.7
200702,51.9,-1.8
200703,63.6,3.5
200704,64.8,-2.3
200705,73.8,-0.2
200706,80.2,0.3
200707,80.3,-1.3
200708,84.0,2.6
200709,78.8,1.3
200710,69.4,1.3
200711,60.1,1.7
200712,57.8,5.4
200801,49.9,-1.0
200802,56.7,3.0
200803,60.4,0.3
200804,67.6,0.5
200805,74.7,0.7
200806,81.1,1.2
200807,82.4,0.8
200808,80.8,-0.6
200809,76.3,-1.2
200810,66.4,-1.7
200811,57.7,-0.7
200812,54.7,2.3
200901,52.5,1.6
200902,56.5,2.8
200903,62.6,2.5
200904,66.8,-0.3
200905,75.1,1.1
200906,81.8,1.9
200907,82.6,1.0
200908,80.9,-0.5
200909,78.4,0.9
200910,68.6,0.5
200911,58.3,-0.1
200912,50.0,-2.4
201001,46.7,-4.2
201002,45.4,-8.3
201003,55.7,-4.4
201004,68.5,1.4
201005,78.0,4.0
201006,82.9,3.0
201007,83.4,1.8
201008,83.8,2.4
201009,79.2,1.7
201010,68.1,0.0
201011,59.6,1.2
201012,48.4,-4.0
201101,47.8,-3.1
201102,53.4,-0.3
201103,63.2,3.1
201104,70.6,3.5
201105,74.2,0.2
201106,83.2,3.3
201107,82.9,1.3
201108,85.2,3.8
201109,75.2,-2.3
201110,65.2,-2.9
201111,59.9,1.5
201112,53.4,1.0
201201,57.0,6.1
201202,57.8,4.1
201203,68.0,7.9
201204,69.8,2.7
201205,76.6,2.6
201206,80.7,0.8
201207,82.2,0.6
