Dukes County, Massachusetts, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,29.5,-0.6
200002,35.1,5.3
200003,42.2,5.3
200004,46.4,1.4
200005,55.8,0.9
200006,64.7,1.0
200007,68.0,-1.8
200008,68.8,0.2
200009,63.4,0.8
200010,53.6,0.2
200011,44.0,0.3
200012,31.0,-3.1
200101,30.8,0.7
200102,33.4,3.6
200103,36.7,-0.2
200104,45.7,0.7
200105,57.3,2.4
200106,68.2,4.5
200107,67.5,-2.3
200108,72.4,3.8
200109,64.4,1.8
200110,55.2,1.8
200111,49.3,5.6
200112,41.7,7.6
200201,37.4,7.3
200202,36.2,6.4
200203,41.0,4.1
200204,49.0,4.0
200205,55.2,0.3
200206,63.0,-0.7
200207,71.3,1.5
200208,72.6,4.0
200209,66.0,3.4
200210,53.1,-0.3
200211,44.2,0.5
200212,34.4,0.3
200301,26.9,-3.2
200302,28.5,-1.3
200303,37.1,0.2
200304,43.7,-1.3
200305,53.3,-1.6
200306,62.3,-1.4
200307,71.4,1.6
200308,73.6,5.0
200309,64.8,2.2
200310,52.8,-0.6
200311,47.0,3.3
200312,37.2,3.1
200401,22.9,-7.2
200402,32.4,2.6
200403,37.8,0.9
200404,46.7,1.7
200405,57.0,2.1
200406,63.5,-0.2
200407,70.1,0.3
200408,69.5,0.9
200409,64.6,2.0
200410,53.4,0.0
200411,44.4,0.7
200412,37.3,3.2
200501,29.6,-0.5
200502,32.0,2.2
200503,34.6,-2.3
200504,47.0,2.0
200505,51.0,-3.9
200506,65.0,1.3
200507,70.6,0.8
200508,73.3,4.7
200509,66.8,4.2
200510,56.1,2.7
200511,48.1,4.4
200512,34.7,0.6
200601,38.6,8.5
200602,32.8,3.0
200603,37.6,0.7
200604,47.6,2.6
200605,56.4,1.5
200606,65.8,2.1
200607,73.3,3.5
200608,70.0,1.4
200609,62.7,0.1
200610,54.2,0.8
200611,49.7,6.0
200612,42.1,8.0
200701,35.5,5.4
200702,28.4,-1.4
200703,37.8,0.9
200704,44.2,-0.8
200705,56.6,1.7
200706,65.3,1.6
200707,71.3,1.5
200708,70.7,2.1
200709,65.1,2.5
200710,58.8,5.4
200711,43.5,-0.2
200712,34.8,0.7
200801,33.6,3.5
200802,33.6,3.8
200803,38.2,1.3
200804,47.7,2.7
200805,54.3,-0.6
200806,67.7,4.0
200807,73.3,3.5
200808,68.7,0.1
200809,65.2,2.6
200810,52.5,-0.9
200811,44.0,0.3
200812,38.6,4.5
200901,27.5,-2.6
200902,33.3,3.5
200903,37.7,0.8
200904,48.9,3.9
200905,56.9,2.0
200906,62.3,-1.4
200907,69.1,-0.7
200908,72.8,4.2
200909,62.5,-0.1
200910,52.2,-1.2
200911,50.1,6.4
200912,34.9,0.8
201001,30.2,0.1
201002,33.2,3.4
201003,43.5,6.6
201004,50.4,5.4
201005,59.7,4.8
201006,68.0,4.3
201007,75.9,6.1
201008,71.9,3.3
201009,66.8,4.2
201010,55.4,2.0
201011,45.2,1.5
201012,33.3,-0.8
201101,29.4,-0.7
201102,32.1,2.3
201103,38.1,1.2
201104,48.3,3.3
201105,57.5,2.6
201106,65.1,1.4
201107,73.0,3.2
201108,72.0,3.4
201109,67.2,4.6
201110,57.5,4.1
201111,49.7,6.0
201112,40.8,6.7
201201,37.5,7.4
201202,37.7,7.9
201203,44.9,8.0
201204,50.5,5.5
201205,59.7,4.8
201206,65.4,1.7
201207,73.8,4.0
201208,73.4,4.8
201209,64.6,2.0
201210,57.7,4.3
201211,43.8,0.1
201212,40.5,6.4
201301,32.8,2.7
201302,32.6,2.8
201303,38.4,1.5
201304,46.8,1.8
201305,57.2,2.3
201306,66.8,3.1
201307,75.5,5.7
201308,69.6,1.0
201309,63.2,0.6
201310,55.8,2.4
201311,43.8,0.1
201312,36.6,2.5
201401,29.2,-0.9
201402,30.4,0.6
201403,33.7,-3.2
201404,46.2,1.2
201405,57.2,2.3
201406,65.2,1.5
201407,71.5,1.7
201408,68.4,-0.2
201409,65.2,2.6
201410,57.1,3.7
201411,44.0,0.3
201412,41.1,7.0
201501,29.5,-0.6
201502,22.5,-7.3
201503,32.5,-4.4
201504,46.0,1.0
201505,59.2,4.3
201506,63.3,-0.4
201507,71.8,2.0
201508,73.6,5.0
201509,68.0,5.4
201510,54.0,0.6
201511,48.7,5.0
201512,47.3,13.2
201601,33.7,3.6
201602,35.2,5.4
201603,42.6,5.7
201604,45.7,0.7
201605,56.4,1.5
201606,65.4,1.7
201607,72.9,3.1
201608,73.8,5.2
201609,67.3,4.7
201610,56.4,3.0
201611,46.8,3.1
201612,37.7,3.6
201701,36.7,6.6
201702,37.6,7.8
201703,35.0,-1.9
201704,50.0,5.0
201705,55.4,0.5
201706,65.0,1.3
201707,71.0,1.2
201708,69.6,1.0
201709,66.6,4.0
201710,60.0,6.6
201711,45.8,2.1
201712,33.3,-0.8
201801,30.2,0.1
201802,38.6,8.8
201803,37.7,0.8
201804,44.0,-1.0
201805,58.5,3.6
201806,64.2,0.5
201807,72.2,2.4
201808,75.0,6.4
201809,67.2,4.6
201810,54.1,0.7
201811,43.9,0.2
201812,36.7,2.6
201901,31.8,1.7
201902,33.1,3.3
201903,36.5,-0.4
201904,48.4,3.4
201905,54.7,-0.2
201906,65.0,1.3
201907,73.8,4.0
201908,71.9,3.3
201909,64.5,1.9
201910,56.1,2.7
201911,43.3,-0.4
201912,36.7,2.6
202001,36.6,6.5
