Worcester County, Massachusetts, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,22.6,-0.2
200002,29.1,5.2
200003,40.2,6.7
200004,44.6,0.2
200005,56.0,0.4
200006,64.8,0.6
200007,66.7,-2.7
200008,66.1,-0.9
200009,59.2,-0.4
200010,49.2,0.1
200011,39.2,1.0
200012,23.8,-3.0
200101,23.1,0.3
200102,26.4,2.5
200103,31.3,-2.2
200104,45.6,1.2
200105,57.9,2.3
200106,67.3,3.1
200107,66.8,-2.6
200108,71.5,4.5
200109,61.2,1.6
200110,51.1,2.0
200111,43.4,5.2
200112,34.8,8.0
200201,31.4,8.6
200202,31.5,7.6
200203,35.9,2.4
200204,48.2,3.8
200205,54.2,-1.4
200206,63.6,-0.6
200207,70.8,1.4
200208,71.1,4.1
200209,64.0,4.4
200210,47.2,-1.9
200211,37.6,-0.6
200212,27.1,0.3
200301,17.2,-5.6
200302,21.3,-2.6
200303,33.8,0.3
200304,42.4,-2.0
200305,53.9,-1.7
200306,64.1,-0.1
200307,70.7,1.3
200308,70.8,3.8
200309,61.6,2.0
200310,47.5,-1.6
200311,42.1,3.9
200312,30.2,3.4
200401,16.1,-6.7
200402,26.3,2.4
200403,35.8,2.3
200404,46.5,2.1
200405,58.5,2.9
200406,63.6,-0.6
200407,68.6,-0.8
200408,68.6,1.6
200409,61.5,1.9
200410,48.9,-0.2
200411,39.6,1.4
200412,28.5,1.7
200501,21.6,-1.2
200502,27.0,3.1
200503,30.3,-3.2
200504,48.1,3.7
200505,51.2,-4.4
200506,68.2,4.0
200507,71.1,1.7
200508,71.6,4.6
200509,64.3,4.7
200510,51.1,2.0
200511,40.7,2.5
200512,26.6,-0.2
200601,31.5,8.7
200602,26.9,3.0
200603,34.6,1.1
200604,47.6,3.2
200605,55.8,0.2
200606,66.3,2.1
200607,72.8,3.4
200608,67.7,0.7
200609,59.4,-0.2
200610,48.9,-0.2
200611,44.8,6.6
200612,36.1,9.3
200701,28.6,5.8
200702,21.0,-2.9
200703,33.2,-0.3
200704,42.9,-1.5
200705,58.3,2.7
200706,65.1,0.9
200707,69.7,0.3
200708,68.8,1.8
200709,62.5,2.9
200710,55.0,5.9
200711,37.5,-0.7
200712,26.8,0.0
200801,26.8,4.0
200802,27.3,3.4
200803,33.5,0.0
200804,47.6,3.2
200805,54.1,-1.5
200806,66.9,2.7
200807,71.8,2.4
200808,66.5,-0.5
200809,61.2,1.6
200810,48.2,-0.9
200811,38.8,0.6
200812,29.6,2.8
200901,18.1,-4.7
200902,27.5,3.6
200903,34.6,1.1
200904,48.0,3.6
200905,56.6,1.0
200906,62.4,-1.8
200907,66.8,-2.6
200908,70.6,3.6
200909,59.0,-0.6
200910,47.5,-1.6
200911,44.0,5.8
200912,27.8,1.0
201001,25.0,2.2
201002,28.3,4.4
201003,41.0,7.5
201004,50.2,5.8
201005,60.2,4.6
201006,67.4,3.2
201007,73.7,4.3
201008,69.6,2.6
201009,63.7,4.1
201010,50.1,1.0
201011,40.1,1.9
201012,26.8,0.0
201101,20.9,-1.9
201102,23.7,-0.2
201103,34.5,1.0
201104,47.2,2.8
201105,58.2,2.6
201106,64.8,0.6
201107,72.5,3.1
201108,69.2,2.2
201109,64.3,4.7
201110,51.4,2.3
201111,44.5,6.3
201112,35.0,8.2
201201,29.1,6.3
201202,32.9,9.0
201203,43.8,10.3
201204,48.3,3.9
201205,60.6,5.0
201206,64.9,0.7
201207,72.9,3.5
201208,71.2,4.2
201209,61.3,1.7
201210,52.5,3.4
201211,38.2,0.0
201212,33.6,6.8
201301,26.3,3.5
201302,27.5,3.6
201303,34.1,0.6
201304,46.0,1.6
201305,57.7,2.1
201306,66.8,2.6
201307,74.7,5.3
201308,67.5,0.5
201309,60.1,0.5
201310,50.7,1.6
201311,37.6,-0.6
201312,27.8,1.0
201401,22.0,-0.8
201402,22.6,-1.3
201403,27.8,-5.7
201404,45.3,0.9
201405,56.8,1.2
201406,65.9,1.7
201407,70.9,1.5
201408,66.6,-0.4
201409,61.3,1.7
201410,52.2,3.1
201411,37.6,-0.6
201412,33.5,6.7
201501,20.5,-2.3
201502,12.6,-11.3
201503,28.4,-5.1
201504,45.2,0.8
201505,62.0,6.4
201506,63.5,-0.7
201507,70.6,1.2
201508,70.3,3.3
201509,65.4,5.8
201510,48.9,-0.2
201511,43.7,5.5
201512,40.5,13.7
201601,27.5,4.7
201602,29.8,5.9
201603,40.6,7.1
201604,44.6,0.2
201605,57.2,1.6
201606,66.0,1.8
201607,72.2,2.8
201608,72.0,5.0
201609,63.9,4.3
201610,51.4,2.3
201611,41.5,3.3
201612,29.9,3.1
201701,30.6,7.8
201702,32.0,8.1
201703,30.8,-2.7
201704,50.0,5.6
201705,55.1,-0.5
201706,66.0,1.8
201707,69.8,0.4
201708,67.7,0.7
201709,64.7,5.1
201710,56.9,7.8
201711,39.3,1.1
201712,25.7,-1.1
201801,23.8,1.0
201802,33.6,9.7
201803,34.4,0.9
201804,42.0,-2.4
201805,61.0,5.4
201806,64.9,0.7
201807,73.5,4.1
201808,72.8,5.8
201809,64.9,5.3
201810,49.5,0.4
201811,36.6,-1.6
201812,31.4,4.6
201901,24.8,2.0
201902,27.8,3.9
201903,33.3,-0.2
201904,47.5,3.1
201905,55.1,-0.5
201906,65.6,1.4
201907,73.5,4.1
201908,69.2,2.2
201909,61.4,1.8
201910,51.5,2.4
201911,36.3,-1.9
201912,29.4,2.6
202001,31.4,8.6
