Prince George's County, Maryland, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,34.0,0.3
200002,40.0,4.7
200003,49.6,5.6
200004,54.0,0.4
200005,66.2,2.6
200006,73.5,1.7
200007,72.9,-3.3
200008,73.6,-0.7
200009,66.4,-1.6
200010,58.0,1.3
200011,44.6,-1.2
200012,30.1,-6.3
200101,33.1,-0.6
200102,39.0,3.7
200103,41.9,-2.1
200104,55.8,2.2
200105,64.0,0.4
200106,73.4,1.6
200107,73.3,-2.9
200108,77.0,2.7
200109,66.6,-1.4
200110,57.1,0.4
200111,51.6,5.8
200112,43.6,7.2
200201,39.6,5.9
200202,40.9,5.6
200203,46.1,2.1
200204,58.1,4.5
200205,63.3,-0.3
200206,74.5,2.7
200207,79.0,2.8
200208,78.8,4.5
200209,70.3,2.3
200210,57.2,0.5
200211,45.4,-0.4
200212,35.3,-1.1
200301,29.8,-3.9
200302,31.9,-3.4
200303,45.5,1.5
200304,53.5,-0.1
200305,60.4,-3.2
200306,70.3,-1.5
200307,76.5,0.3
200308,77.3,3.0
200309,68.8,0.8
200310,55.4,-1.3
200311,51.7,5.9
200312,37.6,1.2
200401,29.2,-4.5
200402,35.7,0.4
200403,46.8,2.8
200404,55.6,2.0
200405,70.7,7.1
200406,71.7,-0.1
200407,76.5,0.3
200408,74.5,0.2
200409,69.8,1.8
200410,56.5,-0.2
200411,49.5,3.7
200412,38.3,1.9
200501,34.8,1.1
200502,38.1,2.8
200503,41.2,-2.8
200504,55.6,2.0
200505,60.0,-3.6
200506,73.9,2.1
200507,78.6,2.4
200508,78.0,3.7
200509,72.4,4.4
200510,58.8,2.1
200511,49.1,3.3
200512,35.0,-1.4
200601,41.9,8.2
200602,37.6,2.3
200603,46.1,2.1
200604,58.1,4.5
200605,63.2,-0.4
200606,72.8,1.0
200607,78.9,2.7
200608,78.2,3.9
200609,66.2,-1.8
200610,55.7,-1.0
200611,49.5,3.7
200612,43.4,7.0
200701,39.4,5.7
200702,29.5,-5.8
200703,46.2,2.2
200704,52.2,-1.4
200705,66.0,2.4
200706,74.0,2.2
200707,76.9,0.7
200708,77.7,3.4
200709,70.8,2.8
200710,64.3,7.6
200711,47.0,1.2
200712,39.1,2.7
200801,37.1,3.4
200802,38.9,3.6
200803,46.2,2.2
200804,56.6,3.0
200805,61.7,-1.9
200806,75.6,3.8
200807,77.6,1.4
200808,74.0,-0.3
200809,70.3,2.3
200810,56.2,-0.5
200811,45.5,-0.3
200812,39.2,2.8
200901,30.1,-3.6
200902,38.7,3.4
200903,43.8,-0.2
200904,55.9,2.3
200905,64.3,0.7
200906,72.1,0.3
200907,75.0,-1.2
200908,77.5,3.2
200909,67.8,-0.2
200910,56.1,-0.6
200911,49.9,4.1
200912,36.1,-0.3
201001,33.4,-0.3
201002,32.2,-3.1
201003,48.9,4.9
201004,58.9,5.3
201005,66.8,3.2
201006,77.9,6.1
201007,80.4,4.2
201008,77.5,3.2
201009,71.6,3.6
201010,59.0,2.3
201011,47.3,1.5
201012,32.5,-3.9
201101,31.0,-2.7
201102,39.1,3.8
201103,45.0,1.0
201104,58.0,4.4
201105,67.0,3.4
201106,75.8,4.0
201107,81.0,4.8
201108,76.5,2.2
201109,70.2,2.2
201110,56.8,0.1
201111,50.5,4.7
201112,42.5,6.1
201201,38.3,4.6
201202,42.2,6.9
201203,54.2,10.2
201204,55.7,2.1
201205,68.8,5.2
201206,73.1,1.3
201207,80.9,4.7
201208,77.4,3.1
201209,69.4,1.4
201210,58.4,1.7
201211,43.6,-2.2
201212,43.0,6.6
201301,37.7,4.0
201302,36.1,0.8
201303,41.4,-2.6
201304,56.1,2.5
201305,63.8,0.2
201306,74.0,2.2
201307,78.8,2.6
201308,73.6,-0.7
201309,67.7,-0.3
201310,59.3,2.6
201311,44.4,-1.4
201312,40.0,3.6
201401,28.8,-4.9
201402,34.8,-0.5
201403,39.2,-4.8
201404,54.4,0.8
201405,65.6,2.0
201406,73.9,2.1
201407,76.1,-0.1
201408,73.3,-1.0
201409,69.7,1.7
201410,59.5,2.8
201411,44.1,-1.7
201412,40.8,4.4
201501,31.8,-1.9
201502,27.2,-8.1
201503,40.3,-3.7
201504,55.6,2.0
201505,69.4,5.8
201506,74.6,2.8
201507,77.2,1.0
201508,75.5,1.2
201509,72.6,4.6
201510,56.7,0.0
201511,51.6,5.8
201512,49.8,13.4
201601,32.9,-0.8
201602,38.1,2.8
201603,50.9,6.9
201604,54.4,0.8
201605,61.9,-1.7
201606,73.8,2.0
201607,79.6,3.4
201608,79.4,5.1
201609,73.1,5.1
201610,60.6,3.9
201611,48.8,3.0
201612,39.4,3.0
201701,39.7,6.0
201702,45.0,9.7
201703,44.5,0.5
201704,61.0,7.4
201705,63.1,-0.5
201706,74.0,2.2
201707,78.8,2.6
201708,74.2,-0.1
201709,69.3,1.3
201710,62.2,5.5
201711,46.9,1.1
201712,36.9,0.5
201801,32.6,-1.1
201802,42.8,7.5
201803,41.0,-3.0
201804,52.5,-1.1
201805,70.3,6.7
201806,73.2,1.4
201807,77.6,1.4
201808,78.1,3.8
201809,73.5,5.5
201810,59.8,3.1
201811,44.0,-1.8
201812,40.5,4.1
201901,35.3,1.6
201902,38.8,3.5
201903,43.6,-0.4
201904,59.3,5.7
201905,68.8,5.2
201906,73.9,2.1
201907,79.8,3.6
201908,77.0,2.7
201909,73.3,5.3
201910,61.6,4.9
201911,43.9,-1.9
201912,40.3,3.9
202001,40.6,6.9
