Washington County, Maryland, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,29.9,0.0
200002,37.5,5.7
200003,47.4,6.6
200004,51.9,0.9
200005,63.8,2.4
200006,71.5,1.8
200007,70.7,-3.5
200008,71.0,-1.0
200009,64.3,-1.0
200010,56.2,2.3
200011,41.1,-1.5
200012,26.1,-6.7
200101,29.9,0.0
200102,36.8,5.0
200103,38.2,-2.6
200104,54.0,3.0
200105,61.3,-0.1
200106,70.8,1.1
200107,71.1,-3.1
200108,75.2,3.2
200109,64.2,-1.1
200110,55.3,1.4
200111,49.7,7.1
200112,39.9,7.1
200201,38.1,8.2
200202,38.7,6.9
200203,43.8,3.0
200204,55.1,4.1
200205,60.1,-1.3
200206,71.8,2.1
200207,76.0,1.8
200208,75.2,3.2
200209,67.6,2.3
200210,53.0,-0.9
200211,42.8,0.2
200212,32.1,-0.7
200301,26.6,-3.3
200302,28.9,-2.9
200303,42.2,1.4
200304,52.1,1.1
200305,59.3,-2.1
200306,68.2,-1.5
200307,73.6,-0.6
200308,74.9,2.9
200309,65.2,-0.1
200310,52.2,-1.7
200311,48.7,6.1
200312,33.7,0.9
200401,25.6,-4.3
200402,32.0,0.2
200403,44.9,4.1
200404,53.4,2.4
200405,68.0,6.6
200406,69.4,-0.3
200407,74.4,0.2
200408,72.6,0.6
200409,67.2,1.9
200410,54.1,0.2
200411,47.2,4.6
200412,35.2,2.4
200501,32.2,2.3
200502,35.6,3.8
200503,37.9,-2.9
200504,54.0,3.0
200505,57.7,-3.7
200506,72.8,3.1
200507,76.8,2.6
200508,75.6,3.6
200509,69.2,3.9
200510,56.1,2.2
200511,46.9,4.3
200512,30.8,-2.0
200601,39.5,9.6
200602,34.4,2.6
200603,42.7,1.9
200604,55.0,4.0
200605,60.5,-0.9
200606,70.4,0.7
200607,76.4,2.2
200608,75.9,3.9
200609,63.6,-1.7
200610,53.3,-0.6
200611,47.2,4.6
200612,41.3,8.5
200701,36.1,6.2
200702,26.0,-5.8
200703,43.4,2.6
200704,49.9,-1.1
200705,64.5,3.1
200706,71.6,1.9
200707,74.7,0.5
200708,75.2,3.2
200709,68.5,3.2
200710,61.7,7.8
200711,43.4,0.8
200712,35.6,2.8
200801,33.7,3.8
200802,33.4,1.6
200803,42.4,1.6
200804,55.0,4.0
200805,58.6,-2.8
200806,72.8,3.1
200807,75.0,0.8
200808,70.8,-1.2
200809,66.6,1.3
200810,52.7,-1.2
200811,42.2,-0.4
200812,35.2,2.4
200901,26.8,-3.1
200902,34.9,3.1
200903,42.3,1.5
200904,53.3,2.3
200905,62.1,0.7
200906,69.4,-0.3
200907,71.5,-2.7
200908,74.8,2.8
200909,65.0,-0.3
200910,52.9,-1.0
200911,47.5,4.9
200912,32.5,-0.3
201001,30.0,0.1
201002,29.5,-2.3
201003,46.2,5.4
201004,56.7,5.7
201005,64.2,2.8
201006,73.8,4.1
201007,77.7,3.5
201008,75.3,3.3
201009,68.3,3.0
201010,55.8,1.9
201011,43.2,0.6
201012,29.0,-3.8
201101,27.5,-2.4
201102,35.3,3.5
201103,42.4,1.6
201104,55.0,4.0
201105,64.0,2.6
201106,72.2,2.5
201107,78.0,3.8
201108,73.6,1.6
201109,67.0,1.7
201110,53.0,-0.9
201111,47.5,4.9
201112,39.1,6.3
201201,35.3,5.4
201202,39.3,7.5
201203,51.5,10.7
201204,52.7,1.7
201205,67.2,5.8
201206,69.8,0.1
201207,77.8,3.6
201208,73.8,1.8
201209,65.7,0.4
201210,54.6,0.7
201211,40.3,-2.3
201212,39.2,6.4
201301,34.6,4.7
201302,32.8,1.0
201303,38.3,-2.5
201304,53.8,2.8
201305,61.2,-0.2
201306,71.6,1.9
201307,76.3,2.1
201308,70.9,-1.1
201309,64.3,-1.0
201310,55.9,2.0
201311,40.9,-1.7
201312,35.9,3.1
201401,24.8,-5.1
201402,30.7,-1.1
201403,37.1,-3.7
201404,51.9,0.9
201405,62.8,1.4
201406,71.6,1.9
201407,73.3,-0.9
201408,70.3,-1.7
201409,65.9,0.6
201410,56.4,2.5
201411,40.3,-2.3
201412,37.6,4.8
201501,28.2,-1.7
201502,24.0,-7.8
201503,38.2,-2.6
201504,53.6,2.6
201505,67.0,5.6
201506,71.6,1.9
201507,74.5,0.3
201508,72.6,0.6
201509,68.6,3.3
201510,53.4,-0.5
201511,48.5,5.9
201512,45.2,12.4
201601,29.1,-0.8
201602,34.6,2.8
201603,47.9,7.1
201604,51.9,0.9
201605,60.6,-0.8
201606,71.2,1.5
201607,77.0,2.8
201608,76.8,4.8
201609,70.3,5.0
201610,57.4,3.5
201611,45.7,3.1
201612,35.8,3.0
201701,36.6,6.7
201702,42.5,10.7
201703,41.1,0.3
201704,58.6,7.6
201705,60.9,-0.5
201706,71.2,1.5
201707,75.6,1.4
201708,70.9,-1.1
201709,66.2,0.9
201710,59.5,5.6
201711,43.2,0.6
201712,34.0,1.2
201801,29.9,0.0
201802,39.6,7.8
201803,37.0,-3.8
201804,49.2,-1.8
201805,67.8,6.4
201806,70.5,0.8
201807,74.7,0.5
201808,75.3,3.3
201809,70.3,5.0
201810,57.1,3.2
201811,40.7,-1.9
201812,36.3,3.5
201901,31.2,1.3
201902,35.0,3.2
201903,40.2,-0.6
201904,56.0,5.0
201905,66.1,4.7
201906,70.0,0.3
201907,76.6,2.4
201908,73.8,1.8
201909,70.0,4.7
201910,57.3,3.4
201911,40.4,-2.2
201912,36.1,3.3
202001,36.6,6.7
