Cumberland County, Maine, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,19.3,0.3
200002,24.2,3.7
200003,36.8,6.1
200004,42.6,0.8
200005,52.7,-0.4
200006,62.7,0.5
200007,65.1,-2.8
200008,65.6,-0.2
200009,57.5,-0.4
200010,48.0,0.5
200011,38.7,2.5
200012,22.3,-1.6
200101,18.6,-0.4
200102,21.8,1.3
200103,29.2,-1.5
200104,42.0,0.2
200105,55.6,2.5
200106,66.2,4.0
200107,66.4,-1.5
200108,70.2,4.4
200109,60.4,2.5
200110,49.3,1.8
200111,40.4,4.2
200112,32.7,8.8
200201,28.3,9.3
200202,26.5,6.0
200203,33.2,2.5
200204,44.4,2.6
200205,52.5,-0.6
200206,61.4,-0.8
200207,69.1,1.2
200208,70.3,4.5
200209,62.7,4.8
200210,45.7,-1.8
200211,35.2,-1.0
200212,25.1,1.2
200301,14.3,-4.7
200302,18.6,-1.9
200303,29.7,-1.0
200304,40.2,-1.6
200305,52.1,-1.0
200306,63.5,1.3
200307,69.4,1.5
200308,68.7,2.9
200309,60.2,2.3
200310,46.9,-0.6
200311,39.3,3.1
200312,27.3,3.4
200401,13.0,-6.0
200402,23.5,3.0
200403,34.2,3.5
200404,43.4,1.6
200405,55.1,2.0
200406,60.8,-1.4
200407,66.9,-1.0
200408,67.3,1.5
200409,59.7,1.8
200410,48.2,0.7
200411,37.4,1.2
200412,25.3,1.4
200501,17.2,-1.8
200502,24.0,3.5
200503,28.7,-2.0
200504,44.4,2.6
200505,49.1,-4.0
200506,65.7,3.5
200507,69.5,1.6
200508,69.1,3.3
200509,62.4,4.5
200510,49.7,2.2
200511,38.8,2.6
200512,25.5,1.6
200601,28.4,9.4
200602,24.2,3.7
200603,33.1,2.4
200604,45.6,3.8
200605,54.5,1.4
200606,65.0,2.8
200607,71.9,4.0
200608,65.6,-0.2
200609,58.7,0.8
200610,47.8,0.3
200611,42.4,6.2
200612,33.2,9.3
200701,23.5,4.5
200702,17.7,-2.8
200703,30.8,0.1
200704,41.0,-0.8
200705,55.4,2.3
200706,63.2,1.0
200707,67.4,-0.5
200708,67.1,1.3
200709,60.4,2.5
200710,52.6,5.1
200711,36.0,-0.2
200712,23.2,-0.7
200801,24.2,5.2
200802,24.0,3.5
200803,29.7,-1.0
200804,44.6,2.8
200805,53.8,0.7
200806,64.5,2.3
200807,70.2,2.3
200808,65.5,-0.3
200809,59.4,1.5
200810,47.5,0.0
200811,37.3,1.1
200812,25.9,2.0
200901,14.4,-4.6
200902,23.6,3.1
200903,31.0,0.3
200904,46.1,4.3
200905,54.7,1.6
200906,60.9,-1.3
200907,65.1,-2.8
200908,68.8,3.0
200909,57.9,0.0
200910,45.5,-2.0
200911,41.4,5.2
200912,26.2,2.3
201001,23.4,4.4
201002,28.7,8.2
201003,39.0,8.3
201004,48.3,6.5
201005,58.0,4.9
201006,64.2,2.0
201007,72.0,4.1
201008,68.1,2.3
201009,61.9,4.0
201010,48.4,0.9
201011,38.0,1.8
201012,26.9,3.0
201101,19.2,0.2
201102,21.1,0.6
201103,31.3,0.6
201104,43.9,2.1
201105,55.2,2.1
201106,63.0,0.8
201107,71.6,3.7
201108,67.5,1.7
201109,61.8,3.9
201110,50.5,3.0
201111,41.8,5.6
201112,31.2,7.3
201201,23.8,4.8
201202,27.8,7.3
201203,39.5,8.8
201204,46.2,4.4
201205,56.9,3.8
201206,62.9,0.7
201207,70.7,2.8
201208,69.9,4.1
201209,58.3,0.4
201210,51.5,4.0
201211,36.0,-0.2
201212,29.5,5.6
201301,22.1,3.1
201302,25.3,4.8
201303,33.3,2.6
201304,43.2,1.4
201305,54.4,1.3
201306,64.9,2.7
201307,71.4,3.5
201308,66.6,0.8
201309,58.8,0.9
201310,50.0,2.5
201311,35.6,-0.6
201312,22.4,-1.5
201401,18.6,-0.4
201402,20.4,-0.1
201403,24.0,-6.7
201404,42.7,0.9
201405,54.8,1.7
201406,63.9,1.7
201407,69.6,1.7
201408,65.9,0.1
201409,59.1,1.2
201410,51.5,4.0
201411,35.4,-0.8
201412,30.2,6.3
201501,17.1,-1.9
201502,10.5,-10.0
201503,26.7,-4.0
201504,42.7,0.9
201505,59.3,6.2
201506,60.8,-1.4
201507,68.2,0.3
201508,69.3,3.5
201509,64.4,6.5
201510,47.4,-0.1
201511,40.8,4.6
201512,35.5,11.6
201601,24.6,5.6
201602,26.6,6.1
201603,35.7,5.0
201604,42.0,0.2
201605,55.3,2.2
201606,63.6,1.4
201607,70.4,2.5
201608,70.2,4.4
201609,62.5,4.6
201610,49.5,2.0
201611,39.2,3.0
201612,25.1,1.2
201701,26.8,7.8
201702,26.8,6.3
201703,26.6,-4.1
201704,45.9,4.1
201705,52.7,-0.4
201706,64.4,2.2
201707,68.5,0.6
201708,66.5,0.7
201709,63.8,5.9
201710,55.6,8.1
201711,36.0,-0.2
201712,20.8,-3.1
201801,19.5,0.5
201802,28.2,7.7
201803,32.4,1.7
201804,40.5,-1.3
201805,57.3,4.2
201806,62.4,0.2
201807,70.4,2.5
201808,70.6,4.8
201809,61.8,3.9
201810,46.1,-1.4
201811,32.3,-3.9
201812,26.0,2.1
201901,19.6,0.6
201902,22.0,1.5
201903,29.1,-1.6
201904,43.1,1.3
201905,51.9,-1.2
201906,62.4,0.2
201907,71.6,3.7
201908,67.5,1.7
201909,59.2,1.3
201910,49.6,2.1
201911,33.1,-3.1
201912,27.2,3.3
202001,25.8,6.8
