Alpena County, Michigan, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,19.1,1.4
200002,24.8,7.2
200003,37.5,10.4
200004,41.2,1.2
200005,54.5,3.0
200006,61.7,0.1
200007,65.1,-1.7
200008,64.6,0.1
200009,57.1,-0.1
200010,49.4,2.9
200011,36.1,1.9
200012,17.0,-6.0
200101,23.8,6.1
200102,21.6,4.0
200103,28.6,1.5
200104,44.4,4.4
200105,56.2,4.7
200106,64.6,3.0
200107,67.2,0.4
200108,69.6,5.1
200109,57.9,0.7
200110,47.4,0.9
200111,43.0,8.8
200112,32.4,9.4
200201,27.0,9.3
200202,25.6,8.0
200203,26.5,-0.6
200204,42.0,2.0
200205,48.7,-2.8
200206,63.5,1.9
200207,72.0,5.2
200208,66.9,2.4
200209,63.6,6.4
200210,43.5,-3.0
200211,33.6,-0.6
200212,26.8,3.8
200301,16.6,-1.1
200302,14.8,-2.8
200303,27.6,0.5
200304,38.5,-1.5
200305,50.8,-0.7
200306,61.3,-0.3
200307,67.5,0.7
200308,68.1,3.6
200309,58.9,1.7
200310,46.0,-0.5
200311,37.8,3.6
200312,28.1,5.1
200401,13.1,-4.6
200402,21.7,4.1
200403,33.1,6.0
200404,42.5,2.5
200405,50.9,-0.6
200406,60.6,-1.0
200407,65.6,-1.2
200408,62.9,-1.6
200409,63.4,6.2
200410,49.1,2.6
200411,37.9,3.7
200412,22.1,-0.9
200501,17.2,-0.5
200502,24.4,6.8
200503,25.4,-1.7
200504,43.5,3.5
200505,50.1,-1.4
200506,68.0,6.4
200507,69.8,3.0
200508,67.4,2.9
200509,62.6,5.4
200510,50.4,3.9
200511,37.4,3.2
200512,23.3,0.3
200601,28.1,10.4
200602,21.4,3.8
200603,31.2,4.1
200604,44.8,4.8
200605,56.1,4.6
200606,64.9,3.3
200607,71.6,4.8
200608,66.6,2.1
200609,57.4,0.2
200610,44.4,-2.1
200611,38.5,4.3
200612,31.7,8.7
200701,23.6,5.9
200702,15.1,-2.5
200703,32.2,5.1
200704,40.6,0.6
200705,55.5,4.0
200706,66.4,4.8
200707,66.9,0.1
200708,68.2,3.7
200709,61.5,4.3
200710,54.0,7.5
200711,34.6,0.4
200712,24.1,1.1
200801,22.7,5.0
200802,18.5,0.9
200803,25.8,-1.3
200804,45.0,5.0
200805,50.0,-1.5
200806,64.1,2.5
200807,67.9,1.1
200808,65.8,1.3
200809,59.3,2.1
200810,46.1,-0.4
200811,35.7,1.5
200812,20.5,-2.5
200901,12.5,-5.2
200902,21.3,3.7
200903,28.6,1.5
200904,41.6,1.6
200905,52.1,0.6
200906,60.6,-1.0
200907,63.4,-3.4
200908,65.0,0.5
200909,59.7,2.5
200910,44.4,-2.1
200911,40.9,6.7
200912,23.9,0.9
201001,21.9,4.2
201002,22.7,5.1
201003,36.1,9.0
201004,46.8,6.8
201005,57.0,5.5
201006,62.8,1.2
201007,70.8,4.0
201008,70.0,5.5
201009,57.6,0.4
201010,48.6,2.1
201011,37.8,3.6
201012,23.1,0.1
201101,15.2,-2.5
201102,20.9,3.3
201103,26.2,-0.9
201104,39.7,-0.3
201105,53.0,1.5
201106,62.2,0.6
201107,72.2,5.4
201108,68.2,3.7
201109,58.4,1.2
201110,48.4,1.9
201111,39.9,5.7
201112,29.6,6.6
201201,24.0,6.3
201202,28.0,10.4
201203,40.6,13.5
201204,42.4,2.4
201205,57.1,5.6
201206,66.4,4.8
201207,71.6,4.8
201208,67.5,3.0
201209,57.5,0.3
201210,47.1,0.6
201211,35.9,1.7
201212,30.2,7.2
201301,22.8,5.1
201302,20.8,3.2
201303,28.2,1.1
201304,38.5,-1.5
201305,53.4,1.9
201306,62.8,1.2
201307,68.0,1.2
201308,66.4,1.9
201309,57.8,0.6
201310,47.7,1.2
201311,34.2,0.0
201312,18.0,-5.0
201401,12.5,-5.2
201402,12.0,-5.6
201403,19.9,-7.2
201404,39.2,-0.8
201405,52.9,1.4
201406,63.6,2.0
201407,64.6,-2.2
201408,64.8,0.3
201409,58.4,1.2
201410,47.0,0.5
201411,31.4,-2.8
201412,28.4,5.4
201501,14.9,-2.8
201502,7.0,-10.6
201503,27.2,0.1
201504,41.5,1.5
201505,56.3,4.8
201506,60.5,-1.1
201507,68.0,1.2
201508,67.0,2.5
201509,64.9,7.7
201510,48.1,1.6
201511,40.7,6.5
201512,35.7,12.7
201601,22.2,4.5
201602,23.6,6.0
201603,34.1,7.0
201604,37.3,-2.7
201605,54.7,3.2
201606,63.9,2.3
201607,70.6,3.8
201608,70.6,6.1
201609,63.6,6.4
201610,51.3,4.8
201611,43.2,9.0
201612,27.1,4.1
201701,25.5,7.8
201702,28.6,11.0
201703,29.0,1.9
201704,45.5,5.5
201705,52.2,0.7
201706,64.5,2.9
201707,68.1,1.3
201708,66.1,1.6
201709,62.7,5.5
201710,52.8,6.3
201711,34.9,0.7
201712,20.6,-2.4
201801,19.9,2.2
201802,22.1,4.5
201803,28.2,1.1
201804,33.5,-6.5
201805,58.1,6.6
201806,63.2,1.6
201807,71.3,4.5
201808,70.4,5.9
201809,62.1,4.9
201810,46.2,-0.3
201811,30.6,-3.6
201812,29.0,6.0
201901,14.7,-3.0
201902,19.2,1.6
201903,25.9,-1.2
201904,40.9,0.9
201905,49.4,-2.1
201906,60.2,-1.4
201907,69.5,2.7
201908,65.5,1.0
201909,60.2,3.0
201910,46.2,-0.3
201911,30.9,-3.3
201912,27.8,4.8
202001,27.3,9.6
