Genesee County, Michigan, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,20.7,-0.4
200002,29.0,7.0
200003,41.4,9.0
200004,44.9,0.0
200005,59.4,3.0
200006,67.0,0.9
200007,67.2,-3.5
200008,68.1,-0.2
200009,59.9,-1.1
200010,53.4,3.9
200011,37.9,0.9
200012,16.4,-9.5
200101,24.4,3.3
200102,26.7,4.7
200103,32.1,-0.3
200104,48.2,3.3
200105,59.5,3.1
200106,66.5,0.4
200107,70.8,0.1
200108,71.4,3.1
200109,59.3,-1.7
200110,50.1,0.6
200111,46.1,9.1
200112,34.0,8.1
200201,30.5,9.4
200202,30.0,8.0
200203,31.8,-0.6
200204,47.5,2.6
200205,52.4,-4.0
200206,68.7,2.6
200207,74.1,3.4
200208,70.4,2.1
200209,66.0,5.0
200210,47.5,-2.0
200211,36.5,-0.5
200212,26.9,1.0
200301,18.5,-2.6
200302,20.1,-1.9
200303,32.9,0.5
200304,44.7,-0.2
200305,55.0,-1.4
200306,64.1,-2.0
200307,70.1,-0.6
200308,70.5,2.2
200309,61.5,0.5
200310,48.7,-0.8
200311,41.4,4.4
200312,31.0,5.1
200401,16.6,-4.5
200402,23.9,1.9
200403,38.5,6.1
200404,48.8,3.9
200405,58.7,2.3
200406,65.4,-0.7
200407,68.7,-2.0
200408,65.7,-2.6
200409,64.9,3.9
200410,51.3,1.8
200411,40.0,3.0
200412,26.3,0.4
200501,21.0,-0.1
200502,26.8,4.8
200503,29.5,-2.9
200504,48.7,3.8
200505,54.0,-2.4
200506,71.6,5.5
200507,72.5,1.8
200508,71.8,3.5
200509,65.8,4.8
200510,52.2,2.7
200511,41.1,4.1
200512,24.3,-1.6
200601,32.9,11.8
200602,25.7,3.7
200603,34.8,2.4
200604,49.2,4.3
200605,58.6,2.2
200606,66.6,0.5
200607,72.4,1.7
200608,69.7,1.4
200609,59.4,-1.6
200610,46.4,-3.1
200611,41.1,4.1
200612,35.1,9.2
200701,26.5,5.4
200702,17.4,-4.6
200703,38.3,5.9
200704,45.0,0.1
200705,59.9,3.5
200706,69.2,3.1
200707,69.9,-0.8
200708,71.3,3.0
200709,64.3,3.3
200710,57.2,7.7
200711,37.1,0.1
200712,27.1,1.2
200801,26.3,5.2
200802,22.3,0.3
200803,31.8,-0.6
200804,50.8,5.9
200805,54.3,-2.1
200806,68.9,2.8
200807,70.7,0.0
200808,68.6,0.3
200809,63.0,2.0
200810,47.9,-1.6
200811,37.3,0.3
200812,24.7,-1.2
200901,14.9,-6.2
200902,26.3,4.3
200903,35.5,3.1
200904,46.7,1.8
200905,56.9,0.5
200906,65.2,-0.9
200907,66.1,-4.6
200908,68.3,0.0
200909,62.4,1.4
200910,47.5,-2.0
200911,42.6,5.6
200912,27.0,1.1
201001,22.3,1.2
201002,24.2,2.2
201003,38.8,6.4
201004,51.8,6.9
201005,60.6,4.2
201006,69.0,2.9
201007,74.3,3.6
201008,73.5,5.2
201009,61.8,0.8
201010,52.2,2.7
201011,39.7,2.7
201012,24.0,-1.9
201101,19.1,-2.0
201102,23.1,1.1
201103,31.3,-1.1
201104,44.6,-0.3
201105,58.2,1.8
201106,68.0,1.9
201107,75.7,5.0
201108,69.7,1.4
201109,61.6,0.6
201110,51.5,2.0
201111,43.3,6.3
201112,32.6,6.7
201201,28.7,7.6
201202,31.0,9.0
201203,49.2,16.8
201204,47.2,2.3
201205,62.7,6.3
201206,69.2,3.1
201207,76.1,5.4
201208,69.8,1.5
201209,61.6,0.6
201210,50.8,1.3
201211,38.2,1.2
201212,33.3,7.4
201301,26.4,5.3
201302,24.1,2.1
201303,31.5,-0.9
201304,44.0,-0.9
201305,60.9,4.5
201306,67.4,1.3
201307,71.9,1.2
201308,69.2,0.9
201309,62.1,1.1
201310,51.6,2.1
201311,36.3,-0.7
201312,24.3,-1.6
201401,15.1,-6.0
201402,16.2,-5.8
201403,25.3,-7.1
201404,46.4,1.5
201405,59.0,2.6
201406,68.8,2.7
201407,68.1,-2.6
201408,69.8,1.5
201409,61.7,0.7
201410,50.6,1.1
201411,34.4,-2.6
201412,32.0,6.1
201501,19.8,-1.3
201502,10.7,-11.3
201503,31.7,-0.7
201504,47.3,2.4
201505,62.4,6.0
201506,66.9,0.8
201507,70.6,-0.1
201508,69.9,1.6
201509,67.4,6.4
201510,52.5,3.0
201511,44.7,7.7
201512,39.7,13.8
201601,25.0,3.9
201602,28.8,6.8
201603,39.9,7.5
201604,44.4,-0.5
201605,58.7,2.3
201606,68.2,2.1
201607,74.0,3.3
201608,74.0,5.7
201609,65.4,4.4
201610,53.7,4.2
201611,44.5,7.5
201612,27.7,1.8
201701,28.5,7.4
201702,34.2,12.2
201703,34.1,1.7
201704,51.6,6.7
201705,56.7,0.3
201706,68.6,2.5
201707,71.3,0.6
201708,67.7,-0.6
201709,64.5,3.5
201710,55.1,5.6
201711,37.5,0.5
201712,23.2,-2.7
201801,22.2,1.1
201802,28.2,6.2
201803,32.2,-0.2
201804,39.5,-5.4
201805,63.8,7.4
201806,68.3,2.2
201807,72.4,1.7
201808,72.5,4.2
201809,65.3,4.3
201810,49.1,-0.4
201811,33.4,-3.6
201812,31.4,5.5
201901,21.0,-0.1
201902,24.5,2.5
201903,31.5,-0.9
201904,46.3,1.4
201905,56.2,-0.2
201906,65.9,-0.2
201907,74.5,3.8
201908,70.1,1.8
201909,66.0,5.0
201910,51.2,1.7
201911,33.8,-3.2
201912,33.1,7.2
202001,30.9,9.8
