Houghton County, Michigan, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,13.4,1.5
200002,22.3,8.7
200003,33.8,10.0
200004,37.6,-0.1
200005,53.4,3.2
200006,57.9,-1.5
200007,63.9,-0.9
200008,64.0,1.3
200009,54.9,0.0
200010,48.0,3.8
200011,32.8,3.0
200012,11.6,-6.0
200101,20.4,8.5
200102,13.5,-0.1
200103,24.5,0.7
200104,42.0,4.3
200105,53.9,3.7
200106,61.9,2.5
200107,65.6,0.8
200108,67.0,4.3
200109,55.9,1.0
200110,43.8,-0.4
200111,40.7,10.9
200112,26.5,8.9
200201,20.7,8.8
200202,23.0,9.4
200203,19.2,-4.6
200204,37.1,-0.6
200205,46.3,-3.9
200206,61.9,2.5
200207,69.9,5.1
200208,64.9,2.2
200209,59.9,5.0
200210,39.0,-5.2
200211,28.2,-1.6
200212,23.1,5.5
200301,12.2,0.3
200302,9.6,-4.0
200303,22.4,-1.4
200304,36.2,-1.5
200305,50.4,0.2
200306,59.4,0.0
200307,64.8,0.0
200308,65.4,2.7
200309,57.6,2.7
200310,43.6,-0.6
200311,31.0,1.2
200312,23.6,6.0
200401,9.2,-2.7
200402,20.0,6.4
200403,27.9,4.1
200404,37.8,0.1
200405,47.9,-2.3
200406,57.6,-1.8
200407,62.4,-2.4
200408,58.8,-3.9
200409,61.4,6.5
200410,45.8,1.6
200411,34.2,4.4
200412,17.3,-0.3
200501,11.6,-0.3
200502,20.3,6.7
200503,22.5,-1.3
200504,42.8,5.1
200505,49.4,-0.8
200506,64.8,5.4
200507,67.2,2.4
200508,65.9,3.2
200509,62.0,7.1
200510,48.2,4.0
200511,31.9,2.1
200512,20.3,2.7
200601,24.8,12.9
200602,15.2,1.6
200603,27.4,3.6
200604,44.1,6.4
200605,52.4,2.2
200606,61.5,2.1
200607,68.8,4.0
200608,64.6,1.9
200609,54.2,-0.7
200610,41.1,-3.1
200611,35.0,5.2
200612,25.5,7.9
200701,18.2,6.3
200702,11.1,-2.5
200703,30.1,6.3
200704,38.2,0.5
200705,55.4,5.2
200706,63.4,4.0
200707,66.1,1.3
200708,65.4,2.7
200709,58.3,3.4
200710,49.5,5.3
200711,31.2,1.4
200712,18.2,0.6
200801,16.7,4.8
200802,11.5,-2.1
200803,20.0,-3.8
200804,38.5,0.8
200805,47.0,-3.2
200806,60.3,0.9
200807,64.7,-0.1
200808,63.6,0.9
200809,57.7,2.8
200810,44.8,0.6
200811,31.8,2.0
200812,13.3,-4.3
200901,7.3,-4.6
200902,15.5,1.9
200903,25.2,1.4
200904,37.9,0.2
200905,49.7,-0.5
200906,58.0,-1.4
200907,59.9,-4.9
200908,61.9,-0.8
200909,60.5,5.6
200910,39.8,-4.4
200911,38.4,8.6
200912,18.0,0.4
201001,17.9,6.0
201002,18.5,4.9
201003,35.7,11.9
201004,45.9,8.2
201005,55.5,5.3
201006,60.2,0.8
201007,68.4,3.6
201008,68.2,5.5
201009,52.1,-2.8
201010,46.8,2.6
201011,33.8,4.0
201012,18.8,1.2
201101,12.6,0.7
201102,17.8,4.2
201103,24.8,1.0
201104,38.3,0.6
201105,50.1,-0.1
201106,58.7,-0.7
201107,69.3,4.5
201108,66.0,3.3
201109,55.9,1.0
201110,48.3,4.1
201111,34.8,5.0
201112,24.0,6.4
201201,19.4,7.5
201202,23.9,10.3
201203,40.6,16.8
201204,40.0,2.3
201205,55.6,5.4
201206,63.6,4.2
201207,69.4,4.6
201208,64.4,1.7
201209,53.8,-1.1
201210,43.0,-1.2
201211,32.4,2.6
201212,24.6,7.0
201301,16.6,4.7
201302,15.2,1.6
201303,21.6,-2.2
201304,32.8,-4.9
201305,49.0,-1.2
201306,59.1,-0.3
201307,65.1,0.3
201308,64.4,1.7
201309,57.4,2.5
201310,44.7,0.5
201311,30.5,0.7
201312,11.3,-6.3
201401,6.4,-5.5
201402,6.3,-7.3
201403,15.6,-8.2
201404,33.8,-3.9
201405,50.7,0.5
201406,60.5,1.1
201407,62.5,-2.3
201408,61.7,-1.0
201409,55.4,0.5
201410,43.3,-0.9
201411,23.8,-6.0
201412,22.0,4.4
201501,12.5,0.6
201502,2.5,-11.1
201503,25.0,1.2
201504,39.5,1.8
201505,51.9,1.7
201506,57.8,-1.6
201507,66.0,1.2
201508,64.0,1.3
201509,62.5,7.6
201510,45.2,1.0
201511,37.1,7.3
201512,29.3,11.7
201601,17.4,5.5
201602,20.0,6.4
201603,30.4,6.6
201604,36.3,-1.4
201605,52.0,1.8
201606,60.5,1.1
201607,66.4,1.6
201608,66.7,4.0
201609,60.1,5.2
201610,47.2,3.0
201611,39.8,10.0
201612,19.7,2.1
201701,19.8,7.9
201702,22.9,9.3
201703,25.2,1.4
201704,41.1,3.4
201705,47.9,-2.3
201706,60.9,1.5
201707,64.6,-0.2
201708,60.8,-1.9
201709,59.7,4.8
201710,49.0,4.8
201711,29.2,-0.6
201712,15.6,-2.0
201801,15.6,3.7
201802,13.5,-0.1
201803,24.0,0.2
201804,30.5,-7.2
201805,57.1,6.9
201806,61.4,2.0
201807,67.5,2.7
201808,65.4,2.7
201809,58.4,3.5
201810,40.3,-3.9
201811,25.5,-4.3
201812,24.1,6.5
201901,10.7,-1.2
201902,11.2,-2.4
201903,22.4,-1.4
201904,37.4,-0.3
201905,47.3,-2.9
201906,59.7,0.3
201907,68.3,3.5
201908,62.6,-0.1
201909,58.9,4.0
201910,43.8,-0.4
201911,26.5,-3.3
201912,21.7,4.1
202001,21.0,9.1
