Ingham County, Michigan, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,21.4,0.1
200002,30.0,7.6
200003,41.6,8.8
200004,45.4,0.3
200005,59.7,3.1
200006,66.8,0.5
200007,67.4,-3.4
200008,68.5,0.1
200009,60.1,-1.0
200010,53.4,3.9
200011,37.9,0.9
200012,16.1,-9.8
200101,24.8,3.5
200102,26.7,4.3
200103,32.2,-0.6
200104,49.2,4.1
200105,59.5,2.9
200106,66.6,0.3
200107,70.0,-0.8
200108,71.1,2.7
200109,59.0,-2.1
200110,50.2,0.7
200111,46.6,9.6
200112,34.4,8.5
200201,31.1,9.8
200202,30.2,7.8
200203,32.2,-0.6
200204,48.0,2.9
200205,52.3,-4.3
200206,68.8,2.5
200207,73.6,2.8
200208,69.9,1.5
200209,65.2,4.1
200210,47.1,-2.4
200211,36.5,-0.5
200212,27.0,1.1
200301,18.2,-3.1
200302,20.6,-1.8
200303,33.7,0.9
200304,46.1,1.0
200305,54.6,-2.0
200306,64.1,-2.2
200307,69.6,-1.2
200308,70.0,1.6
200309,60.7,-0.4
200310,48.4,-1.1
200311,41.3,4.3
200312,30.9,5.0
200401,17.3,-4.0
200402,24.2,1.8
200403,39.0,6.2
200404,48.8,3.7
200405,58.8,2.2
200406,65.1,-1.2
200407,69.0,-1.8
200408,65.4,-3.0
200409,64.3,3.2
200410,50.5,1.0
200411,39.9,2.9
200412,27.0,1.1
200501,21.5,0.2
200502,27.4,5.0
200503,30.7,-2.1
200504,49.4,4.3
200505,53.9,-2.7
200506,71.7,5.4
200507,72.0,1.2
200508,71.4,3.0
200509,65.5,4.4
200510,51.9,2.4
200511,41.0,4.0
200512,24.4,-1.5
200601,33.2,11.9
200602,25.8,3.4
200603,35.4,2.6
200604,50.0,4.9
200605,58.1,1.5
200606,66.3,0.0
200607,72.8,2.0
200608,69.6,1.2
200609,58.9,-2.2
200610,46.2,-3.3
200611,40.6,3.6
200612,34.7,8.8
200701,26.4,5.1
200702,16.7,-5.7
200703,38.9,6.1
200704,44.6,-0.5
200705,60.2,3.6
200706,68.5,2.2
200707,69.4,-1.4
200708,70.9,2.5
200709,63.8,2.7
200710,56.3,6.8
200711,37.2,0.2
200712,26.8,0.9
200801,26.1,4.8
200802,21.6,-0.8
200803,31.7,-1.1
200804,49.9,4.8
200805,54.5,-2.1
200806,68.0,1.7
200807,70.3,-0.5
200808,68.6,0.2
200809,63.0,1.9
200810,48.1,-1.4
200811,37.2,0.2
200812,25.0,-0.9
200901,15.2,-6.1
200902,26.4,4.0
200903,36.6,3.8
200904,46.8,1.7
200905,57.2,0.6
200906,65.8,-0.5
200907,66.2,-4.6
200908,67.9,-0.5
200909,61.9,0.8
200910,47.2,-2.3
200911,42.8,5.8
200912,26.9,1.0
201001,22.5,1.2
201002,24.9,2.5
201003,39.1,6.3
201004,52.0,6.9
201005,60.2,3.6
201006,68.5,2.2
201007,73.8,3.0
201008,72.7,4.3
201009,61.3,0.2
201010,52.1,2.6
201011,39.7,2.7
201012,23.9,-2.0
201101,19.2,-2.1
201102,23.3,0.9
201103,32.2,-0.6
201104,44.9,-0.2
201105,58.6,2.0
201106,67.5,1.2
201107,75.4,4.6
201108,69.4,1.0
201109,60.3,-0.8
201110,51.0,1.5
201111,42.6,5.6
201112,32.4,6.5
201201,28.0,6.7
201202,30.0,7.6
201203,48.8,16.0
201204,46.6,1.5
201205,62.0,5.4
201206,68.8,2.5
201207,76.8,6.0
201208,69.3,0.9
201209,61.0,-0.1
201210,49.8,0.3
201211,37.7,0.7
201212,33.2,7.3
201301,26.3,5.0
201302,23.8,1.4
201303,30.6,-2.2
201304,43.7,-1.4
201305,60.9,4.3
201306,66.8,0.5
201307,70.9,0.1
201308,68.4,0.0
201309,61.2,0.1
201310,51.3,1.8
201311,35.9,-1.1
201312,24.5,-1.4
201401,14.9,-6.4
201402,16.3,-6.1
201403,25.7,-7.1
201404,46.5,1.4
201405,58.2,1.6
201406,68.3,2.0
201407,66.8,-4.0
201408,69.2,0.8
201409,60.6,-0.5
201410,49.4,-0.1
201411,33.3,-3.7
201412,31.5,5.6
201501,19.9,-1.4
201502,10.8,-11.6
201503,32.0,-0.8
201504,46.8,1.7
201505,61.3,4.7
201506,66.1,-0.2
201507,69.4,-1.4
201508,68.6,0.2
201509,65.9,4.8
201510,51.4,1.9
201511,43.6,6.6
201512,38.8,12.9
201601,25.3,4.0
201602,28.4,6.0
201603,40.3,7.5
201604,44.7,-0.4
201605,57.9,1.3
201606,68.2,1.9
201607,73.0,2.2
201608,73.1,4.7
201609,65.6,4.5
201610,53.9,4.4
201611,44.5,7.5
201612,27.1,1.2
201701,28.8,7.5
201702,35.1,12.7
201703,34.5,1.7
201704,52.1,7.0
201705,57.1,0.5
201706,69.5,3.2
201707,71.9,1.1
201708,67.4,-1.0
201709,64.7,3.6
201710,54.8,5.3
201711,37.4,0.4
201712,24.0,-1.9
201801,23.4,2.1
201802,28.6,6.2
201803,32.6,-0.2
201804,39.9,-5.2
201805,64.2,7.6
201806,68.5,2.2
201807,72.4,1.6
201808,72.4,4.0
201809,65.1,4.0
201810,49.3,-0.2
201811,33.2,-3.8
201812,31.4,5.5
201901,21.0,-0.3
201902,25.1,2.7
201903,31.8,-1.0
201904,46.6,1.5
201905,56.1,-0.5
201906,65.4,-0.9
201907,74.1,3.3
201908,69.3,0.9
201909,65.6,4.5
201910,50.4,0.9
201911,32.7,-4.3
201912,32.4,6.5
202001,30.1,8.8
