Crow Wing County, Minnesota, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,10.2,4.3
200002,22.1,10.5
200003,35.4,10.4
200004,41.8,1.0
200005,56.2,2.7
200006,60.7,-2.4
200007,68.2,0.0
200008,67.1,1.7
200009,55.4,-0.7
200010,48.1,3.6
200011,29.6,1.7
200012,3.0,-9.7
200101,16.8,10.9
200102,5.4,-6.2
200103,24.8,-0.2
200104,42.6,1.8
200105,56.4,2.9
200106,64.7,1.6
200107,70.4,2.2
200108,69.6,4.2
200109,57.0,0.9
200110,44.4,-0.1
200111,40.7,12.8
200112,23.1,10.4
200201,17.8,11.9
200202,24.1,12.5
200203,18.9,-6.1
200204,38.9,-1.9
200205,49.3,-4.2
200206,67.2,4.1
200207,71.5,3.3
200208,66.0,0.6
200209,60.0,3.9
200210,37.6,-6.9
200211,28.4,0.5
200212,21.4,8.7
200301,10.5,4.6
200302,10.3,-1.3
200303,25.6,0.6
200304,42.6,1.8
200305,54.0,0.5
200306,63.4,0.3
200307,69.1,0.9
200308,70.6,5.2
200309,57.8,1.7
200310,46.9,2.4
200311,26.6,-1.3
200312,21.1,8.4
200401,4.5,-1.4
200402,17.3,5.7
200403,30.0,5.0
200404,42.9,2.1
200405,50.4,-3.1
200406,60.1,-3.0
200407,66.6,-1.6
200408,60.9,-4.5
200409,62.1,6.0
200410,46.8,2.3
200411,34.2,6.3
200412,17.0,4.3
200501,6.7,0.8
200502,20.4,8.8
200503,26.2,1.2
200504,47.6,6.8
200505,52.2,-1.3
200506,67.5,4.4
200507,70.7,2.5
200508,66.7,1.3
200509,61.2,5.1
200510,47.5,3.0
200511,32.6,4.7
200512,17.9,5.2
200601,24.5,18.6
200602,12.0,0.4
200603,31.1,6.1
200604,48.9,8.1
200605,57.1,3.6
200606,65.4,2.3
200607,73.8,5.6
200608,68.0,2.6
200609,56.6,0.5
200610,42.2,-2.3
200611,32.0,4.1
200612,24.1,11.4
200701,15.3,9.4
200702,8.4,-3.2
200703,32.0,7.0
200704,41.0,0.2
200705,58.6,5.1
200706,67.9,4.8
200707,71.6,3.4
200708,66.4,1.0
200709,58.8,2.7
200710,49.0,4.5
200711,30.6,2.7
200712,11.0,-1.7
200801,8.2,2.3
200802,9.0,-2.6
200803,23.5,-1.5
200804,39.2,-1.6
200805,51.3,-2.2
200806,62.5,-0.6
200807,68.3,0.1
200808,66.9,1.5
200809,58.3,2.2
200810,45.7,1.2
200811,31.0,3.1
200812,6.6,-6.1
200901,1.4,-4.5
200902,15.0,3.4
200903,25.2,0.2
200904,42.0,1.2
200905,53.5,0.0
200906,62.0,-1.1
200907,64.0,-4.2
200908,64.0,-1.4
200909,62.8,6.7
200910,39.7,-4.8
200911,37.5,9.6
200912,12.9,0.2
201001,9.4,3.5
201002,14.7,3.1
201003,37.0,12.0
201004,49.8,9.0
201005,55.6,2.1
201006,63.6,0.5
201007,70.1,1.9
201008,69.9,4.5
201009,54.4,-1.7
201010,49.4,4.9
201011,30.6,2.7
201012,12.6,-0.1
201101,5.2,-0.7
201102,13.9,2.3
201103,23.8,-1.2
201104,41.1,0.3
201105,53.4,-0.1
201106,62.4,-0.7
201107,72.6,4.4
201108,68.1,2.7
201109,57.4,1.3
201110,50.2,5.7
201111,32.8,4.9
201112,23.2,10.5
201201,18.0,12.1
201202,23.2,11.6
201203,40.7,15.7
201204,44.8,4.0
201205,57.4,3.9
201206,65.9,2.8
201207,73.8,5.6
201208,66.4,1.0
201209,57.1,1.0
201210,43.6,-0.9
201211,31.4,3.5
201212,17.1,4.4
201301,11.5,5.6
201302,13.8,2.2
201303,21.0,-4.0
201304,33.6,-7.2
201305,52.9,-0.6
201306,63.0,-0.1
201307,69.2,1.0
201308,68.0,2.6
201309,61.2,5.1
201310,45.1,0.6
201311,27.4,-0.5
201312,4.4,-8.3
201401,0.7,-5.2
201402,4.6,-7.0
201403,20.0,-5.0
201404,38.1,-2.7
201405,55.0,1.5
201406,66.0,2.9
201407,67.0,-1.2
201408,66.9,1.5
201409,58.3,2.2
201410,45.8,1.3
201411,21.5,-6.4
201412,21.5,8.8
201501,14.4,8.5
201502,6.5,-5.1
201503,30.0,5.0
201504,44.1,3.3
201505,53.6,0.1
201506,64.1,1.0
201507,69.8,1.6
201508,65.5,0.1
201509,64.2,8.1
201510,47.1,2.6
201511,37.2,9.3
201512,25.7,13.0
201601,12.7,6.8
201602,19.9,8.3
201603,36.2,11.2
201604,42.1,1.3
201605,55.8,2.3
201606,64.3,1.2
201607,69.0,0.8
201608,68.0,2.6
201609,59.9,3.8
201610,47.8,3.3
201611,39.3,11.4
201612,16.2,3.5
201701,14.1,8.2
201702,23.0,11.4
201703,28.0,3.0
201704,44.0,3.2
201705,53.3,-0.2
201706,64.0,0.9
201707,68.6,0.4
201708,63.2,-2.2
201709,60.5,4.4
201710,46.5,2.0
201711,27.3,-0.6
201712,12.5,-0.2
201801,10.6,4.7
201802,8.0,-3.6
201803,27.5,2.5
201804,32.7,-8.1
201805,60.6,7.1
201806,66.0,2.9
201807,69.8,1.6
201808,67.0,1.6
201809,58.7,2.6
201810,40.6,-3.9
201811,23.3,-4.6
201812,20.7,8.0
201901,6.2,0.3
201902,6.5,-5.1
201903,23.2,-1.8
201904,41.1,0.3
201905,49.7,-3.8
201906,64.2,1.1
201907,70.7,2.5
201908,65.1,-0.3
201909,59.7,3.6
201910,43.2,-1.3
201911,26.0,-1.9
201912,17.1,4.4
202001,14.6,8.7
