Olmsted County, Minnesota, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,14.7,2.9
200002,26.6,9.8
200003,39.2,9.7
200004,45.5,1.3
200005,58.7,2.5
200006,64.5,-1.2
200007,69.8,-0.8
200008,69.0,1.0
200009,59.6,0.4
200010,51.3,3.8
200011,30.6,-1.0
200012,6.5,-11.2
200101,17.6,5.8
200102,11.9,-4.9
200103,25.3,-4.2
200104,47.6,3.4
200105,57.6,1.4
200106,66.3,0.6
200107,72.0,1.4
200108,69.6,1.6
200109,58.0,-1.2
200110,46.5,-1.0
200111,45.4,13.8
200112,27.7,10.0
200201,24.2,12.4
200202,27.0,10.2
200203,25.9,-3.6
200204,44.8,0.6
200205,53.4,-2.8
200206,68.5,2.8
200207,73.4,2.8
200208,67.7,-0.3
200209,62.6,3.4
200210,42.4,-5.1
200211,31.6,0.0
200212,24.7,7.0
200301,13.8,2.0
200302,15.6,-1.2
200303,31.5,2.0
200304,45.4,1.2
200305,55.2,-1.0
200306,65.0,-0.7
200307,69.8,-0.8
200308,70.7,2.7
200309,59.4,0.2
200310,48.1,0.6
200311,32.3,0.7
200312,24.1,6.4
200401,12.2,0.4
200402,19.7,2.9
200403,36.2,6.7
200404,47.2,3.0
200405,55.7,-0.5
200406,64.1,-1.6
200407,68.4,-2.2
200408,63.6,-4.4
200409,64.4,5.2
200410,48.7,1.2
200411,36.6,5.0
200412,22.0,4.3
200501,14.6,2.8
200502,25.6,8.8
200503,29.3,-0.2
200504,49.8,5.6
200505,53.8,-2.4
200506,71.1,5.4
200507,72.5,1.9
200508,67.6,-0.4
200509,63.9,4.7
200510,50.6,3.1
200511,35.3,3.7
200512,16.5,-1.2
200601,27.9,16.1
200602,19.4,2.6
200603,31.9,2.4
200604,50.5,6.3
200605,58.2,2.0
200606,66.9,1.2
200607,73.7,3.1
200608,69.3,1.3
200609,57.0,-2.2
200610,44.2,-3.3
200611,36.0,4.4
200612,28.3,10.6
200701,18.2,6.4
200702,10.5,-6.3
200703,35.4,5.9
200704,44.2,0.0
200705,61.8,5.6
200706,68.4,2.7
200707,70.7,0.1
200708,69.2,1.2
200709,62.5,3.3
200710,53.4,5.9
200711,33.4,1.8
200712,16.1,-1.6
200801,12.1,0.3
200802,12.7,-4.1
200803,26.7,-2.8
200804,42.8,-1.4
200805,53.9,-2.3
200806,65.7,0.0
200807,70.4,-0.2
200808,67.6,-0.4
200809,61.9,2.7
200810,47.8,0.3
200811,33.9,2.3
200812,12.1,-5.6
200901,5.7,-6.1
200902,20.9,4.1
200903,32.2,2.7
200904,45.2,1.0
200905,57.0,0.8
200906,64.5,-1.2
200907,65.0,-5.6
200908,65.3,-2.7
200909,61.9,2.7
200910,42.2,-5.3
200911,40.7,9.1
200912,16.4,-1.3
201001,10.4,-1.4
201002,14.8,-2.0
201003,36.8,7.3
201004,51.9,7.7
201005,57.9,1.7
201006,66.3,0.6
201007,72.2,1.6
201008,72.3,4.3
201009,58.8,-0.4
201010,51.3,3.8
201011,34.3,2.7
201012,14.0,-3.7
201101,10.4,-1.4
201102,17.7,0.9
201103,28.5,-1.0
201104,43.9,-0.3
201105,56.2,0.0
201106,66.7,1.0
201107,74.7,4.1
201108,68.9,0.9
201109,58.8,-0.4
201110,51.4,3.9
201111,37.4,5.8
201112,24.9,7.2
201201,21.3,9.5
201202,27.2,10.4
201203,48.2,18.7
201204,47.3,3.1
201205,61.8,5.6
201206,69.0,3.3
201207,76.2,5.6
201208,67.8,-0.2
201209,59.2,0.0
201210,45.7,-1.8
201211,35.8,4.2
201212,23.1,5.4
201301,16.4,4.6
201302,17.7,0.9
201303,23.2,-6.3
201304,39.1,-5.1
201305,55.0,-1.2
201306,65.8,0.1
201307,70.5,-0.1
201308,68.8,0.8
201309,63.2,4.0
201310,47.1,-0.4
201311,30.3,-1.3
201312,13.0,-4.7
201401,6.5,-5.3
201402,5.8,-11.0
201403,23.2,-6.3
201404,41.6,-2.6
201405,56.4,0.2
201406,67.9,2.2
201407,67.2,-3.4
201408,69.8,1.8
201409,59.7,0.5
201410,46.8,-0.7
201411,24.8,-6.8
201412,23.8,6.1
201501,16.1,4.3
201502,7.9,-8.9
201503,31.4,1.9
201504,46.9,2.7
201505,57.1,0.9
201506,66.3,0.6
201507,69.0,-1.6
201508,66.4,-1.6
201509,66.1,6.9
201510,49.6,2.1
201511,39.6,8.0
201512,30.3,12.6
201601,14.3,2.5
201602,22.5,5.7
201603,38.2,8.7
201604,46.4,2.2
201605,57.3,1.1
201606,67.8,2.1
201607,71.0,0.4
201608,69.8,1.8
201609,63.8,4.6
201610,51.3,3.8
201611,42.1,10.5
201612,18.7,1.0
201701,18.7,6.9
201702,28.2,11.4
201703,31.1,1.6
201704,47.9,3.7
201705,55.5,-0.7
201706,67.2,1.5
201707,70.7,0.1
201708,65.1,-2.9
201709,63.9,4.7
201710,49.9,2.4
201711,32.1,0.5
201712,18.2,0.5
201801,12.9,1.1
201802,14.5,-2.3
201803,30.4,0.9
201804,33.8,-10.4
201805,63.7,7.5
201806,69.7,4.0
201807,70.6,0.0
201808,69.4,1.4
201809,63.1,3.9
201810,44.0,-3.5
201811,26.0,-5.6
201812,23.9,6.2
201901,12.7,0.9
201902,10.9,-5.9
201903,25.8,-3.7
201904,44.3,0.1
201905,53.2,-3.0
201906,65.6,-0.1
201907,72.2,1.6
201908,66.6,-1.4
201909,64.4,5.2
201910,43.9,-3.6
201911,27.8,-3.8
201912,21.5,3.8
202001,18.9,7.1
