St. Louis County, Minnesota, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,6.2,3.1
200002,19.1,10.2
200003,32.9,11.0
200004,38.4,0.8
200005,53.8,3.3
200006,57.0,-2.8
200007,65.2,0.3
200008,64.2,1.9
200009,52.4,-0.6
200010,45.2,3.4
200011,28.4,3.5
200012,0.8,-8.7
200101,14.3,11.2
200102,5.1,-3.8
200103,23.1,1.2
200104,40.4,2.8
200105,53.4,2.9
200106,62.5,2.7
200107,66.3,1.4
200108,66.2,3.9
200109,54.6,1.6
200110,41.9,0.1
200111,37.4,12.5
200112,20.2,10.7
200201,14.0,10.9
200202,19.6,10.7
200203,16.4,-5.5
200204,37.2,-0.4
200205,46.3,-4.2
200206,63.0,3.2
200207,69.1,4.2
200208,64.2,1.9
200209,57.6,4.6
200210,34.9,-6.9
200211,23.5,-1.4
200212,17.5,8.0
200301,5.7,2.6
200302,6.2,-2.7
200303,22.2,0.3
200304,38.4,0.8
200305,51.8,1.3
200306,60.6,0.8
200307,65.8,0.9
200308,67.4,5.1
200309,55.7,2.7
200310,43.4,1.6
200311,24.5,-0.4
200312,18.1,8.6
200401,-0.2,-3.3
200402,15.4,6.5
200403,27.0,5.1
200404,39.1,1.5
200405,46.8,-3.7
200406,57.3,-2.5
200407,63.6,-1.3
200408,57.8,-4.5
200409,59.2,6.2
200410,44.5,2.7
200411,31.4,6.5
200412,10.8,1.3
200501,3.1,0.0
200502,16.9,8.0
200503,21.7,-0.2
200504,44.3,6.7
200505,49.7,-0.8
200506,63.4,3.6
200507,67.4,2.5
200508,63.3,1.0
200509,57.8,4.8
200510,44.8,3.0
200511,28.7,3.8
200512,16.0,6.5
200601,21.0,17.9
200602,9.3,0.4
200603,27.7,5.8
200604,45.9,8.3
200605,54.2,3.7
200606,62.2,2.4
200607,70.5,5.6
200608,64.7,2.4
200609,53.7,0.7
200610,38.5,-3.3
200611,30.0,5.1
200612,20.6,11.1
200701,10.7,7.6
200702,5.0,-3.9
200703,28.3,6.4
200704,38.1,0.5
200705,54.9,4.4
200706,63.6,3.8
200707,66.5,1.6
200708,63.5,1.2
200709,55.4,2.4
200710,46.5,4.7
200711,27.4,2.5
200712,10.2,0.7
200801,7.1,4.0
200802,7.6,-1.3
200803,20.4,-1.5
200804,36.9,-0.7
200805,47.5,-3.0
200806,59.3,-0.5
200807,64.1,-0.8
200808,63.5,1.2
200809,55.2,2.2
200810,43.5,1.7
200811,27.4,2.5
200812,3.5,-6.0
200901,-1.0,-4.1
200902,12.8,3.9
200903,23.3,1.4
200904,39.4,1.8
200905,49.4,-1.1
200906,59.0,-0.8
200907,60.2,-4.7
200908,61.0,-1.3
200909,60.4,7.4
200910,38.0,-3.8
200911,35.0,10.1
200912,9.0,-0.5
201001,7.8,4.7
201002,12.3,3.4
201003,35.6,13.7
201004,46.2,8.6
201005,53.7,3.2
201006,60.0,0.2
201007,67.6,2.7
201008,67.2,4.9
201009,51.0,-2.0
201010,45.5,3.7
201011,28.9,4.0
201012,9.8,0.3
201101,2.5,-0.6
201102,11.1,2.2
201103,22.2,0.3
201104,38.9,1.3
201105,50.7,0.2
201106,59.1,-0.7
201107,68.7,3.8
201108,65.5,3.2
201109,54.4,1.4
201110,46.7,4.9
201111,30.0,5.1
201112,18.4,8.9
201201,14.6,11.5
201202,19.8,10.9
201203,38.1,16.2
201204,40.7,3.1
201205,54.1,3.6
201206,63.2,3.4
201207,70.3,5.4
201208,63.8,1.5
201209,53.2,0.2
201210,40.5,-1.3
201211,27.8,2.9
201212,14.6,5.1
201301,7.9,4.8
201302,9.9,1.0
201303,19.0,-2.9
201304,31.7,-5.9
201305,49.7,-0.8
201306,59.9,0.1
201307,65.8,0.9
201308,64.7,2.4
201309,57.6,4.6
201310,42.8,1.0
201311,25.4,0.5
201312,-0.3,-9.8
201401,-3.2,-6.3
201402,1.1,-7.8
201403,14.5,-7.4
201404,34.6,-3.0
201405,51.4,0.9
201406,61.1,1.3
201407,64.2,-0.7
201408,63.3,1.0
201409,55.6,2.6
201410,43.1,1.3
201411,19.1,-5.8
201412,17.7,8.2
201501,8.8,5.7
201502,0.3,-8.6
201503,27.0,5.1
201504,40.1,2.5
201505,50.8,0.3
201506,60.5,0.7
201507,67.3,2.4
201508,63.2,0.9
201509,60.6,7.6
201510,44.0,2.2
201511,34.2,9.3
201512,23.1,13.6
201601,9.9,6.8
201602,14.5,5.6
201603,30.5,8.6
201604,37.5,-0.1
201605,53.2,2.7
201606,60.7,0.9
201607,66.4,1.5
201608,65.3,3.0
201609,58.0,5.0
201610,45.8,4.0
201611,37.4,12.5
201612,12.1,2.6
201701,11.5,8.4
201702,19.1,10.2
201703,23.9,2.0
201704,40.6,3.0
201705,49.2,-1.3
201706,60.7,0.9
201707,64.8,-0.1
201708,61.1,-1.2
201709,57.7,4.7
201710,44.5,2.7
201711,23.3,-1.6
201712,8.0,-1.5
201801,6.3,3.2
201802,5.4,-3.5
201803,24.4,2.5
201804,30.3,-7.3
201805,57.0,6.5
201806,62.0,2.2
201807,67.0,2.1
201808,64.6,2.3
201809,55.5,2.5
201810,38.1,-3.7
201811,20.2,-4.7
201812,17.0,7.5
201901,1.9,-1.2
201902,4.7,-4.2
201903,21.3,-0.6
201904,38.0,0.4
201905,47.0,-3.5
201906,59.6,-0.2
201907,67.9,3.0
201908,62.3,0.0
201909,56.0,3.0
201910,41.5,-0.3
201911,22.4,-2.5
201912,13.9,4.4
202001,12.0,8.9
