Harrison County, Mississippi, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,53.1,2.5
200002,56.8,3.4
200003,63.2,3.8
200004,65.1,-1.0
200005,76.3,3.3
200006,79.3,0.3
200007,83.2,2.5
200008,82.6,2.1
200009,76.7,-0.1
200010,66.8,-0.8
200011,56.4,-1.5
200012,46.0,-6.0
200101,46.7,-3.9
200102,58.1,4.7
200103,57.0,-2.4
200104,68.8,2.7
200105,73.4,0.4
200106,78.4,-0.6
200107,81.0,0.3
200108,80.4,-0.1
200109,75.3,-1.5
200110,64.8,-2.8
200111,63.0,5.1
200112,55.1,3.1
200201,51.4,0.8
200202,50.1,-3.3
200203,58.7,-0.7
200204,69.8,3.7
200205,73.7,0.7
200206,78.8,-0.2
200207,81.1,0.4
200208,80.6,0.1
200209,78.8,2.0
200210,71.7,4.1
200211,56.5,-1.4
200212,51.1,-0.9
200301,46.5,-4.1
200302,52.9,-0.5
200303,60.8,1.4
200304,66.8,0.7
200305,76.9,3.9
200306,79.6,0.6
200307,80.3,-0.4
200308,81.2,0.7
200309,76.6,-0.2
200310,68.0,0.4
200311,61.8,3.9
200312,49.3,-2.7
200401,50.1,-0.5
200402,50.3,-3.1
200403,62.4,3.0
200404,65.1,-1.0
200405,73.4,0.4
200406,79.2,0.2
200407,81.4,0.7
200408,79.2,-1.3
200409,77.5,0.7
200410,73.4,5.8
200411,62.5,4.6
200412,50.3,-1.7
200501,54.8,4.2
200502,56.6,3.2
200503,57.9,-1.5
200504,64.6,-1.5
200505,72.1,-0.9
200506,78.9,-0.1
200507,81.3,0.6
200508,81.8,1.3
200509,80.8,4.0
200510,68.3,0.7
200511,59.8,1.9
200512,50.3,-1.7
200601,56.6,6.0
200602,52.8,-0.6
200603,62.5,3.1
200604,70.7,4.6
200605,74.2,1.2
200606,80.7,1.7
200607,81.9,1.2
200608,83.0,2.5
200609,76.7,-0.1
200610,68.2,0.6
200611,57.2,-0.7
200612,53.5,1.5
200701,51.4,0.8
200702,51.3,-2.1
200703,62.2,2.8
200704,64.7,-1.4
200705,73.0,0.0
200706,79.7,0.7
200707,80.4,-0.3
200708,83.7,3.2
200709,78.3,1.5
200710,69.7,2.1
200711,58.9,1.0
200712,57.3,5.3
200801,49.3,-1.3
200802,55.0,1.6
200803,58.8,-0.6
200804,66.4,0.3
200805,74.2,1.2
200806,80.4,1.4
200807,81.6,0.9
200808,80.1,-0.4
200809,76.5,-0.3
200810,66.3,-1.3
200811,56.4,-1.5
200812,54.7,2.7
200901,52.2,1.6
200902,54.3,0.9
200903,62.4,3.0
200904,65.9,-0.2
200905,74.6,1.6
200906,81.7,2.7
200907,81.5,0.8
200908,80.0,-0.5
200909,78.0,1.2
200910,68.9,1.3
200911,57.3,-0.6
200912,50.0,-2.0
201001,45.3,-5.3
201002,45.8,-7.6
201003,54.9,-4.5
201004,66.4,0.3
201005,76.6,3.6
201006,81.5,2.5
201007,82.4,1.7
201008,82.8,2.3
201009,78.6,1.8
201010,68.0,0.4
201011,59.9,2.0
201012,46.9,-5.1
201101,47.5,-3.1
201102,52.9,-0.5
201103,62.4,3.0
201104,69.7,3.6
201105,73.3,0.3
201106,83.1,4.1
201107,82.4,1.7
201108,84.0,3.5
201109,75.4,-1.4
201110,64.6,-3.0
201111,59.3,1.4
201112,54.0,2.0
201201,55.8,5.2
201202,57.4,4.0
201203,67.5,8.1
201204,68.3,2.2
201205,75.6,2.6
201206,79.6,0.6
201207,81.5,0.8
201208,80.3,-0.2
