Hinds County, Mississippi, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,49.2,2.6
200002,54.5,4.8
200003,60.5,3.7
200004,62.0,-2.4
200005,74.8,2.8
200006,78.3,-0.6
200007,82.9,1.7
200008,84.2,3.4
200009,76.2,0.2
200010,65.5,0.1
200011,52.8,-2.1
200012,39.6,-8.5
200101,41.8,-4.8
200102,54.2,4.5
200103,52.2,-4.6
200104,68.3,3.9
200105,72.2,0.2
200106,76.8,-2.1
200107,81.6,0.4
200108,80.1,-0.7
200109,73.8,-2.2
200110,61.9,-3.5
200111,59.8,4.9
200112,52.1,4.0
200201,49.7,3.1
200202,46.8,-2.9
200203,56.8,0.0
200204,67.5,3.1
200205,72.2,0.2
200206,78.0,-0.9
200207,81.4,0.2
200208,80.4,-0.4
200209,78.4,2.4
200210,68.2,2.8
200211,52.5,-2.4
200212,47.8,-0.3
200301,41.8,-4.8
200302,48.2,-1.5
200303,56.8,0.0
200304,64.7,0.3
200305,73.6,1.6
200306,77.8,-1.1
200307,80.5,-0.7
200308,81.5,0.7
200309,74.0,-2.0
200310,65.2,-0.2
200311,59.6,4.7
200312,46.1,-2.0
200401,47.1,0.5
200402,46.2,-3.5
200403,60.9,4.1
200404,63.3,-1.1
200405,72.5,0.5
200406,77.4,-1.5
200407,80.2,-1.0
200408,77.3,-3.5
200409,75.1,-0.9
200410,71.8,6.4
200411,59.4,4.5
200412,47.0,-1.1
200501,51.6,5.0
200502,52.8,3.1
200503,54.9,-1.9
200504,63.6,-0.8
200505,69.9,-2.1
200506,78.3,-0.6
200507,81.8,0.6
200508,82.3,1.5
200509,78.5,2.5
200510,65.1,-0.3
200511,57.9,3.0
200512,45.8,-2.3
200601,52.5,5.9
200602,47.1,-2.6
200603,57.8,1.0
200604,68.5,4.1
200605,71.9,-0.1
200606,78.5,-0.4
200607,81.8,0.6
200608,83.0,2.2
200609,74.1,-1.9
200610,65.2,-0.2
200611,54.5,-0.4
200612,50.3,2.2
200701,46.8,0.2
200702,48.6,-1.1
200703,62.0,5.2
200704,61.9,-2.5
200705,72.6,0.6
200706,80.1,1.2
200707,79.3,-1.9
200708,83.9,3.1
200709,77.1,1.1
200710,67.7,2.3
200711,56.6,1.7
200712,53.4,5.3
200801,45.1,-1.5
200802,51.8,2.1
200803,58.0,1.2
200804,64.3,-0.1
200805,71.7,-0.3
200806,80.0,1.1
200807,82.2,1.0
200808,79.0,-1.8
200809,74.9,-1.1
200810,64.0,-1.4
200811,53.6,-1.3
200812,50.2,2.1
200901,47.0,0.4
200902,51.8,2.1
200903,59.2,2.4
200904,63.6,-0.8
200905,72.6,0.6
200906,80.6,1.7
200907,80.3,-0.9
200908,79.4,-1.4
200909,76.7,0.7
200910,63.9,-1.5
200911,55.4,0.5
200912,45.5,-2.6
201001,41.8,-4.8
201002,41.4,-8.3
201003,53.3,-3.5
201004,66.2,1.8
201005,75.5,3.5
201006,82.7,3.8
201007,83.1,1.9
201008,83.9,3.1
201009,77.9,1.9
201010,66.3,0.9
201011,57.0,2.1
201012,44.4,-3.7
201101,44.0,-2.6
201102,51.1,1.4
201103,58.9,2.1
201104,68.0,3.6
201105,71.4,-0.6
201106,83.0,4.1
201107,83.5,2.3
201108,84.2,3.4
201109,73.4,-2.6
201110,62.3,-3.1
201111,56.8,1.9
201112,49.3,1.2
201201,53.0,6.4
201202,53.8,4.1
201203,66.2,9.4
201204,66.7,2.3
201205,74.4,2.4
201206,79.3,0.4
201207,82.3,1.1
