Lauderdale County, Mississippi, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,47.5,1.8
200002,53.7,4.9
200003,59.2,3.4
200004,60.9,-2.5
200005,74.3,3.3
200006,77.5,-0.4
200007,82.4,2.1
200008,82.4,2.5
200009,74.8,-0.1
200010,64.4,0.4
200011,52.5,-1.2
200012,39.2,-7.9
200101,41.8,-3.9
200102,53.2,4.4
200103,51.6,-4.2
200104,65.7,2.3
200105,70.7,-0.3
200106,76.0,-1.9
200107,80.5,0.2
200108,79.0,-0.9
200109,72.5,-2.4
200110,60.4,-3.6
200111,57.8,4.1
200112,50.9,3.8
200201,48.1,2.4
200202,45.6,-3.2
200203,56.3,0.5
200204,66.8,3.4
200205,71.0,0.0
200206,77.4,-0.5
200207,80.7,0.4
200208,80.0,0.1
200209,78.1,3.2
200210,68.1,4.1
200211,51.9,-1.8
200212,46.8,-0.3
200301,40.6,-5.1
200302,48.1,-0.7
200303,57.3,1.5
200304,64.0,0.6
200305,72.8,1.8
200306,76.6,-1.3
200307,79.3,-1.0
200308,80.3,0.4
200309,72.8,-2.1
200310,63.4,-0.6
200311,58.0,4.3
200312,43.9,-3.2
200401,45.0,-0.7
200402,46.0,-2.8
200403,59.3,3.5
200404,61.9,-1.5
200405,72.3,1.3
200406,77.0,-0.9
200407,79.4,-0.9
200408,75.8,-4.1
200409,73.8,-1.1
200410,70.6,6.6
200411,58.6,4.9
200412,46.0,-1.1
200501,50.2,4.5
200502,51.6,2.8
200503,53.6,-2.2
200504,62.1,-1.3
200505,68.9,-2.1
200506,77.2,-0.7
200507,80.5,0.2
200508,81.2,1.3
200509,76.9,2.0
200510,64.0,0.0
200511,56.6,2.9
200512,44.2,-2.9
200601,51.7,6.0
200602,47.2,-1.6
200603,57.0,1.2
200604,68.2,4.8
200605,71.6,0.6
200606,78.9,1.0
200607,82.4,2.1
200608,82.3,2.4
200609,73.3,-1.6
200610,63.3,-0.7
200611,52.8,-0.9
200612,48.3,1.2
200701,46.2,0.5
200702,46.4,-2.4
200703,60.3,4.5
200704,60.5,-2.9
200705,71.4,0.4
200706,79.1,1.2
200707,78.8,-1.5
200708,83.9,4.0
200709,76.2,1.3
200710,66.3,2.3
200711,54.4,0.7
200712,52.2,5.1
200801,43.5,-2.2
200802,50.5,1.7
200803,57.2,1.4
200804,63.1,-0.3
200805,71.3,0.3
200806,78.7,0.8
200807,80.2,-0.1
200808,77.9,-2.0
200809,74.2,-0.7
200810,62.0,-2.0
200811,51.5,-2.2
200812,50.1,3.0
200901,46.4,0.7
200902,50.3,1.5
200903,58.1,2.3
200904,62.9,-0.5
200905,71.9,0.9
200906,79.8,1.9
200907,79.1,-1.2
200908,78.1,-1.8
200909,75.8,0.9
200910,62.6,-1.4
200911,53.4,-0.3
200912,44.8,-2.3
201001,40.2,-5.5
201002,41.0,-7.8
201003,51.7,-4.1
201004,64.2,0.8
201005,74.1,3.1
201006,81.4,3.5
201007,82.6,2.3
201008,82.9,3.0
201009,76.5,1.6
201010,64.5,0.5
201011,55.3,1.6
201012,42.5,-4.6
201101,42.5,-3.2
201102,49.9,1.1
201103,57.6,1.8
201104,66.8,3.4
201105,70.2,-0.8
201106,81.6,3.7
201107,81.7,1.4
201108,81.9,2.0
201109,72.2,-2.7
201110,60.7,-3.3
201111,55.5,1.8
201112,49.0,1.9
201201,51.1,5.4
201202,52.7,3.9
201203,64.9,9.1
201204,65.6,2.2
201205,73.7,2.7
201206,78.0,0.1
201207,81.2,0.9
