Lewis and Clark County, Montana, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,24.3,5.1
200002,28.3,5.4
200003,34.4,5.5
200004,41.4,3.1
200005,48.4,1.6
200006,54.0,0.0
200007,64.2,2.5
200008,62.8,2.5
200009,51.0,0.0
200010,40.8,-0.7
200011,23.1,-6.3
200012,20.2,-2.1
200101,26.4,7.2
200102,18.8,-4.1
200103,32.9,4.0
200104,37.2,-1.1
200105,50.1,3.3
200106,54.0,0.0
200107,62.2,0.5
200108,64.5,4.2
200109,56.3,5.3
200110,41.3,-0.2
200111,36.2,6.8
200112,23.0,0.7
200201,24.1,4.9
200202,25.7,2.8
200203,20.6,-8.3
200204,35.2,-3.1
200205,44.6,-2.2
200206,54.6,0.6
200207,65.3,3.6
200208,56.5,-3.8
200209,52.5,1.5
200210,35.1,-6.4
200211,33.6,4.2
200212,27.8,5.5
200301,29.7,10.5
200302,23.3,0.4
200303,30.0,1.1
200304,40.7,2.4
200305,46.7,-0.1
200306,55.5,1.5
200307,66.8,5.1
200308,65.2,4.9
200309,52.3,1.3
200310,44.8,3.3
200311,24.9,-4.5
200312,26.9,4.6
200401,21.3,2.1
200402,28.3,5.4
200403,37.5,8.6
200404,41.6,3.3
200405,44.4,-2.4
200406,52.4,-1.6
200407,62.5,0.8
200408,59.4,-0.9
200409,50.1,-0.9
200410,41.4,-0.1
200411,33.6,4.2
200412,28.2,5.9
200501,21.5,2.3
200502,29.3,6.4
200503,32.7,3.8
200504,39.2,0.9
200505,46.2,-0.6
200506,53.0,-1.0
200507,63.3,1.6
200508,60.6,0.3
200509,51.6,0.6
200510,44.3,2.8
200511,31.6,2.2
200512,22.2,-0.1
200601,32.1,12.9
200602,22.9,0.0
200603,29.5,0.6
200604,41.7,3.4
200605,49.6,2.8
200606,57.1,3.1
200607,67.0,5.3
200608,60.7,0.4
200609,53.0,2.0
200610,39.8,-1.7
200611,28.7,-0.7
200612,26.6,4.3
200701,23.5,4.3
200702,24.5,1.6
200703,38.5,9.6
200704,39.3,1.0
200705,49.0,2.2
200706,56.7,2.7
200707,69.9,8.2
200708,61.3,1.0
200709,51.4,0.4
200710,42.8,1.3
200711,30.9,1.5
200712,23.4,1.1
200801,20.3,1.1
200802,27.8,4.9
200803,30.0,1.1
200804,34.9,-3.4
200805,46.7,-0.1
200806,53.4,-0.6
200807,62.6,0.9
200808,61.1,0.8
200809,50.6,-0.4
200810,42.3,0.8
200811,36.6,7.2
200812,15.8,-6.5
200901,24.5,5.3
200902,28.0,5.1
200903,27.6,-1.3
200904,36.8,-1.5
200905,47.4,0.6
200906,52.7,-1.3
200907,61.1,-0.6
200908,60.5,0.2
200909,57.6,6.6
200910,34.2,-7.3
200911,34.7,5.3
200912,14.7,-7.6
201001,25.0,5.8
201002,27.3,4.4
201003,36.7,7.8
201004,38.4,0.1
201005,42.4,-4.4
201006,53.0,-1.0
201007,60.2,-1.5
201008,59.0,-1.3
201009,51.6,0.6
201010,46.2,4.7
201011,25.4,-4.0
201012,22.2,-0.1
201101,24.0,4.8
201102,18.1,-4.8
201103,30.6,1.7
201104,34.8,-3.5
201105,44.6,-2.2
201106,51.8,-2.2
201107,61.7,0.0
201108,63.3,3.0
201109,56.4,5.4
201110,42.9,1.4
201111,30.1,0.7
201112,26.9,4.6
201201,25.9,6.7
201202,25.3,2.4
201203,36.1,7.2
201204,42.8,4.5
201205,46.0,-0.8
201206,55.1,1.1
201207,66.0,4.3
201208,63.0,2.7
201209,56.1,5.1
201210,39.5,-2.0
201211,33.7,4.3
201212,23.0,0.7
201301,25.8,6.6
201302,28.2,5.3
201303,32.5,3.6
201304,35.6,-2.7
201305,48.3,1.5
201306,55.3,1.3
201307,65.2,3.5
201308,64.0,3.7
201309,55.2,4.2
201310,39.3,-2.2
201311,32.2,2.8
201312,20.8,-1.5
201401,27.2,8.0
201402,14.6,-8.3
201403,30.9,2.0
201404,40.1,1.8
201405,48.2,1.4
201406,52.9,-1.1
201407,65.1,3.4
201408,61.4,1.1
201409,53.1,2.1
201410,47.0,5.5
201411,25.5,-3.9
201412,26.4,4.1
201501,27.3,8.1
201502,29.9,7.0
201503,39.3,10.4
201504,40.6,2.3
201505,46.6,-0.2
201506,61.0,7.0
201507,62.2,0.5
201508,62.9,2.6
201509,54.0,3.0
201510,46.8,5.3
201511,28.8,-0.6
201512,24.8,2.5
201601,27.7,8.5
201602,34.8,11.9
201603,35.9,7.0
201604,43.9,5.6
201605,47.2,0.4
201606,58.3,4.3
201607,61.8,0.1
201608,60.6,0.3
201609,51.3,0.3
201610,42.8,1.3
201611,39.1,9.7
201612,14.5,-7.8
201701,17.0,-2.2
201702,25.3,2.4
201703,36.4,7.5
201704,40.0,1.7
201705,49.9,3.1
201706,56.8,2.8
201707,68.1,6.4
201708,62.8,2.5
201709,52.2,1.2
201710,40.6,-0.9
201711,30.8,1.4
201712,20.7,-1.6
201801,27.3,8.1
201802,14.4,-8.5
201803,30.7,1.8
201804,37.8,-0.5
201805,51.9,5.1
201806,54.8,0.8
201807,62.8,1.1
201808,60.9,0.6
201809,50.5,-0.5
201810,40.9,-0.6
201811,30.7,1.3
201812,25.8,3.5
201901,26.6,7.4
201902,5.7,-17.2
201903,25.5,-3.4
201904,39.4,1.1
201905,45.6,-1.2
201906,55.1,1.1
201907,61.4,-0.3
201908,61.9,1.6
201909,51.7,0.7
201910,33.7,-7.8
201911,29.0,-0.4
201912,28.9,6.6
202001,27.1,7.9
