Caldwell County, North Carolina, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,37.0,-0.7
200002,43.6,3.6
200003,51.8,4.6
200004,54.1,-1.8
200005,66.7,2.2
200006,73.5,1.7
200007,73.8,-1.3
200008,73.7,-0.1
200009,66.3,-1.8
200010,58.6,1.4
200011,45.5,-1.3
200012,31.7,-7.3
200101,36.4,-1.3
200102,44.5,4.5
200103,44.0,-3.2
200104,58.8,2.9
200105,64.9,0.4
200106,72.0,0.2
200107,72.8,-2.3
200108,75.6,1.8
200109,65.5,-2.6
200110,54.5,-2.7
200111,51.8,5.0
200112,45.0,6.0
200201,40.6,2.9
200202,41.7,1.7
200203,47.6,0.4
200204,60.2,4.3
200205,63.0,-1.5
200206,73.6,1.8
200207,77.1,2.0
200208,75.6,1.8
200209,70.2,2.1
200210,59.5,2.3
200211,45.2,-1.6
200212,38.5,-0.5
200301,34.2,-3.5
200302,39.3,-0.7
200303,51.4,4.2
200304,56.2,0.3
200305,63.7,-0.8
200306,69.5,-2.3
200307,74.3,-0.8
200308,75.3,1.5
200309,66.8,-1.3
200310,55.8,-1.4
200311,53.1,6.3
200312,37.6,-1.4
200401,36.6,-1.1
200402,38.2,-1.8
200403,50.2,3.0
200404,56.4,0.5
200405,68.7,4.2
200406,72.3,0.5
200407,74.8,-0.3
200408,72.4,-1.4
200409,67.6,-0.5
200410,60.1,2.9
200411,51.2,4.4
200412,39.1,0.1
200501,41.4,3.7
200502,41.9,1.9
200503,46.0,-1.2
200504,55.9,0.0
200505,61.8,-2.7
200506,71.4,-0.4
200507,76.4,1.3
200508,76.4,2.6
200509,70.6,2.5
200510,59.8,2.6
200511,49.6,2.8
200512,37.1,-1.9
200601,44.2,6.5
200602,40.0,0.0
200603,48.2,1.0
200604,60.9,5.0
200605,62.0,-2.5
200606,72.1,0.3
200607,75.6,0.5
200608,76.4,2.6
200609,65.5,-2.6
200610,54.8,-2.4
200611,48.9,2.1
200612,45.0,6.0
200701,41.2,3.5
200702,36.9,-3.1
200703,53.2,6.0
200704,55.4,-0.5
200705,65.0,0.5
200706,73.1,1.3
200707,73.2,-1.9
200708,80.2,6.4
200709,70.6,2.5
200710,62.0,4.8
200711,47.2,0.4
200712,44.6,5.6
200801,36.8,-0.9
200802,43.0,3.0
200803,47.2,0.0
200804,56.4,0.5
200805,63.2,-1.3
200806,75.3,3.5
200807,74.6,-0.5
200808,73.6,-0.2
200809,68.6,0.5
200810,55.6,-1.6
200811,44.2,-2.6
200812,41.9,2.9
200901,36.1,-1.6
200902,40.5,0.5
200903,48.5,1.3
200904,56.4,0.5
200905,64.6,0.1
200906,73.4,1.6
200907,72.8,-2.3
200908,75.0,1.2
200909,67.7,-0.4
200910,56.1,-1.1
200911,50.7,3.9
200912,36.7,-2.3
201001,33.7,-4.0
201002,34.2,-5.8
201003,46.8,-0.4
201004,60.1,4.2
201005,67.5,3.0
201006,76.7,4.9
201007,78.3,3.2
201008,76.6,2.8
201009,70.6,2.5
201010,58.8,1.6
201011,47.7,0.9
201012,31.6,-7.4
201101,34.6,-3.1
201102,43.5,3.5
201103,49.1,1.9
201104,59.3,3.4
201105,65.4,0.9
201106,74.8,3.0
201107,77.7,2.6
201108,75.9,2.1
201109,68.2,0.1
201110,55.8,-1.4
201111,49.4,2.6
201112,43.9,4.9
201201,41.4,3.7
201202,44.1,4.1
201203,57.3,10.1
201204,58.5,2.6
201205,67.9,3.4
201206,71.4,-0.4
201207,77.9,2.8
