Cumberland County, North Carolina, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,40.8,-1.9
200002,47.9,3.2
200003,55.6,3.2
200004,59.4,-1.5
200005,72.4,3.1
200006,77.8,1.5
200007,77.6,-1.8
200008,77.5,-0.5
200009,71.4,-1.3
200010,61.4,-0.6
200011,49.4,-2.3
200012,37.6,-6.2
200101,42.6,-0.1
200102,48.4,3.7
200103,50.3,-2.1
200104,62.4,1.5
200105,68.9,-0.4
200106,77.4,1.1
200107,77.0,-2.4
200108,79.0,1.0
200109,70.1,-2.6
200110,60.0,-2.0
200111,57.4,5.7
200112,50.6,6.8
200201,44.8,2.1
200202,47.2,2.5
200203,54.4,2.0
200204,65.8,4.9
200205,68.0,-1.3
200206,77.8,1.5
200207,81.8,2.4
200208,79.3,1.3
200209,74.7,2.0
200210,64.8,2.8
200211,50.3,-1.4
200212,42.8,-1.0
200301,39.0,-3.7
200302,43.8,-0.9
200303,55.1,2.7
200304,59.4,-1.5
200305,68.8,-0.5
200306,75.8,-0.5
200307,79.3,-0.1
200308,80.1,2.1
200309,72.0,-0.7
200310,61.3,-0.7
200311,58.0,6.3
200312,42.4,-1.4
200401,40.2,-2.5
200402,42.9,-1.8
200403,53.8,1.4
200404,61.9,1.0
200405,73.9,4.6
200406,77.2,0.9
200407,80.1,0.7
200408,76.3,-1.7
200409,72.6,-0.1
200410,64.0,2.0
200411,55.0,3.3
200412,43.8,0.0
200501,45.1,2.4
200502,46.5,1.8
200503,50.0,-2.4
200504,60.1,-0.8
200505,66.0,-3.3
200506,76.4,0.1
200507,82.1,2.7
200508,80.7,2.7
200509,76.9,4.2
200510,64.0,2.0
200511,53.6,1.9
200512,42.6,-1.2
200601,48.9,6.2
200602,44.4,-0.3
200603,52.4,0.0
200604,64.0,3.1
200605,66.9,-2.4
200606,75.4,-0.9
200607,80.1,0.7
200608,80.6,2.6
200609,70.9,-1.8
200610,59.8,-2.2
200611,53.5,1.8
200612,49.2,5.4
200701,46.8,4.1
200702,42.1,-2.6
200703,55.8,3.4
200704,59.8,-1.1
200705,68.6,-0.7
200706,76.6,0.3
200707,78.9,-0.5
200708,83.8,5.8
200709,74.9,2.2
200710,67.8,5.8
200711,51.1,-0.6
200712,50.2,6.4
200801,42.9,0.2
200802,48.9,4.2
200803,53.8,1.4
200804,61.1,0.2
200805,67.5,-1.8
200806,80.3,4.0
200807,78.9,-0.5
200808,78.0,0.0
200809,72.9,0.2
200810,60.4,-1.6
200811,49.3,-2.4
200812,48.7,4.9
200901,41.8,-0.9
200902,45.2,0.5
200903,51.5,-0.9
200904,61.5,0.6
200905,70.2,0.9
200906,78.2,1.9
200907,78.6,-0.8
200908,79.8,1.8
200909,72.0,-0.7
200910,61.1,-0.9
200911,54.4,2.7
200912,43.4,-0.4
201001,39.2,-3.5
201002,39.6,-5.1
201003,51.9,-0.5
201004,63.3,2.4
201005,72.4,3.1
201006,81.3,5.0
201007,82.0,2.6
201008,81.0,3.0
201009,76.4,3.7
201010,63.6,1.6
201011,51.6,-0.1
201012,36.0,-7.8
201101,38.7,-4.0
201102,48.8,4.1
201103,53.4,1.0
201104,63.9,3.0
201105,70.7,1.4
201106,80.1,3.8
201107,82.9,3.5
201108,80.4,2.4
201109,73.2,0.5
201110,59.8,-2.2
201111,54.2,2.5
201112,49.2,5.4
201201,46.3,3.6
201202,48.0,3.3
201203,61.0,8.6
201204,61.5,0.6
201205,72.4,3.1
201206,74.4,-1.9
201207,82.8,3.4
