Pitt County, North Carolina, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,40.4,-1.6
200002,47.6,3.9
200003,54.8,3.6
200004,58.9,-0.8
200005,71.1,2.7
200006,76.9,1.5
200007,76.5,-2.5
200008,76.2,-1.4
200009,71.3,-1.0
200010,60.6,-1.1
200011,49.1,-2.3
200012,37.7,-5.8
200101,42.3,0.3
200102,47.8,4.1
200103,49.6,-1.6
200104,61.2,1.5
200105,68.4,0.0
200106,77.0,1.6
200107,76.0,-3.0
200108,78.0,0.4
200109,69.5,-2.8
200110,60.2,-1.5
200111,56.8,5.4
200112,49.9,6.4
200201,44.3,2.3
200202,47.0,3.3
200203,53.9,2.7
200204,64.1,4.4
200205,67.5,-0.9
200206,77.0,1.6
200207,80.2,1.2
200208,78.9,1.3
200209,74.4,2.1
200210,63.9,2.2
200211,51.0,-0.4
200212,42.6,-0.9
200301,38.0,-4.0
200302,43.2,-0.5
200303,54.6,3.4
200304,59.4,-0.3
200305,67.7,-0.7
200306,75.6,0.2
200307,79.1,0.1
200308,79.5,1.9
200309,72.1,-0.2
200310,60.8,-0.9
200311,58.4,7.0
200312,42.9,-0.6
200401,39.1,-2.9
200402,42.6,-1.1
200403,52.9,1.7
200404,61.2,1.5
200405,73.3,4.9
200406,76.4,1.0
200407,79.6,0.6
200408,75.6,-2.0
200409,72.7,0.4
200410,62.3,0.6
200411,54.2,2.8
200412,44.2,0.7
200501,44.0,2.0
200502,45.0,1.3
200503,48.4,-2.8
200504,59.7,0.0
200505,64.9,-3.5
200506,75.5,0.1
200507,81.5,2.5
200508,80.1,2.5
200509,75.7,3.4
200510,63.5,1.8
200511,54.5,3.1
200512,42.2,-1.3
200601,49.1,7.1
200602,44.2,0.5
200603,50.9,-0.3
200604,62.9,3.2
200605,66.4,-2.0
200606,74.7,-0.7
200607,79.6,0.6
200608,79.6,2.0
200609,70.3,-2.0
200610,60.0,-1.7
200611,54.2,2.8
200612,49.6,6.1
200701,46.6,4.6
200702,40.9,-2.8
200703,54.4,3.2
200704,59.4,-0.3
200705,67.2,-1.2
200706,75.9,0.5
200707,78.0,-1.0
200708,81.3,3.7
200709,73.6,1.3
200710,68.5,6.8
200711,51.3,-0.1
200712,49.6,6.1
200801,42.8,0.8
200802,49.3,5.6
200803,54.0,2.8
200804,61.1,1.4
200805,66.5,-1.9
200806,80.0,4.6
200807,78.7,-0.3
200808,77.3,-0.3
200809,73.1,0.8
200810,59.6,-2.1
200811,49.7,-1.7
200812,49.0,5.5
200901,40.3,-1.7
200902,44.5,0.8
200903,50.6,-0.6
200904,60.8,1.1
200905,69.6,1.2
200906,76.9,1.5
200907,77.3,-1.7
200908,79.7,2.1
200909,71.2,-1.1
200910,61.0,-0.7
200911,55.2,3.8
200912,43.7,0.2
201001,39.0,-3.0
201002,38.9,-4.8
201003,52.1,0.9
201004,63.4,3.7
201005,71.8,3.4
201006,81.6,6.2
201007,81.1,2.1
201008,80.0,2.4
201009,75.0,2.7
201010,63.1,1.4
201011,51.9,0.5
201012,34.8,-8.7
201101,37.9,-4.1
201102,47.5,3.8
201103,51.7,0.5
201104,63.3,3.6
201105,69.6,1.2
201106,78.7,3.3
201107,82.1,3.1
201108,79.2,1.6
201109,73.3,1.0
201110,60.2,-1.5
201111,55.4,4.0
201112,49.2,5.7
201201,46.5,4.5
201202,47.3,3.6
201203,60.0,8.8
201204,60.0,0.3
201205,71.4,3.0
201206,73.6,-1.8
201207,82.1,3.1
201208,77.8,0.2
201209,71.3,-1.0
201210,61.8,0.1
201211,47.3,-4.1
201212,50.0,6.5
201301,45.2,3.2
201302,43.4,-0.3
201303,45.8,-5.4
201304,60.7,1.0
201305,67.4,-1.0
201306,76.3,0.9
201307,79.6,0.6
201308,76.4,-1.2
201309,70.5,-1.8
201310,62.5,0.8
201311,50.3,-1.1
201312,47.6,4.1
201401,38.6,-3.4
201402,44.2,0.5
201403,46.8,-4.4
201404,61.1,1.4
201405,71.1,2.7
201406,76.6,1.2
201407,77.5,-1.5
201408,75.7,-1.9
201409,73.0,0.7
201410,63.6,1.9
201411,48.1,-3.3
201412,46.2,2.7
201501,41.7,-0.3
201502,36.2,-7.5
201503,51.3,0.1
201504,61.7,2.0
201505,70.3,1.9
201506,79.9,4.5
201507,80.4,1.4
201508,77.6,0.0
201509,74.2,1.9
201510,62.2,0.5
201511,56.9,5.5
201512,57.8,14.3
201601,41.0,-1.0
201602,45.7,2.0
201603,58.3,7.1
201604,59.9,0.2
201605,67.7,-0.7
201606,76.4,1.0
201607,81.9,2.9
201608,81.2,3.6
201609,75.7,3.4
201610,65.6,3.9
201611,53.0,1.6
201612,45.5,2.0
201701,46.8,4.8
201702,53.1,9.4
201703,51.0,-0.2
201704,66.2,6.5
201705,69.9,1.5
201706,76.3,0.9
201707,80.6,1.6
201708,77.8,0.2
201709,73.0,0.7
201710,65.1,3.4
201711,51.9,0.5
201712,43.8,0.3
201801,37.6,-4.4
201802,54.3,10.6
201803,47.1,-4.1
201804,58.3,-1.4
201805,73.3,4.9
201806,78.4,3.0
201807,78.6,-0.4
201808,79.3,1.7
201809,78.4,6.1
201810,64.4,2.7
201811,51.6,0.2
201812,47.8,4.3
201901,44.0,2.0
201902,50.1,6.4
201903,50.1,-1.1
201904,63.2,3.5
201905,74.6,6.2
201906,76.2,0.8
201907,81.3,2.3
201908,78.5,0.9
201909,75.9,3.6
201910,66.0,4.3
201911,48.9,-2.5
201912,48.3,4.8
202001,48.6,6.6
