Cass County, North Dakota, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,9.7,4.5
200002,21.7,10.6
200003,35.6,10.0
200004,42.5,0.1
200005,57.3,1.8
200006,62.7,-2.2
200007,70.3,-0.1
200008,69.0,0.7
200009,57.7,0.0
200010,47.9,2.7
200011,25.7,-1.5
200012,0.6,-11.6
200101,14.7,9.5
200102,4.8,-6.3
200103,24.4,-1.2
200104,43.9,1.5
200105,58.1,2.6
200106,65.3,0.4
200107,72.0,1.6
200108,70.6,2.3
200109,59.0,1.3
200110,43.9,-1.3
200111,39.5,12.3
200112,19.0,6.8
200201,16.9,11.7
200202,24.2,13.1
200203,19.2,-6.4
200204,39.7,-2.7
200205,50.4,-5.1
200206,68.7,3.8
200207,72.8,2.4
200208,67.4,-0.9
200209,62.0,4.3
200210,36.8,-8.4
200211,28.2,1.0
200212,19.7,7.5
200301,8.9,3.7
200302,8.0,-3.1
200303,24.6,-1.0
200304,45.0,2.6
200305,54.9,-0.6
200306,64.9,0.0
200307,70.2,-0.2
200308,72.5,4.2
200309,58.4,0.7
200310,48.7,3.5
200311,24.1,-3.1
200312,19.7,7.5
200401,3.0,-2.2
200402,14.8,3.7
200403,30.3,4.7
200404,44.4,2.0
200405,51.8,-3.7
200406,61.9,-3.0
200407,67.8,-2.6
200408,62.2,-6.1
200409,61.4,3.7
200410,46.5,1.3
200411,33.6,6.4
200412,17.9,5.7
200501,5.7,0.5
200502,17.9,6.8
200503,28.0,2.4
200504,48.6,6.2
200505,53.8,-1.7
200506,67.6,2.7
200507,71.3,0.9
200508,67.5,-0.8
200509,62.4,4.7
200510,47.5,2.3
200511,31.3,4.1
200512,17.5,5.3
200601,23.6,18.4
200602,10.6,-0.5
200603,27.2,1.6
200604,49.9,7.5
200605,58.2,2.7
200606,67.7,2.8
200607,74.3,3.9
200608,69.1,0.8
200609,57.9,0.2
200610,42.4,-2.8
200611,30.6,3.4
200612,24.2,12.0
200701,12.2,7.0
200702,6.3,-4.8
200703,31.6,6.0
200704,42.1,-0.3
200705,59.2,3.7
200706,68.5,3.6
200707,72.9,2.5
200708,66.3,-2.0
200709,60.0,2.3
200710,48.9,3.7
200711,30.5,3.3
200712,9.8,-2.4
200801,6.2,1.0
200802,7.5,-3.6
200803,23.7,-1.9
200804,40.6,-1.8
200805,53.0,-2.5
200806,62.9,-2.0
200807,69.7,-0.7
200808,68.9,0.6
200809,59.2,1.5
200810,46.2,1.0
200811,30.8,3.6
200812,4.9,-7.3
200901,1.4,-3.8
200902,11.0,-0.1
200903,22.3,-3.3
200904,41.2,-1.2
200905,53.5,-2.0
200906,63.1,-1.8
200907,66.1,-4.3
200908,65.6,-2.7
200909,64.0,6.3
200910,39.9,-5.3
200911,37.6,10.4
200912,8.8,-3.4
201001,8.1,2.9
201002,9.9,-1.2
201003,34.4,8.8
201004,51.0,8.6
201005,56.8,1.3
201006,65.7,0.8
201007,71.3,0.9
201008,70.7,2.4
201009,55.8,-1.9
201010,49.5,4.3
201011,28.9,1.7
201012,9.1,-3.1
201101,3.1,-2.1
201102,10.9,-0.2
201103,20.0,-5.6
201104,42.1,-0.3
201105,53.7,-1.8
201106,65.6,0.7
201107,73.6,3.2
201108,69.8,1.5
201109,59.4,1.7
201110,51.1,5.9
201111,32.6,5.4
201112,23.9,11.7
201201,19.2,14.0
201202,21.7,10.6
201203,41.2,15.6
201204,47.5,5.1
201205,59.7,4.2
201206,68.7,3.8
201207,75.9,5.5
201208,68.1,-0.2
201209,59.0,1.3
201210,43.5,-1.7
201211,29.5,2.3
201212,13.9,1.7
201301,10.1,4.9
201302,11.6,0.5
201303,16.8,-8.8
201304,32.7,-9.7
201305,56.0,0.5
201306,66.3,1.4
201307,70.8,0.4
201308,69.9,1.6
201309,63.6,5.9
201310,44.4,-0.8
201311,27.6,0.4
201312,3.8,-8.4
201401,4.4,-0.8
201402,4.7,-6.4
201403,22.6,-3.0
201404,40.0,-2.4
201405,55.9,0.4
201406,66.2,1.3
201407,68.5,-1.9
201408,68.5,0.2
201409,59.8,2.1
201410,47.8,2.6
201411,21.6,-5.6
201412,19.2,7.0
201501,15.0,9.8
201502,6.5,-4.6
201503,32.7,7.1
201504,46.1,3.7
201505,53.9,-1.6
201506,66.4,1.5
201507,71.2,0.8
201508,67.9,-0.4
201509,64.1,6.4
201510,49.5,4.3
201511,34.7,7.5
201512,21.6,9.4
201601,12.5,7.3
201602,22.5,11.4
201603,37.4,11.8
201604,42.5,0.1
201605,59.3,3.8
201606,67.5,2.6
201607,70.7,0.3
201608,69.1,0.8
201609,61.3,3.6
201610,47.8,2.6
201611,40.8,13.6
201612,13.9,1.7
201701,12.9,7.7
201702,23.1,12.0
201703,28.6,3.0
201704,44.2,1.8
201705,55.9,0.4
201706,66.9,2.0
201707,71.2,0.8
201708,65.6,-2.7
201709,60.4,2.7
201710,47.2,2.0
201711,27.4,0.2
201712,14.0,1.8
201801,10.7,5.5
201802,6.6,-4.5
201803,26.2,0.6
201804,34.1,-8.3
201805,62.7,7.2
201806,69.9,5.0
201807,70.3,-0.1
201808,67.7,-0.6
201809,58.5,0.8
201810,39.6,-5.6
201811,21.6,-5.6
201812,19.8,7.6
201901,6.2,1.0
201902,-0.5,-11.6
201903,19.3,-6.3
201904,42.3,-0.1
201905,51.9,-3.6
201906,66.3,1.4
201907,70.9,0.5
201908,65.6,-2.7
201909,60.8,3.1
201910,40.2,-5.0
201911,26.6,-0.6
201912,12.8,0.6
202001,10.9,5.7
