Griggs County, North Dakota, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,8.4,5.0
200002,20.9,11.6
200003,34.2,10.8
200004,40.8,0.4
200005,55.7,2.1
200006,60.7,-2.3
200007,68.8,0.1
200008,67.4,1.0
200009,55.7,-0.2
200010,45.8,2.4
200011,23.7,-1.3
200012,-0.8,-10.9
200101,14.0,10.6
200102,3.4,-5.9
200103,24.2,0.8
200104,42.5,2.1
200105,56.1,2.5
200106,63.1,0.1
200107,69.7,1.0
200108,69.4,3.0
200109,57.4,1.5
200110,41.2,-2.2
200111,36.8,11.8
200112,16.7,6.6
200201,14.7,11.3
200202,22.8,13.5
200203,16.7,-6.7
200204,37.7,-2.7
200205,48.8,-4.8
200206,66.3,3.3
200207,70.8,2.1
200208,66.0,-0.4
200209,59.3,3.4
200210,34.0,-9.4
200211,27.0,2.0
200212,18.0,7.9
200301,7.1,3.7
200302,5.4,-3.9
200303,21.1,-2.3
200304,43.3,2.9
200305,52.8,-0.8
200306,62.6,-0.4
200307,68.0,-0.7
200308,70.5,4.1
200309,56.1,0.2
200310,46.8,3.4
200311,20.5,-4.5
200312,18.2,8.1
200401,0.4,-3.0
200402,12.7,3.4
200403,26.6,3.2
200404,42.0,1.6
200405,49.7,-3.9
200406,59.6,-3.4
200407,66.2,-2.5
200408,60.2,-6.2
200409,58.8,2.9
200410,44.2,0.8
200411,32.0,7.0
200412,16.7,6.6
200501,4.2,0.8
200502,16.1,6.8
200503,26.3,2.9
200504,47.0,6.6
200505,51.7,-1.9
200506,65.5,2.5
200507,69.5,0.8
200508,65.2,-1.2
200509,59.7,3.8
200510,45.8,2.4
200511,30.0,5.0
200512,16.2,6.1
200601,23.2,19.8
200602,9.3,0.0
200603,25.5,2.1
200604,48.0,7.6
200605,56.2,2.6
200606,65.2,2.2
200607,72.9,4.2
200608,68.0,1.6
200609,55.7,-0.2
200610,40.0,-3.4
200611,27.4,2.4
200612,21.2,11.1
200701,9.2,5.8
200702,3.8,-5.5
200703,28.8,5.4
200704,40.4,0.0
200705,56.4,2.8
200706,66.0,3.0
200707,71.2,2.5
200708,64.3,-2.1
200709,57.4,1.5
200710,46.2,2.8
200711,28.1,3.1
200712,8.8,-1.3
200801,4.5,1.1
200802,5.5,-3.8
200803,22.4,-1.0
200804,39.3,-1.1
200805,51.2,-2.4
200806,60.9,-2.1
200807,67.9,-0.8
200808,67.2,0.8
200809,56.6,0.7
200810,44.5,1.1
200811,28.5,3.5
200812,2.4,-7.7
200901,-0.2,-3.6
200902,8.5,-0.8
200903,18.2,-5.2
200904,38.9,-1.5
200905,51.0,-2.6
200906,62.0,-1.0
200907,64.4,-4.3
200908,64.2,-2.2
200909,62.4,6.5
200910,38.1,-5.3
200911,35.5,10.5
200912,7.1,-3.0
201001,7.3,3.9
201002,7.8,-1.5
201003,32.0,8.6
201004,48.3,7.9
201005,54.0,0.4
201006,63.4,0.4
201007,69.3,0.6
201008,68.9,2.5
201009,54.0,-1.9
201010,47.4,4.0
201011,27.0,2.0
201012,7.6,-2.5
201101,1.7,-1.7
201102,8.0,-1.3
201103,16.8,-6.6
201104,39.0,-1.4
201105,51.9,-1.7
201106,63.0,0.0
201107,70.9,2.2
201108,67.8,1.4
201109,56.9,1.0
201110,48.3,4.9
201111,30.5,5.5
201112,21.6,11.5
201201,17.0,13.6
201202,20.0,10.7
201203,38.8,15.4
201204,45.2,4.8
201205,55.6,2.0
201206,66.0,3.0
201207,73.9,5.2
