Banner County, Nebraska, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,30.8,5.7
200002,36.2,7.6
200003,39.2,4.4
200004,46.3,1.9
200005,57.7,3.5
200006,64.8,0.8
200007,74.1,3.2
200008,73.8,4.9
200009,60.8,1.5
200010,48.5,0.8
200011,26.2,-8.5
200012,24.5,-2.5
200101,28.6,3.5
200102,26.3,-2.3
200103,37.2,2.4
200104,46.4,2.0
200105,55.0,0.8
200106,65.7,1.7
200107,75.0,4.1
200108,71.1,2.2
200109,62.8,3.5
200110,47.8,0.1
200111,39.4,4.7
200112,29.6,2.6
200201,29.0,3.9
200202,30.6,2.0
200203,30.0,-4.8
200204,47.2,2.8
200205,53.6,-0.6
200206,70.4,6.4
200207,75.6,4.7
200208,69.4,0.5
200209,60.8,1.5
200210,41.5,-6.2
200211,34.7,0.0
200212,32.5,5.5
200301,33.4,8.3
200302,25.8,-2.8
200303,37.6,2.8
200304,48.4,4.0
200305,55.6,1.4
200306,61.7,-2.3
200307,75.7,4.8
200308,72.6,3.7
200309,58.2,-1.1
200310,51.9,4.2
200311,33.4,-1.3
200312,30.4,3.4
200401,30.1,5.0
200402,30.1,1.5
200403,41.6,6.8
200404,47.3,2.9
200405,56.5,2.3
200406,62.1,-1.9
200407,69.7,-1.2
200408,66.0,-2.9
200409,61.1,1.8
200410,49.4,1.7
200411,34.8,0.1
200412,31.9,4.9
200501,30.4,5.3
200502,34.1,5.5
200503,38.4,3.6
200504,44.6,0.2
200505,53.7,-0.5
200506,64.5,0.5
200507,73.5,2.6
200508,67.9,-1.0
200509,62.8,3.5
200510,49.1,1.4
200511,40.6,5.9
200512,27.6,0.6
200601,36.2,11.1
200602,27.0,-1.6
200603,34.7,-0.1
200604,49.6,5.2
200605,56.8,2.6
200606,69.4,5.4
200607,75.2,4.3
200608,70.6,1.7
200609,55.4,-3.9
200610,46.0,-1.7
200611,37.2,2.5
200612,29.6,2.6
200701,21.9,-3.2
200702,27.9,-0.7
200703,43.6,8.8
200704,43.8,-0.6
200705,57.4,3.2
200706,67.3,3.3
200707,75.5,4.6
200708,73.5,4.6
200709,62.6,3.3
200710,50.8,3.1
200711,39.0,4.3
200712,22.4,-4.6
200801,21.9,-3.2
200802,28.9,0.3
200803,37.1,2.3
200804,43.0,-1.4
200805,53.3,-0.9
200806,63.8,-0.2
200807,73.6,2.7
200808,68.6,-0.3
200809,58.3,-1.0
200810,47.5,-0.2
200811,40.7,6.0
200812,24.2,-2.8
200901,30.0,4.9
200902,34.2,5.6
200903,37.7,2.9
200904,42.9,-1.5
200905,56.2,2.0
200906,63.1,-0.9
200907,68.9,-2.0
200908,67.1,-1.8
200909,60.1,0.8
200910,39.2,-8.5
200911,39.9,5.2
200912,19.6,-7.4
201001,28.6,3.5
201002,25.6,-3.0
201003,38.3,3.5
201004,46.1,1.7
201005,52.0,-2.2
201006,65.8,1.8
201007,71.9,1.0
201008,71.7,2.8
201009,61.8,2.5
201010,51.9,4.2
201011,34.2,-0.5
201012,31.2,4.2
201101,26.8,1.7
201102,24.3,-4.3
201103,39.1,4.3
201104,44.5,0.1
201105,50.2,-4.0
201106,64.3,0.3
201107,74.5,3.6
201108,73.5,4.6
201109,60.8,1.5
201110,49.4,1.7
201111,36.8,2.1
201112,26.7,-0.3
201201,31.3,6.2
201202,28.5,-0.1
201203,47.0,12.2
201204,51.6,7.2
201205,58.2,4.0
201206,72.1,8.1
201207,76.8,5.9
201208,71.7,2.8
201209,62.7,3.4
201210,46.4,-1.3
201211,40.8,6.1
201212,28.9,1.9
201301,27.4,2.3
201302,28.7,0.1
201303,36.5,1.7
201304,39.2,-5.2
201305,56.0,1.8
201306,67.4,3.4
201307,71.9,1.0
201308,72.2,3.3
201309,64.8,5.5
201310,45.0,-2.7
201311,36.2,1.5
201312,26.2,-0.8
201401,30.0,4.9
201402,20.5,-8.1
201403,37.3,2.5
201404,46.0,1.6
201405,54.7,0.5
201406,63.4,-0.6
201407,70.8,-0.1
201408,69.2,0.3
201409,61.2,1.9
201410,51.5,3.8
201411,31.9,-2.8
201412,27.6,0.6
201501,29.1,4.0
201502,32.2,3.6
201503,42.6,7.8
201504,46.6,2.2
201505,50.8,-3.4
201506,68.0,4.0
201507,70.1,-0.8
201508,69.0,0.1
201509,64.6,5.3
201510,52.4,4.7
201511,35.6,0.9
201512,26.5,-0.5
201601,27.5,2.4
201602,36.2,7.6
201603,40.5,5.7
201604,45.7,1.3
201605,52.6,-1.6
201606,70.0,6.0
201607,72.9,2.0
201608,68.1,-0.8
201609,61.6,2.3
201610,53.6,5.9
201611,42.4,7.7
201612,23.4,-3.6
201701,25.2,0.1
201702,35.8,7.2
201703,43.9,9.1
201704,46.9,2.5
201705,53.4,-0.8
201706,66.6,2.6
201707,75.0,4.1
201708,68.0,-0.9
201709,61.6,2.3
201710,47.2,-0.5
201711,41.7,7.0
201712,28.3,1.3
201801,27.8,2.7
201802,25.3,-3.3
201803,39.0,4.2
201804,42.4,-2.0
201805,58.1,3.9
201806,68.0,4.0
201807,72.0,1.1
201808,68.1,-0.8
201809,62.8,3.5
201810,45.0,-2.7
201811,34.3,-0.4
201812,29.8,2.8
201901,29.4,4.3
201902,22.9,-5.7
201903,30.6,-4.2
201904,46.4,2.0
201905,48.2,-6.0
201906,62.7,-1.3
201907,71.9,1.0
201908,69.9,1.0
201909,64.2,4.9
201910,40.0,-7.7
201911,33.9,-0.8
201912,31.1,4.1
202001,32.4,7.3
