Douglas County, Nebraska, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,27.5,6.6
200002,36.2,10.2
200003,44.6,7.3
200004,51.6,1.2
200005,65.7,4.2
200006,70.2,-0.9
200007,74.4,-1.8
200008,76.1,2.4
200009,66.4,1.2
200010,56.4,3.1
200011,32.6,-5.1
200012,14.6,-10.7
200101,25.6,4.7
200102,21.0,-5.0
200103,34.7,-2.6
200104,54.7,4.3
200105,62.9,1.4
200106,70.7,-0.4
200107,77.9,1.7
200108,75.0,1.3
200109,64.2,-1.0
200110,53.2,-0.1
200111,49.6,11.9
200112,32.0,6.7
200201,29.9,9.0
200202,31.0,5.0
200203,33.0,-4.3
200204,52.2,1.8
200205,58.9,-2.6
200206,76.2,5.1
200207,79.7,3.5
200208,74.2,0.5
200209,67.3,2.1
200210,47.6,-5.7
200211,36.7,-1.0
200212,32.1,6.8
200301,23.3,2.4
200302,23.9,-2.1
200303,38.8,1.5
200304,53.3,2.9
200305,59.0,-2.5
200306,68.7,-2.4
200307,77.0,0.8
200308,77.1,3.4
200309,62.1,-3.1
200310,55.4,2.1
200311,37.3,-0.4
200312,30.5,5.2
200401,20.9,0.0
200402,24.6,-1.4
200403,43.8,6.5
200404,53.4,3.0
200405,62.9,1.4
200406,68.1,-3.0
200407,72.3,-3.9
200408,69.5,-4.2
200409,69.9,4.7
200410,54.8,1.5
200411,42.1,4.4
200412,29.6,4.3
200501,20.4,-0.5
200502,33.3,7.3
200503,40.2,2.9
200504,54.8,4.4
200505,61.2,-0.3
200506,74.5,3.4
200507,78.0,1.8
200508,74.2,0.5
200509,70.0,4.8
200510,54.6,1.3
200511,42.4,4.7
200512,24.0,-1.3
200601,36.4,15.5
200602,29.2,3.2
200603,39.0,1.7
200604,56.1,5.7
200605,63.5,2.0
200606,73.6,2.5
200607,78.2,2.0
200608,73.8,0.1
200609,61.6,-3.6
200610,50.4,-2.9
200611,39.8,2.1
200612,32.7,7.4
200701,22.4,1.5
200702,21.0,-5.0
200703,45.7,8.4
200704,49.5,-0.9
200705,66.0,4.5
200706,72.1,1.0
200707,77.1,0.9
200708,77.0,3.3
200709,66.1,0.9
200710,57.0,3.7
200711,39.1,1.4
200712,21.9,-3.4
200801,19.9,-1.0
200802,22.4,-3.6
200803,37.0,-0.3
200804,46.2,-4.2
200805,59.2,-2.3
200806,71.2,0.1
200807,75.9,-0.3
200808,73.5,-0.2
200809,64.4,-0.8
200810,53.6,0.3
200811,39.4,1.7
200812,21.6,-3.7
200901,20.8,-0.1
200902,30.5,4.5
200903,38.4,1.1
200904,48.6,-1.8
200905,62.6,1.1
200906,70.6,-0.5
200907,70.7,-5.5
200908,70.5,-3.2
200909,64.4,-0.8
200910,45.9,-7.4
200911,44.8,7.1
200912,19.9,-5.4
201001,15.9,-5.0
201002,20.5,-5.5
201003,39.8,2.5
201004,56.2,5.8
201005,60.2,-1.3
201006,72.6,1.5
201007,76.2,0.0
201008,77.0,3.3
201009,65.6,0.4
201010,56.2,2.9
201011,39.3,1.6
201012,24.0,-1.3
201101,17.4,-3.5
201102,25.2,-0.8
201103,38.3,1.0
201104,50.3,-0.1
201105,60.7,-0.8
201106,71.4,0.3
201107,80.1,3.9
201108,74.1,0.4
201109,61.8,-3.4
201110,55.8,2.5
201111,40.5,2.8
201112,29.3,4.0
201201,30.2,9.3
201202,29.9,3.9
201203,54.9,17.6
201204,56.0,5.6
201205,67.0,5.5
201206,74.6,3.5
201207,83.0,6.8
201208,74.3,0.6
