Hillsborough County, New Hampshire, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,21.1,0.1
200002,26.6,4.4
200003,38.5,6.2
200004,44.5,0.9
200005,55.3,0.1
200006,64.0,0.2
200007,65.8,-3.2
200008,65.3,-1.0
200009,58.2,-0.6
200010,48.3,0.2
200011,38.0,1.3
200012,22.8,-2.3
200101,22.0,1.0
200102,24.8,2.6
200103,30.5,-1.8
200104,44.6,1.0
200105,57.3,2.1
200106,66.4,2.6
200107,66.4,-2.6
200108,70.8,4.5
200109,60.5,1.7
200110,49.9,1.8
200111,41.6,4.9
200112,33.0,7.9
200201,30.1,9.1
200202,29.0,6.8
200203,34.5,2.2
200204,47.5,3.9
200205,53.6,-1.6
200206,63.2,-0.6
200207,70.0,1.0
200208,70.8,4.5
200209,63.2,4.4
200210,46.4,-1.7
200211,36.3,-0.4
200212,25.8,0.7
200301,15.1,-5.9
200302,19.9,-2.3
200303,31.9,-0.4
200304,41.4,-2.2
200305,53.9,-1.3
200306,64.1,0.3
200307,70.3,1.3
200308,70.1,3.8
200309,60.7,1.9
200310,47.1,-1.0
200311,40.3,3.6
200312,28.3,3.2
200401,14.5,-6.5
200402,25.1,2.9
200403,35.0,2.7
200404,45.4,1.8
200405,57.2,2.0
200406,62.8,-1.0
200407,67.9,-1.1
200408,68.3,2.0
200409,60.9,2.1
200410,48.4,0.3
200411,38.9,2.2
200412,26.8,1.7
200501,19.9,-1.1
200502,25.4,3.2
200503,29.6,-2.7
200504,47.4,3.8
200505,50.6,-4.6
200506,67.8,4.0
200507,70.6,1.6
200508,70.4,4.1
200509,63.5,4.7
200510,50.5,2.4
200511,39.1,2.4
200512,25.8,0.7
200601,29.2,8.2
200602,25.6,3.4
200603,33.6,1.3
200604,47.1,3.5
200605,55.2,0.0
200606,65.7,1.9
200607,72.5,3.5
200608,66.6,0.3
200609,59.0,0.2
200610,48.4,0.3
200611,43.6,6.9
200612,34.5,9.4
200701,26.3,5.3
200702,19.6,-2.6
200703,32.0,-0.3
200704,42.0,-1.6
200705,57.6,2.4
200706,64.6,0.8
200707,68.8,-0.2
200708,68.3,2.0
200709,61.6,2.8
200710,53.8,5.7
200711,36.3,-0.4
200712,24.3,-0.8
200801,24.6,3.6
200802,25.3,3.1
200803,31.3,-1.0
200804,46.4,2.8
200805,53.9,-1.3
200806,66.3,2.5
200807,71.1,2.1
200808,66.0,-0.3
200809,60.6,1.8
200810,47.6,-0.5
200811,37.9,1.2
200812,28.0,2.9
200901,16.1,-4.9
200902,25.6,3.4
200903,33.3,1.0
200904,47.3,3.7
200905,56.4,1.2
200906,62.2,-1.6
200907,66.2,-2.8
200908,69.6,3.3
200909,57.9,-0.9
200910,46.2,-1.9
200911,42.6,5.9
200912,26.3,1.2
201001,23.5,2.5
201002,28.0,5.8
201003,39.6,7.3
201004,49.3,5.7
201005,59.4,4.2
201006,66.4,2.6
201007,73.3,4.3
201008,68.8,2.5
201009,63.0,4.2
201010,48.8,0.7
201011,38.8,2.1
201012,26.1,1.0
201101,19.4,-1.6
201102,22.1,-0.1
201103,32.8,0.5
201104,45.9,2.3
201105,57.8,2.6
201106,64.2,0.4
201107,72.0,3.0
201108,68.7,2.4
201109,63.4,4.6
201110,50.2,2.1
201111,42.8,6.1
201112,32.9,7.8
201201,27.0,6.0
201202,31.3,9.1
201203,42.5,10.2
201204,47.7,4.1
201205,59.4,4.2
201206,64.4,0.6
201207,72.1,3.1
201208,70.7,4.4
201209,60.3,1.5
201210,51.9,3.8
201211,37.0,0.3
201212,31.5,6.4
201301,24.3,3.3
201302,26.0,3.8
201303,33.1,0.8
201304,45.3,1.7
201305,56.9,1.7
201306,65.9,2.1
201307,73.3,4.3
201308,67.1,0.8
201309,59.8,1.0
201310,49.8,1.7
201311,36.3,-0.4
201312,25.3,0.2
201401,20.5,-0.5
201402,21.0,-1.2
201403,26.5,-5.8
201404,44.6,1.0
201405,56.4,1.2
201406,65.5,1.7
201407,70.6,1.6
201408,65.9,-0.4
201409,60.4,1.6
201410,51.6,3.5
201411,36.6,-0.1
201412,31.6,6.5
201501,19.0,-2.0
201502,11.6,-10.6
201503,27.5,-4.8
201504,44.1,0.5
201505,61.6,6.4
201506,63.2,-0.6
201507,69.8,0.8
201508,70.0,3.7
201509,65.2,6.4
201510,48.0,-0.1
201511,42.7,6.0
201512,38.5,13.4
201601,26.7,5.7
201602,28.5,6.3
201603,39.3,7.0
201604,44.1,0.5
201605,56.8,1.6
201606,65.6,1.8
201607,71.8,2.8
201608,71.3,5.0
201609,63.1,4.3
201610,50.2,2.1
201611,40.4,3.7
201612,27.6,2.5
201701,29.0,8.0
201702,30.4,8.2
201703,29.2,-3.1
201704,49.0,5.4
201705,54.5,-0.7
201706,65.6,1.8
201707,69.1,0.1
201708,66.8,0.5
201709,64.3,5.5
201710,56.2,8.1
201711,37.9,1.2
201712,23.4,-1.7
201801,22.5,1.5
201802,31.4,9.2
201803,33.7,1.4
201804,41.6,-2.0
201805,60.4,5.2
201806,64.6,0.8
201807,72.8,3.8
201808,72.3,6.0
201809,63.9,5.1
201810,48.0,-0.1
201811,34.5,-2.2
201812,29.3,4.2
201901,23.2,2.2
201902,25.8,3.6
201903,32.0,-0.3
201904,46.8,3.2
201905,54.6,-0.6
201906,64.7,0.9
201907,73.1,4.1
201908,68.5,2.2
201909,60.5,1.7
201910,50.5,2.4
201911,35.0,-1.7
201912,27.6,2.5
202001,29.1,8.1
