Rockingham County, New Hampshire, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,22.3,-0.2
200002,28.1,4.5
200003,39.7,6.3
200004,45.3,1.2
200005,55.6,0.3
200006,65.1,0.8
200007,67.0,-2.7
200008,66.9,-0.4
200009,59.8,0.0
200010,49.5,0.3
200011,39.4,1.3
200012,25.0,-1.6
200101,22.7,0.2
200102,26.1,2.5
200103,31.4,-2.0
200104,45.3,1.2
200105,57.2,1.9
200106,67.7,3.4
200107,67.7,-2.0
200108,71.6,4.3
200109,62.0,2.2
200110,51.3,2.1
200111,42.6,4.5
200112,34.7,8.1
200201,31.0,8.5
200202,30.0,6.4
200203,36.0,2.6
200204,48.0,3.9
200205,54.6,-0.7
200206,63.5,-0.8
200207,71.6,1.9
200208,72.2,4.9
200209,64.8,5.0
200210,47.2,-2.0
200211,37.7,-0.4
200212,27.8,1.2
200301,16.6,-5.9
200302,21.2,-2.4
200303,33.4,0.0
200304,42.1,-2.0
200305,54.2,-1.1
200306,64.5,0.2
200307,71.6,1.9
200308,71.2,3.9
200309,62.2,2.4
200310,48.4,-0.8
200311,41.0,2.9
200312,29.9,3.3
200401,16.6,-5.9
200402,26.7,3.1
200403,36.0,2.6
200404,46.5,2.4
200405,57.5,2.2
200406,63.4,-0.9
200407,68.8,-0.9
200408,69.4,2.1
200409,61.8,2.0
200410,49.6,0.4
200411,40.0,1.9
200412,29.0,2.4
200501,21.5,-1.0
200502,26.0,2.4
200503,30.8,-2.6
200504,47.7,3.6
200505,50.9,-4.4
200506,67.6,3.3
200507,71.4,1.7
200508,71.3,4.0
200509,64.4,4.6
200510,51.4,2.2
200511,40.5,2.4
200512,27.2,0.6
200601,30.9,8.4
200602,27.0,3.4
200603,34.6,1.2
200604,47.8,3.7
200605,55.6,0.3
200606,66.8,2.5
200607,73.6,3.9
200608,67.5,0.2
200609,60.4,0.6
200610,49.6,0.4
200611,44.2,6.1
200612,35.7,9.1
200701,27.4,4.9
200702,20.8,-2.8
200703,33.5,0.1
200704,42.8,-1.3
200705,58.0,2.7
200706,65.2,0.9
200707,69.8,0.1
200708,69.5,2.2
200709,62.6,2.8
200710,54.2,5.0
200711,37.4,-0.7
200712,25.3,-1.3
200801,26.4,3.9
200802,26.6,3.0
200803,32.6,-0.8
200804,46.6,2.5
200805,54.7,-0.6
200806,66.4,2.1
200807,72.0,2.3
200808,66.9,-0.4
200809,61.2,1.4
200810,48.6,-0.6
200811,39.0,0.9
200812,29.0,2.4
200901,17.3,-5.2
200902,26.6,3.0
200903,33.9,0.5
200904,47.8,3.7
200905,57.1,1.8
200906,62.4,-1.9
200907,67.1,-2.6
200908,70.9,3.6
200909,59.0,-0.8
200910,46.9,-2.3
200911,43.9,5.8
200912,28.1,1.5
201001,24.9,2.4
201002,29.4,5.8
201003,40.7,7.3
201004,49.8,5.7
201005,59.9,4.6
201006,67.2,2.9
201007,74.1,4.4
201008,69.6,2.3
201009,64.3,4.5
201010,49.9,0.7
201011,40.2,2.1
201012,28.3,1.7
201101,21.1,-1.4
201102,23.6,0.0
201103,34.2,0.8
201104,46.7,2.6
201105,57.6,2.3
201106,64.5,0.2
201107,72.9,3.2
201108,69.7,2.4
201109,64.0,4.2
201110,51.8,2.6
201111,44.2,6.1
201112,34.4,7.8
201201,28.4,5.9
201202,31.9,8.3
201203,43.7,10.3
201204,48.9,4.8
201205,59.2,3.9
201206,64.6,0.3
201207,72.6,2.9
201208,71.8,4.5
201209,61.4,1.6
201210,52.8,3.6
201211,38.1,0.0
201212,32.7,6.1
201301,25.9,3.4
201302,27.3,3.7
201303,34.7,1.3
201304,46.4,2.3
201305,56.8,1.5
201306,66.8,2.5
201307,73.9,4.2
201308,68.2,0.9
201309,61.1,1.3
201310,50.7,1.5
201311,37.9,-0.2
201312,26.5,-0.1
201401,22.3,-0.2
201402,22.7,-0.9
201403,27.9,-5.5
201404,45.1,1.0
201405,56.6,1.3
201406,65.6,1.3
201407,71.9,2.2
201408,66.9,-0.4
201409,61.5,1.7
201410,52.7,3.5
201411,37.7,-0.4
201412,33.2,6.6
201501,20.1,-2.4
201502,12.8,-10.8
201503,28.8,-4.6
201504,44.4,0.3
201505,61.5,6.2
201506,63.1,-1.2
201507,70.4,0.7
201508,71.0,3.7
201509,66.0,6.2
201510,49.0,-0.2
201511,43.4,5.3
201512,38.9,12.3
201601,27.8,5.3
201602,29.5,5.9
201603,39.3,5.9
201604,44.5,0.4
201605,56.5,1.2
201606,65.7,1.4
201607,72.5,2.8
201608,72.1,4.8
201609,63.8,4.0
201610,50.6,1.4
201611,41.2,3.1
201612,28.9,2.3
201701,30.0,7.5
201702,31.0,7.4
201703,30.0,-3.4
201704,48.9,4.8
201705,54.3,-1.0
201706,65.8,1.5
201707,69.6,-0.1
201708,67.5,0.2
201709,64.9,5.1
201710,56.7,7.5
201711,39.0,0.9
201712,24.4,-2.2
201801,22.8,0.3
201802,31.7,8.1
201803,34.2,0.8
201804,42.1,-2.0
201805,59.8,4.5
201806,64.2,-0.1
201807,72.8,3.1
201808,72.8,5.5
201809,64.1,4.3
201810,48.1,-1.1
201811,35.3,-2.8
201812,30.4,3.8
201901,24.2,1.7
201902,26.3,2.7
201903,32.3,-1.1
201904,47.0,2.9
201905,54.2,-1.1
201906,64.4,0.1
201907,73.5,3.8
201908,69.2,1.9
201909,61.3,1.5
201910,51.3,2.1
201911,35.8,-2.3
201912,28.6,2.0
202001,30.4,7.9
