Middlesex County, New Jersey, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,30.8,0.9
200002,36.0,5.1
200003,45.9,6.3
200004,50.6,0.9
200005,62.3,2.0
200006,70.7,1.6
200007,71.6,-2.6
200008,71.6,-0.5
200009,65.2,-0.2
200010,55.0,0.6
200011,43.9,0.4
200012,30.0,-3.4
200101,30.4,0.5
200102,35.8,4.9
200103,38.6,-1.0
200104,52.0,2.3
200105,62.2,1.9
200106,71.4,2.3
200107,72.1,-2.1
200108,76.3,4.2
200109,65.7,0.3
200110,55.8,1.4
200111,49.6,6.1
200112,42.1,8.7
200201,37.8,7.9
200202,39.2,8.3
200203,43.3,3.7
200204,54.6,4.9
200205,59.2,-1.1
200206,70.6,1.5
200207,77.1,2.9
200208,76.4,4.3
200209,68.4,3.0
200210,54.1,-0.3
200211,43.4,-0.1
200212,33.6,0.2
200301,26.8,-3.1
200302,28.5,-2.4
200303,41.8,2.2
200304,48.5,-1.2
200305,57.5,-2.8
200306,67.7,-1.4
200307,75.3,1.1
200308,76.0,3.9
200309,67.3,1.9
200310,52.8,-1.6
200311,48.6,5.1
200312,36.1,2.7
200401,25.0,-4.9
200402,33.5,2.6
200403,43.0,3.4
200404,52.2,2.5
200405,66.0,5.7
200406,69.8,0.7
200407,73.6,-0.6
200408,73.1,1.0
200409,68.2,2.8
200410,53.6,-0.8
200411,46.8,3.3
200412,36.0,2.6
200501,30.4,0.5
200502,34.8,3.9
200503,37.5,-2.1
200504,53.2,3.5
200505,57.4,-2.9
200506,73.1,4.0
200507,76.7,2.5
200508,77.5,5.4
200509,70.8,5.4
200510,56.4,2.0
200511,48.3,4.8
200512,33.2,-0.2
200601,39.1,9.2
200602,34.9,4.0
200603,42.4,2.8
200604,54.3,4.6
200605,62.0,1.7
200606,70.9,1.8
200607,77.6,3.4
200608,74.6,2.5
200609,64.9,-0.5
200610,53.9,-0.5
200611,50.0,6.5
200612,42.6,9.2
200701,36.9,7.0
200702,27.4,-3.5
200703,41.6,2.0
200704,48.7,-1.0
200705,63.7,3.4
200706,71.2,2.1
200707,74.2,0.0
200708,73.8,1.7
200709,68.5,3.1
200710,62.4,8.0
200711,43.8,0.3
200712,35.9,2.5
200801,35.0,5.1
200802,35.8,4.9
200803,41.9,2.3
200804,53.4,3.7
200805,58.1,-2.2
200806,73.5,4.4
200807,77.1,2.9
200808,71.9,-0.2
200809,68.2,2.8
200810,53.7,-0.7
200811,44.2,0.7
200812,36.9,3.5
200901,27.2,-2.7
200902,35.6,4.7
200903,41.2,1.6
200904,52.7,3.0
200905,61.9,1.6
200906,68.2,-0.9
200907,72.8,-1.4
200908,75.7,3.6
200909,65.5,0.1
200910,53.5,-0.9
200911,50.1,6.6
200912,35.1,1.7
201001,32.0,2.1
201002,32.2,1.3
201003,46.7,7.1
201004,56.0,6.3
201005,64.7,4.4
201006,74.7,5.6
201007,79.5,5.3
201008,75.6,3.5
201009,70.0,4.6
201010,56.7,2.3
201011,45.5,2.0
201012,31.6,-1.8
201101,27.9,-2.0
201102,34.8,3.9
201103,42.3,2.7
201104,54.4,4.7
201105,63.9,3.6
201106,72.2,3.1
201107,79.1,4.9
201108,74.5,2.4
201109,69.6,4.2
201110,56.6,2.2
201111,49.4,5.9
201112,41.0,7.6
201201,35.8,5.9
201202,39.6,8.7
201203,50.2,10.6
201204,53.5,3.8
201205,65.4,5.1
201206,70.5,1.4
201207,78.5,4.3
201208,75.5,3.4
201209,68.0,2.6
201210,57.1,2.7
201211,41.7,-1.8
201212,40.6,7.2
201301,34.8,4.9
201302,33.4,2.5
201303,39.3,-0.3
201304,52.1,2.4
201305,61.1,0.8
201306,71.9,2.8
201307,79.0,4.8
201308,72.3,0.2
201309,65.2,-0.2
201310,57.6,3.2
201311,43.6,0.1
201312,36.3,2.9
201401,26.5,-3.4
201402,29.8,-1.1
201403,35.9,-3.7
201404,51.0,1.3
201405,62.3,2.0
201406,70.9,1.8
201407,74.9,0.7
201408,71.4,-0.7
201409,67.9,2.5
201410,57.6,3.2
201411,42.3,-1.2
201412,39.4,6.0
201501,28.2,-1.7
201502,22.8,-8.1
201503,36.4,-3.2
201504,52.5,2.8
201505,66.7,6.4
201506,70.8,1.7
201507,76.6,2.4
201508,75.9,3.8
201509,72.2,6.8
201510,55.3,0.9
201511,50.4,6.9
201512,48.8,15.4
201601,32.0,2.1
201602,36.7,5.8
201603,48.0,8.4
201604,51.9,2.2
201605,61.2,0.9
201606,71.4,2.3
201607,78.0,3.8
201608,77.4,5.3
201609,70.3,4.9
201610,56.8,2.4
201611,47.2,3.7
201612,37.1,3.7
201701,37.0,7.1
201702,40.6,9.7
201703,39.1,-0.5
201704,56.3,6.6
201705,60.5,0.2
201706,71.2,2.1
201707,76.1,1.9
201708,72.2,0.1
201709,69.1,3.7
201710,61.1,6.7
201711,44.6,1.1
201712,33.7,0.3
201801,29.4,-0.5
201802,39.8,8.9
201803,39.2,-0.4
201804,48.5,-1.2
201805,65.6,5.3
201806,70.6,1.5
201807,76.9,2.7
201808,77.4,5.3
201809,70.4,5.0
201810,56.3,1.9
201811,42.6,-0.9
201812,38.1,4.7
201901,32.4,2.5
201902,35.4,4.5
201903,40.1,0.5
201904,55.4,5.7
201905,62.9,2.6
201906,70.9,1.8
201907,78.8,4.6
201908,74.9,2.8
201909,69.8,4.4
201910,58.6,4.2
201911,42.2,-1.3
201912,36.4,3.0
202001,38.1,8.2
