Union County, New Jersey, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,30.3,0.7
200002,35.3,4.7
200003,45.8,6.5
200004,50.0,0.3
200005,62.2,2.0
200006,70.4,1.3
200007,71.5,-2.7
200008,71.4,-0.8
200009,64.7,-0.7
200010,54.8,0.4
200011,43.6,0.1
200012,29.6,-3.6
200101,30.3,0.7
200102,34.7,4.1
200103,38.3,-1.0
200104,51.9,2.2
200105,62.1,1.9
200106,71.3,2.2
200107,72.2,-2.0
200108,76.5,4.3
200109,65.7,0.3
200110,55.7,1.3
200111,49.6,6.1
200112,42.0,8.8
200201,37.6,8.0
200202,38.9,8.3
200203,42.9,3.6
200204,54.2,4.5
200205,59.0,-1.2
200206,70.5,1.4
200207,77.3,3.1
200208,76.6,4.4
200209,68.5,3.1
200210,53.7,-0.7
200211,43.4,-0.1
200212,33.6,0.4
200301,26.3,-3.3
200302,28.1,-2.5
200303,41.3,2.0
200304,48.3,-1.4
200305,57.6,-2.6
200306,67.7,-1.4
200307,75.2,1.0
200308,75.8,3.6
200309,66.9,1.5
200310,52.9,-1.5
200311,48.4,4.9
200312,35.6,2.4
200401,24.4,-5.2
200402,33.0,2.4
200403,42.7,3.4
200404,52.3,2.6
200405,65.4,5.2
200406,69.9,0.8
200407,73.4,-0.8
200408,73.0,0.8
200409,68.2,2.8
200410,53.7,-0.7
200411,46.7,3.2
200412,36.0,2.8
200501,29.7,0.1
200502,34.4,3.8
200503,37.0,-2.3
200504,53.1,3.4
200505,57.4,-2.8
200506,73.1,4.0
200507,76.8,2.6
200508,78.0,5.8
200509,71.1,5.7
200510,56.1,1.7
200511,47.6,4.1
200512,32.6,-0.6
200601,38.5,8.9
200602,34.2,3.6
200603,41.5,2.2
200604,54.0,4.3
200605,62.0,1.8
200606,70.8,1.7
200607,77.6,3.4
200608,74.7,2.5
200609,64.8,-0.6
200610,53.8,-0.6
200611,49.9,6.4
200612,42.2,9.0
200701,36.2,6.6
200702,26.8,-3.8
200703,40.6,1.3
200704,48.6,-1.1
200705,63.5,3.3
200706,71.3,2.2
200707,74.3,0.1
200708,73.4,1.2
200709,68.4,3.0
200710,62.1,7.7
200711,43.1,-0.4
200712,35.3,2.1
200801,34.3,4.7
200802,34.4,3.8
200803,41.0,1.7
200804,53.2,3.5
200805,58.1,-2.1
200806,73.4,4.3
200807,77.2,3.0
200808,72.1,-0.1
200809,68.1,2.7
200810,53.6,-0.8
200811,43.9,0.4
200812,36.2,3.0
200901,26.4,-3.2
200902,35.0,4.4
200903,40.8,1.5
200904,52.8,3.1
200905,61.9,1.7
200906,68.0,-1.1
200907,72.9,-1.3
200908,75.8,3.6
200909,65.6,0.2
200910,53.4,-1.0
200911,49.9,6.4
200912,34.3,1.1
201001,31.4,1.8
201002,32.2,1.6
201003,46.6,7.3
201004,56.0,6.3
201005,64.9,4.7
201006,74.5,5.4
201007,79.8,5.6
201008,75.4,3.2
201009,69.6,4.2
201010,56.6,2.2
201011,45.6,2.1
201012,31.4,-1.8
201101,27.7,-1.9
201102,34.2,3.6
201103,41.8,2.5
201104,53.9,4.2
201105,64.0,3.8
201106,72.2,3.1
201107,79.3,5.1
201108,74.6,2.4
201109,69.2,3.8
201110,56.1,1.7
201111,49.2,5.7
201112,40.9,7.7
201201,35.9,6.3
201202,39.6,9.0
201203,50.4,11.1
201204,53.7,4.0
201205,65.3,5.1
201206,71.0,1.9
201207,79.0,4.8
201208,75.9,3.7
201209,68.1,2.7
201210,57.3,2.9
201211,42.2,-1.3
201212,40.2,7.0
201301,34.8,5.2
201302,33.0,2.4
201303,39.4,0.1
201304,52.0,2.3
201305,61.4,1.2
201306,72.1,3.0
201307,79.1,4.9
201308,72.8,0.6
201309,65.6,0.2
201310,57.9,3.5
201311,43.4,-0.1
201312,36.0,2.8
201401,26.4,-3.2
201402,29.1,-1.5
201403,35.8,-3.5
201404,50.9,1.2
201405,62.5,2.3
201406,70.8,1.7
201407,75.2,1.0
201408,72.2,0.0
201409,67.9,2.5
201410,57.8,3.4
201411,42.7,-0.8
201412,39.3,6.1
201501,27.7,-1.9
201502,22.1,-8.5
201503,36.0,-3.3
201504,52.1,2.4
201505,66.9,6.7
201506,70.5,1.4
201507,76.9,2.7
201508,76.4,4.2
201509,72.2,6.8
201510,55.4,1.0
201511,50.3,6.8
201512,48.3,15.1
201601,32.3,2.7
201602,36.5,5.9
201603,47.9,8.6
201604,52.1,2.4
201605,61.4,1.2
201606,71.6,2.5
201607,78.2,4.0
201608,78.0,5.8
201609,70.6,5.2
201610,57.4,3.0
201611,47.8,4.3
201612,36.9,3.7
201701,37.2,7.6
201702,40.3,9.7
201703,38.7,-0.6
201704,56.6,6.9
201705,60.4,0.2
201706,71.5,2.4
201707,76.2,2.0
201708,72.6,0.4
201709,69.6,4.2
201710,61.8,7.4
201711,44.6,1.1
201712,33.8,0.6
201801,29.8,0.2
201802,39.9,9.3
201803,39.1,-0.2
201804,48.2,-1.5
201805,65.7,5.5
201806,70.7,1.6
201807,77.3,3.1
201808,77.2,5.0
201809,69.7,4.3
201810,55.6,1.2
201811,42.2,-1.3
201812,37.9,4.7
201901,31.6,2.0
201902,35.3,4.7
201903,39.8,0.5
201904,54.9,5.2
201905,62.4,2.2
201906,71.1,2.0
201907,79.2,5.0
201908,75.0,2.8
201909,69.4,4.0
201910,58.6,4.2
201911,42.1,-1.4
201912,36.0,2.8
202001,37.6,8.0
