Onondaga County, New York, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,19.8,-1.5
200002,27.5,5.6
200003,38.9,7.5
200004,43.0,-0.6
200005,57.5,2.3
200006,64.1,-0.4
200007,65.7,-3.8
200008,66.5,-1.1
200009,59.4,-0.9
200010,50.0,0.7
200011,37.3,-0.4
200012,20.4,-5.9
200101,24.0,2.7
200102,25.6,3.7
200103,28.4,-3.0
200104,45.7,2.1
200105,58.0,2.8
200106,65.5,1.0
200107,67.2,-2.3
200108,71.6,4.0
200109,60.4,0.1
200110,51.3,2.0
200111,45.2,7.5
200112,34.9,8.6
200201,30.8,9.5
200202,30.4,8.5
200203,33.9,2.5
200204,46.4,2.8
200205,51.9,-3.3
200206,65.7,1.2
200207,71.2,1.7
200208,70.4,2.8
200209,64.6,4.3
200210,47.9,-1.4
200211,37.8,0.1
200212,26.5,0.2
200301,16.4,-4.9
200302,19.7,-2.2
200303,32.5,1.1
200304,41.8,-1.8
200305,54.6,-0.6
200306,63.1,-1.4
200307,69.0,-0.5
200308,69.8,2.2
200309,61.4,1.1
200310,47.1,-2.2
200311,41.1,3.4
200312,28.6,2.3
200401,13.8,-7.5
200402,22.6,0.7
200403,35.5,4.1
200404,43.9,0.3
200405,59.2,4.0
200406,62.2,-2.3
200407,68.0,-1.5
200408,66.7,-0.9
200409,63.2,2.9
200410,49.5,0.2
200411,39.8,2.1
200412,27.5,1.2
200501,19.6,-1.7
200502,25.2,3.3
200503,28.9,-2.5
200504,46.6,3.0
200505,52.1,-3.1
200506,70.6,6.1
200507,72.6,3.1
200508,71.7,4.1
200509,63.8,3.5
200510,50.3,1.0
200511,42.5,4.8
200512,24.9,-1.4
200601,31.4,10.1
200602,26.0,4.1
200603,31.6,0.2
200604,46.0,2.4
200605,56.4,1.2
200606,65.2,0.7
200607,71.8,2.3
200608,67.5,-0.1
200609,58.9,-1.4
200610,47.2,-2.1
200611,43.2,5.5
200612,35.6,9.3
200701,26.2,4.9
200702,16.8,-5.1
200703,30.1,-1.3
200704,41.4,-2.2
200705,56.8,1.6
200706,66.5,2.0
200707,67.6,-1.9
200708,68.8,1.2
200709,63.4,3.1
200710,56.1,6.8
200711,36.8,-0.9
200712,26.9,0.6
200801,27.9,6.6
200802,24.8,2.9
200803,29.4,-2.0
200804,49.8,6.2
200805,52.0,-3.2
200806,67.9,3.4
200807,69.4,-0.1
200808,65.5,-2.1
200809,61.1,0.8
200810,47.0,-2.3
200811,37.2,-0.5
200812,27.6,1.3
200901,16.7,-4.6
200902,25.6,3.7
200903,33.6,2.2
200904,46.6,3.0
200905,55.9,0.7
200906,62.5,-2.0
200907,66.1,-3.4
200908,68.9,1.3
200909,59.8,-0.5
200910,47.4,-1.9
200911,42.3,4.6
200912,26.8,0.5
201001,22.1,0.8
201002,24.5,2.6
201003,38.6,7.2
201004,49.9,6.3
201005,59.5,4.3
201006,65.8,1.3
201007,72.4,2.9
201008,69.3,1.7
201009,61.2,0.9
201010,49.7,0.4
201011,39.0,1.3
201012,24.0,-2.3
201101,20.0,-1.3
201102,22.4,0.5
201103,31.4,0.0
201104,45.4,1.8
201105,58.9,3.7
201106,65.6,1.1
201107,72.4,2.9
201108,68.5,0.9
201109,63.3,3.0
201110,50.2,0.9
201111,44.6,6.9
201112,33.0,6.7
201201,28.4,7.1
201202,31.0,9.1
201203,44.8,13.4
201204,43.5,-0.1
201205,62.0,6.8
201206,66.2,1.7
201207,73.1,3.6
201208,70.0,2.4
201209,61.2,0.9
201210,52.0,2.7
201211,37.4,-0.3
201212,33.3,7.0
201301,25.8,4.5
201302,24.0,2.1
201303,31.5,0.1
201304,44.3,0.7
201305,58.6,3.4
201306,64.7,0.2
201307,72.1,2.6
201308,67.2,-0.4
201309,59.3,-1.0
201310,52.0,2.7
201311,35.8,-1.9
201312,26.4,0.1
201401,17.8,-3.5
201402,19.6,-2.3
201403,24.4,-7.0
201404,44.2,0.6
201405,58.0,2.8
201406,66.2,1.7
201407,68.6,-0.9
201408,66.5,-1.1
201409,61.2,0.9
201410,52.8,3.5
201411,36.9,-0.8
201412,31.0,4.7
201501,16.7,-4.6
201502,9.7,-12.2
201503,25.2,-6.2
201504,44.0,0.4
201505,62.2,7.0
201506,63.8,-0.7
201507,68.6,-0.9
201508,68.4,0.8
201509,66.2,5.9
201510,48.5,-0.8
201511,44.2,6.5
201512,39.9,13.6
201601,24.7,3.4
201602,27.1,5.2
201603,38.1,6.7
201604,40.9,-2.7
201605,56.4,1.2
201606,64.7,0.2
201607,71.4,1.9
201608,72.4,4.8
201609,63.6,3.3
201610,51.0,1.7
201611,40.9,3.2
201612,28.3,2.0
201701,28.5,7.2
201702,32.2,10.3
201703,28.8,-2.6
201704,49.4,5.8
201705,54.4,-0.8
201706,64.4,-0.1
201707,68.9,-0.6
201708,66.5,-1.1
201709,63.0,2.7
201710,55.8,6.5
201711,36.9,-0.8
201712,23.6,-2.7
201801,20.0,-1.3
201802,30.8,8.9
201803,29.8,-1.6
201804,37.9,-5.7
201805,61.1,5.9
201806,64.2,-0.3
201807,72.0,2.5
201808,71.1,3.5
201809,64.3,4.0
201810,48.6,-0.7
201811,33.8,-3.9
201812,29.7,3.4
201901,20.2,-1.1
201902,25.4,3.5
201903,30.6,-0.8
201904,45.3,1.7
201905,54.7,-0.5
201906,63.5,-1.0
201907,71.8,2.3
201908,67.2,-0.4
201909,61.5,1.2
201910,51.2,1.9
201911,34.2,-3.5
201912,28.3,2.0
202001,29.0,7.7
