Schuyler County, New York, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,20.1,-1.6
200002,28.0,5.5
200003,39.1,7.1
200004,43.1,-0.6
200005,57.6,2.6
200006,64.0,0.1
200007,64.8,-3.8
200008,65.6,-1.1
200009,59.3,-0.5
200010,49.7,0.8
200011,36.7,-0.5
200012,20.4,-5.8
200101,24.7,3.0
200102,27.0,4.5
200103,28.5,-3.5
200104,45.3,1.6
200105,57.0,2.0
200106,64.7,0.8
200107,66.1,-2.5
200108,70.3,3.6
200109,59.5,-0.3
200110,50.5,1.6
200111,44.0,6.8
200112,34.2,8.0
200201,30.3,8.6
200202,31.3,8.8
200203,34.3,2.3
200204,46.2,2.5
200205,51.6,-3.4
200206,65.0,1.1
200207,70.2,1.6
200208,69.8,3.1
200209,64.2,4.4
200210,47.1,-1.8
200211,37.0,-0.2
200212,25.3,-0.9
200301,16.6,-5.1
200302,20.2,-2.3
200303,32.7,0.7
200304,42.3,-1.4
200305,53.9,-1.1
200306,62.3,-1.6
200307,68.0,-0.6
200308,69.2,2.5
200309,60.3,0.5
200310,46.6,-2.3
200311,41.8,4.6
200312,28.5,2.3
200401,15.2,-6.5
200402,22.3,-0.2
200403,35.8,3.8
200404,44.1,0.4
200405,60.0,5.0
200406,62.0,-1.9
200407,67.0,-1.6
200408,66.2,-0.5
200409,62.9,3.1
200410,49.0,0.1
200411,39.8,2.6
200412,27.6,1.4
200501,20.4,-1.3
200502,25.3,2.8
200503,28.6,-3.4
200504,45.4,1.7
200505,50.4,-4.6
200506,68.9,5.0
200507,71.4,2.8
200508,70.7,4.0
200509,63.2,3.4
200510,49.7,0.8
200511,41.6,4.4
200512,24.1,-2.1
200601,31.6,9.9
200602,27.2,4.7
200603,32.1,0.1
200604,45.1,1.4
200605,55.0,0.0
200606,64.4,0.5
200607,70.8,2.2
200608,66.8,0.1
200609,58.6,-1.2
200610,46.7,-2.2
200611,42.1,4.9
200612,35.2,9.0
200701,27.4,5.7
200702,17.0,-5.5
200703,31.4,-0.6
200704,41.3,-2.4
200705,56.2,1.2
200706,66.1,2.2
200707,66.5,-2.1
200708,68.4,1.7
200709,62.6,2.8
200710,55.6,6.7
200711,37.0,-0.2
200712,27.3,1.1
200801,27.4,5.7
200802,24.7,2.2
200803,30.1,-1.9
200804,48.7,5.0
200805,52.2,-2.8
200806,67.6,3.7
200807,69.0,0.4
200808,64.5,-2.2
200809,61.0,1.2
200810,46.8,-2.1
200811,36.8,-0.4
200812,27.1,0.9
200901,15.7,-6.0
200902,26.3,3.8
200903,33.8,1.8
200904,46.4,2.7
200905,55.7,0.7
200906,62.0,-1.9
200907,64.6,-4.0
200908,67.9,1.2
200909,58.9,-0.9
200910,46.4,-2.5
200911,41.1,3.9
200912,26.1,-0.1
201001,22.5,0.8
201002,24.8,2.3
201003,37.9,5.9
201004,49.4,5.7
201005,58.9,3.9
201006,65.8,1.9
201007,71.0,2.4
201008,68.5,1.8
201009,60.9,1.1
201010,48.8,-0.1
201011,38.1,0.9
201012,23.8,-2.4
201101,19.7,-2.0
201102,22.2,-0.3
201103,31.2,-0.8
201104,45.4,1.7
201105,58.4,3.4
201106,65.8,1.9
201107,72.0,3.4
201108,67.3,0.6
201109,62.7,2.9
201110,49.5,0.6
201111,43.3,6.1
201112,32.6,6.4
201201,27.0,5.3
201202,31.4,8.9
201203,45.1,13.1
201204,43.4,-0.3
201205,61.4,6.4
201206,64.9,1.0
201207,71.7,3.1
201208,68.4,1.7
201209,60.1,0.3
201210,50.8,1.9
201211,35.9,-1.3
201212,33.0,6.8
201301,26.4,4.7
201302,24.7,2.2
201303,30.9,-1.1
201304,44.0,0.3
201305,58.2,3.2
201306,64.6,0.7
201307,70.8,2.2
201308,65.9,-0.8
201309,58.9,-0.9
201310,51.9,3.0
201311,34.9,-2.3
201312,27.3,1.1
201401,17.0,-4.7
201402,18.7,-3.8
201403,25.7,-6.3
201404,43.7,0.0
201405,57.3,2.3
201406,65.6,1.7
201407,67.2,-1.4
201408,64.8,-1.9
201409,60.4,0.6
201410,51.4,2.5
201411,35.2,-2.0
201412,31.1,4.9
201501,17.4,-4.3
201502,10.6,-11.9
201503,26.4,-5.6
201504,43.7,0.0
201505,61.7,6.7
201506,63.6,-0.3
201507,67.5,-1.1
201508,66.8,0.1
201509,65.3,5.5
201510,48.4,-0.5
201511,43.3,6.1
201512,39.7,13.5
201601,24.5,2.8
201602,27.7,5.2
201603,39.3,7.3
201604,40.9,-2.8
201605,55.7,0.7
201606,64.5,0.6
201607,71.0,2.4
201608,71.8,5.1
201609,63.9,4.1
201610,51.1,2.2
201611,41.5,4.3
201612,28.4,2.2
201701,29.2,7.5
201702,33.4,10.9
201703,30.3,-1.7
201704,49.9,6.2
201705,54.8,-0.2
201706,64.9,1.0
201707,68.8,0.2
201708,65.8,-0.9
201709,62.4,2.6
201710,55.0,6.1
201711,37.2,0.0
201712,24.9,-1.3
201801,19.6,-2.1
201802,30.7,8.2
201803,30.1,-1.9
201804,38.8,-4.9
201805,61.5,6.5
201806,64.2,0.3
201807,70.8,2.2
201808,70.4,3.7
201809,64.7,4.9
201810,49.1,0.2
201811,34.2,-3.0
201812,31.0,4.8
201901,21.4,-0.3
201902,26.5,4.0
201903,30.7,-1.3
201904,45.4,1.7
201905,55.8,0.8
201906,63.3,-0.6
201907,71.2,2.6
201908,67.0,0.3
201909,61.7,1.9
201910,50.9,2.0
201911,34.3,-2.9
201912,28.2,2.0
202001,29.2,7.5
