Sullivan County, New York, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,22.0,0.2
200002,26.8,4.0
200003,39.8,7.5
200004,44.3,0.5
200005,56.1,1.3
200006,63.7,0.5
200007,64.6,-3.3
200008,64.6,-1.2
200009,58.3,-0.5
200010,48.5,0.2
200011,37.1,0.0
200012,21.5,-4.3
200101,23.3,1.5
200102,26.1,3.3
200103,30.0,-2.3
200104,45.5,1.7
200105,56.6,1.8
200106,64.6,1.4
200107,65.4,-2.5
200108,69.5,3.7
200109,59.1,0.3
200110,50.0,1.7
200111,42.6,5.5
200112,33.9,8.1
200201,30.1,8.3
200202,31.6,8.8
200203,35.4,3.1
200204,47.1,3.3
200205,51.8,-3.0
200206,64.7,1.5
200207,70.1,2.2
200208,69.6,3.8
200209,62.1,3.3
200210,46.2,-2.1
200211,37.0,-0.1
200212,26.1,0.3
200301,17.3,-4.5
200302,21.1,-1.7
200303,33.4,1.1
200304,42.5,-1.3
200305,53.2,-1.6
200306,62.0,-1.2
200307,67.9,0.0
200308,69.2,3.4
200309,60.1,1.3
200310,46.2,-2.1
200311,41.6,4.5
200312,29.0,3.2
200401,15.6,-6.2
200402,24.8,2.0
200403,36.1,3.8
200404,45.9,2.1
200405,60.1,5.3
200406,62.2,-1.0
200407,66.7,-1.2
200408,66.5,0.7
200409,62.0,3.2
200410,48.2,-0.1
200411,40.2,3.1
200412,27.2,1.4
200501,20.9,-0.9
200502,26.8,4.0
200503,28.8,-3.5
200504,47.1,3.3
200505,51.5,-3.3
200506,68.7,5.5
200507,70.7,2.8
200508,70.2,4.4
200509,63.5,4.7
200510,50.1,1.8
200511,41.0,3.9
200512,24.6,-1.2
200601,30.7,8.9
200602,26.6,3.8
200603,33.9,1.6
200604,46.8,3.0
200605,55.4,0.6
200606,63.8,0.6
200607,71.0,3.1
200608,67.4,1.6
200609,57.7,-1.1
200610,47.2,-1.1
200611,43.9,6.8
200612,35.7,9.9
200701,28.3,6.5
200702,18.6,-4.2
200703,32.0,-0.3
200704,42.1,-1.7
200705,57.5,2.7
200706,65.2,2.0
200707,67.0,-0.9
200708,67.3,1.5
200709,62.1,3.3
200710,55.9,7.6
200711,36.7,-0.4
200712,27.6,1.8
200801,26.2,4.4
200802,25.7,2.9
200803,32.4,0.1
200804,48.3,4.5
200805,51.3,-3.5
200806,66.4,3.2
200807,70.2,2.3
200808,64.6,-1.2
200809,61.3,2.5
200810,46.8,-1.5
200811,36.7,-0.4
200812,28.1,2.3
200901,16.8,-5.0
200902,26.6,3.8
200903,34.7,2.4
200904,46.8,3.0
200905,55.4,0.6
200906,63.1,-0.1
200907,64.9,-3.0
200908,68.5,2.7
200909,58.5,-0.3
200910,46.6,-1.7
200911,43.5,6.4
200912,26.7,0.9
201001,23.7,1.9
201002,25.8,3.0
201003,40.4,8.1
201004,49.7,5.9
201005,58.5,3.7
201006,66.3,3.1
201007,71.5,3.6
201008,67.7,1.9
201009,61.5,2.7
201010,49.2,0.9
201011,39.3,2.2
201012,24.0,-1.8
201101,20.5,-1.3
201102,24.8,2.0
201103,33.5,1.2
201104,46.4,2.6
201105,58.6,3.8
201106,64.9,1.7
201107,71.1,3.2
201108,67.0,1.2
201109,63.0,4.2
201110,50.5,2.2
201111,43.0,5.9
201112,32.9,7.1
201201,27.4,5.6
201202,31.9,9.1
201203,44.6,12.3
201204,45.3,1.5
201205,60.7,5.9
201206,63.8,0.6
201207,71.6,3.7
201208,68.4,2.6
201209,60.3,1.5
201210,50.9,2.6
201211,36.6,-0.5
201212,32.9,7.1
201301,25.7,3.9
201302,25.1,2.3
201303,31.8,-0.5
201304,45.1,1.3
201305,55.5,0.7
201306,65.0,1.8
201307,72.3,4.4
201308,65.2,-0.6
201309,58.5,-0.3
201310,51.5,3.2
201311,36.0,-1.1
201312,27.7,1.9
201401,17.9,-3.9
201402,20.1,-2.7
201403,25.7,-6.6
201404,44.6,0.8
201405,56.7,1.9
201406,64.2,1.0
201407,67.9,0.0
201408,64.5,-1.3
201409,60.4,1.6
201410,51.5,3.2
201411,35.3,-1.8
201412,31.3,5.5
201501,18.7,-3.1
201502,12.0,-10.8
201503,26.5,-5.8
201504,43.9,0.1
201505,61.1,6.3
201506,63.4,0.2
201507,68.1,0.2
201508,67.6,1.8
201509,64.8,6.0
201510,48.4,0.1
201511,43.1,6.0
201512,40.2,14.4
201601,24.8,3.0
201602,28.4,5.6
201603,40.2,7.9
201604,43.9,0.1
201605,55.1,0.3
201606,64.2,1.0
201607,70.2,2.3
201608,70.1,4.3
201609,63.1,4.3
201610,50.0,1.7
201611,40.5,3.4
201612,28.2,2.4
201701,29.1,7.3
201702,31.7,8.9
201703,30.0,-2.3
201704,50.2,6.4
201705,53.9,-0.9
201706,63.9,0.7
201707,69.0,1.1
201708,65.3,-0.5
201709,62.7,3.9
201710,54.8,6.5
201711,37.4,0.3
201712,25.2,-0.6
201801,20.8,-1.0
201802,30.5,7.7
201803,31.4,-0.9
201804,39.4,-4.4
201805,59.3,4.5
201806,63.6,0.4
201807,70.8,2.9
201808,71.1,5.3
201809,63.7,4.9
201810,49.1,0.8
201811,34.9,-2.2
201812,30.0,4.2
201901,22.7,0.9
201902,26.8,4.0
201903,31.2,-1.1
201904,47.6,3.8
201905,55.9,1.1
201906,63.8,0.6
201907,71.4,3.5
201908,66.6,0.8
201909,61.5,2.7
201910,51.0,2.7
201911,34.3,-2.8
201912,27.9,2.1
202001,29.6,7.8
