Tulsa County, Oklahoma, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,39.4,3.5
200002,46.9,6.1
200003,52.4,3.0
200004,59.3,-0.8
200005,70.2,1.8
200006,73.4,-3.7
200007,80.3,-1.8
200008,84.7,3.5
200009,74.9,1.4
200010,64.2,2.1
200011,43.0,-5.8
200012,28.4,-10.6
200101,34.3,-1.6
200102,40.6,-0.2
200103,46.3,-3.1
200104,64.8,4.7
200105,69.2,0.8
200106,76.5,-0.6
200107,85.3,3.2
200108,83.8,2.6
200109,71.0,-2.5
200110,59.9,-2.2
200111,54.2,5.4
200112,42.3,3.3
200201,38.9,3.0
200202,41.0,0.2
200203,47.0,-2.4
200204,61.9,1.8
200205,66.2,-2.2
200206,76.9,-0.2
200207,81.1,-1.0
200208,81.2,0.0
200209,75.0,1.5
200210,57.1,-5.0
200211,47.2,-1.6
200212,41.4,2.4
200301,35.7,-0.2
200302,37.3,-3.5
200303,49.0,-0.4
200304,61.1,1.0
200305,68.6,0.2
200306,73.5,-3.6
200307,83.6,1.5
200308,82.6,1.4
200309,68.4,-5.1
200310,61.9,-0.2
200311,50.9,2.1
200312,42.5,3.5
200401,37.6,1.7
200402,38.9,-1.9
200403,54.3,4.9
200404,59.9,-0.2
200405,70.8,2.4
200406,74.1,-3.0
200407,77.9,-4.2
200408,75.7,-5.5
200409,73.9,0.4
200410,64.0,1.9
200411,51.1,2.3
200412,41.3,2.3
200501,38.7,2.8
200502,45.1,4.3
200503,49.8,0.4
200504,60.2,0.1
200505,67.7,-0.7
200506,77.8,0.7
200507,80.9,-1.2
200508,81.6,0.4
200509,76.3,2.8
200510,61.8,-0.3
200511,53.4,4.6
200512,37.3,-1.7
200601,46.6,10.7
200602,40.6,-0.2
200603,53.2,3.8
200604,66.1,6.0
200605,70.3,1.9
200606,76.9,-0.2
200607,83.2,1.1
200608,85.0,3.8
200609,70.0,-3.5
200610,60.0,-2.1
200611,51.3,2.5
200612,41.9,2.9
200701,35.2,-0.7
200702,39.1,-1.7
200703,59.3,9.9
200704,56.7,-3.4
200705,69.6,1.2
200706,75.6,-1.5
200707,79.6,-2.5
200708,83.6,2.4
200709,74.0,0.5
200710,63.9,1.8
200711,51.6,2.8
200712,38.0,-1.0
200801,37.1,1.2
200802,39.7,-1.1
200803,50.3,0.9
200804,57.9,-2.2
200805,68.8,0.4
200806,77.1,0.0
200807,81.7,-0.4
200808,79.5,-1.7
200809,70.5,-3.0
200810,60.1,-2.0
200811,49.8,1.0
200812,38.3,-0.7
200901,35.8,-0.1
200902,46.0,5.2
200903,52.2,2.8
200904,58.1,-2.0
200905,66.2,-2.2
200906,79.7,2.6
200907,79.4,-2.7
200908,78.3,-2.9
200909,70.1,-3.4
200910,54.8,-7.3
200911,54.5,5.7
200912,34.2,-4.8
201001,33.0,-2.9
201002,35.5,-5.3
201003,49.5,0.1
201004,62.7,2.6
201005,68.7,0.3
201006,80.6,3.5
201007,82.8,0.7
201008,84.1,2.9
201009,74.3,0.8
201010,62.0,-0.1
201011,51.4,2.6
201012,38.1,-0.9
201101,33.6,-2.3
201102,38.9,-1.9
201103,51.7,2.3
201104,61.9,1.8
201105,67.7,-0.7
201106,82.6,5.5
201107,89.2,7.1
201108,86.6,5.4
201109,69.9,-3.6
201110,61.8,-0.3
201111,50.4,1.6
201112,40.9,1.9
201201,42.8,6.9
201202,44.5,3.7
201203,60.3,10.9
201204,64.6,4.5
201205,73.1,4.7
201206,78.9,1.8
