Deschutes County, Oregon, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,28.7,1.2
200002,33.4,2.0
200003,34.8,-0.3
200004,44.1,3.5
200005,47.1,0.0
200006,56.6,2.7
200007,60.8,-0.7
200008,62.1,1.7
200009,54.0,0.2
200010,43.6,-1.4
200011,30.5,-4.6
200012,30.8,1.5
200101,29.7,2.2
200102,29.8,-1.6
200103,37.9,2.8
200104,37.8,-2.8
200105,52.2,5.1
200106,52.4,-1.5
200107,60.9,-0.6
200108,64.5,4.1
200109,57.6,3.8
200110,46.1,1.1
200111,36.6,1.5
200112,28.0,-1.3
200201,28.5,1.0
200202,33.0,1.6
200203,33.7,-1.4
200204,41.9,1.3
200205,46.5,-0.6
200206,56.9,3.0
200207,65.8,4.3
200208,59.6,-0.8
200209,55.2,1.4
200210,42.6,-2.4
200211,37.8,2.7
200212,32.2,2.9
200301,36.2,8.7
200302,31.6,0.2
200303,38.3,3.2
200304,37.7,-2.9
200305,47.4,0.3
200306,57.9,4.0
200307,67.2,5.7
200308,63.2,2.8
200309,58.1,4.3
200310,48.1,3.1
200311,31.2,-3.9
200312,30.6,1.3
200401,29.7,2.2
200402,31.6,0.2
200403,41.0,5.9
200404,43.4,2.8
200405,47.0,-0.1
200406,55.8,1.9
200407,64.3,2.8
200408,63.5,3.1
200409,52.4,-1.4
200410,44.8,-0.2
200411,35.5,0.4
200412,32.9,3.6
200501,30.9,3.4
200502,33.0,1.6
200503,39.1,4.0
200504,40.1,-0.5
200505,48.4,1.3
200506,51.0,-2.9
200507,64.3,2.8
200508,63.3,2.9
200509,52.5,-1.3
200510,45.6,0.6
200511,33.7,-1.4
200512,27.7,-1.6
200601,31.7,4.2
200602,29.8,-1.6
200603,31.9,-3.2
200604,40.6,0.0
200605,49.5,2.4
200606,57.1,3.2
200607,66.0,4.5
200608,60.7,0.3
200609,55.6,1.8
200610,44.1,-0.9
200611,35.0,-0.1
200612,30.4,1.1
200701,27.4,-0.1
200702,33.3,1.9
200703,40.6,5.5
200704,40.8,0.2
200705,49.7,2.6
200706,54.7,0.8
200707,66.5,5.0
200708,60.9,0.5
200709,52.8,-1.0
200710,42.6,-2.4
200711,36.5,1.4
200712,27.4,-1.9
200801,25.5,-2.0
200802,33.1,1.7
200803,33.0,-2.1
200804,36.3,-4.3
200805,47.7,0.6
200806,53.0,-0.9
200807,63.0,1.5
200808,61.6,1.2
200809,55.8,2.0
200810,45.8,0.8
200811,39.7,4.6
200812,26.9,-2.4
200901,31.7,4.2
200902,32.2,0.8
200903,32.4,-2.7
200904,39.1,-1.5
200905,49.3,2.2
200906,54.9,1.0
200907,65.1,3.6
200908,62.1,1.7
200909,58.0,4.2
200910,41.3,-3.7
200911,35.2,0.1
200912,25.3,-4.0
201001,34.2,6.7
201002,34.2,2.8
201003,35.9,0.8
201004,37.6,-3.0
201005,43.0,-4.1
201006,51.6,-2.3
201007,62.5,1.0
201008,60.0,-0.4
201009,54.6,0.8
201010,46.3,1.3
201011,33.9,-1.2
201012,29.7,0.4
201101,32.2,4.7
201102,29.3,-2.1
201103,34.7,-0.4
201104,35.4,-5.2
201105,42.7,-4.4
201106,51.4,-2.5
201107,58.6,-2.9
201108,62.8,2.4
201109,59.6,5.8
201110,45.9,0.9
201111,34.1,-1.0
201112,30.8,1.5
201201,31.8,4.3
201202,31.1,-0.3
201203,34.2,-0.9
201204,41.8,1.2
201205,47.1,0.0
201206,51.4,-2.5
201207,62.4,0.9
201208,64.3,3.9
201209,58.5,4.7
201210,45.4,0.4
201211,37.4,2.3
201212,28.1,-1.2
201301,27.8,0.3
201302,32.2,0.8
201303,37.2,2.1
201304,40.5,-0.1
201305,48.6,1.5
201306,55.3,1.4
201307,66.3,4.8
201308,62.7,2.3
201309,54.6,0.8
201310,42.5,-2.5
201311,36.1,1.0
201312,28.1,-1.2
201401,34.6,7.1
201402,30.5,-0.9
201403,38.0,2.9
201404,41.8,1.2
201405,49.3,2.2
201406,53.9,0.0
201407,67.1,5.6
201408,62.8,2.4
201409,56.9,3.1
201410,49.4,4.4
201411,34.0,-1.1
201412,32.5,3.2
201501,36.4,8.9
201502,38.3,6.9
201503,42.4,7.3
201504,40.6,0.0
201505,49.5,2.4
201506,62.2,8.3
201507,64.0,2.5
201508,63.7,3.3
201509,53.8,0.0
201510,50.8,5.8
201511,32.4,-2.7
201512,29.2,-0.1
201601,29.8,2.3
201602,37.4,6.0
201603,36.8,1.7
201604,46.6,6.0
201605,49.7,2.6
201606,56.4,2.5
201607,60.6,-0.9
201608,63.0,2.6
201609,53.1,-0.7
201610,43.7,-1.3
201611,40.0,4.9
201612,23.6,-5.7
201701,22.6,-4.9
201702,31.0,-0.4
201703,38.0,2.9
201704,38.6,-2.0
201705,49.6,2.5
201706,56.3,2.4
201707,66.1,4.6
201708,66.3,5.9
201709,55.9,2.1
201710,42.9,-2.1
201711,35.7,0.6
201712,29.5,0.2
201801,34.5,7.0
201802,30.1,-1.3
201803,34.6,-0.5
201804,41.2,0.6
201805,52.3,5.2
201806,55.3,1.4
201807,65.5,4.0
201808,63.2,2.8
201809,53.3,-0.5
201810,45.6,0.6
201811,36.1,1.0
201812,29.3,0.0
201901,33.1,5.6
201902,25.6,-5.8
201903,32.4,-2.7
201904,42.6,2.0
201905,49.2,2.1
201906,55.5,1.6
201907,61.0,-0.5
201908,64.0,3.6
201909,53.0,-0.8
201910,40.2,-4.8
201911,38.1,3.0
201912,31.7,2.4
202001,32.4,4.9
