Beaver County, Pennsylvania, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,28.0,0.6
200002,35.2,6.2
200003,44.6,6.5
200004,49.9,1.2
200005,61.7,2.3
200006,69.6,1.7
200007,68.1,-4.0
200008,68.6,-1.5
200009,62.4,-1.4
200010,54.7,2.4
200011,39.5,-1.4
200012,23.1,-7.8
200101,28.7,1.3
200102,35.2,6.2
200103,35.7,-2.4
200104,53.0,4.3
200105,59.8,0.4
200106,67.7,-0.2
200107,70.0,-2.1
200108,73.0,2.9
200109,62.2,-1.6
200110,54.1,1.8
200111,48.0,7.1
200112,38.2,7.3
200201,34.5,7.1
200202,35.4,6.4
200203,40.5,2.4
200204,52.0,3.3
200205,55.9,-3.5
200206,70.1,2.2
200207,75.0,2.9
200208,73.7,3.6
200209,67.8,4.0
200210,51.8,-0.5
200211,40.6,-0.3
200212,30.5,-0.4
200301,21.9,-5.5
200302,26.2,-2.8
200303,40.3,2.2
200304,52.1,3.4
200305,59.0,-0.4
200306,65.5,-2.4
200307,70.6,-1.5
200308,72.0,1.9
200309,63.0,-0.8
200310,50.4,-1.9
200311,46.3,5.4
200312,32.4,1.5
200401,22.4,-5.0
200402,31.2,2.2
200403,42.2,4.1
200404,50.0,1.3
200405,64.4,5.0
200406,66.6,-1.3
200407,70.7,-1.4
200408,68.2,-1.9
200409,65.7,1.9
200410,53.5,1.2
200411,45.5,4.6
200412,33.0,2.1
200501,29.4,2.0
200502,32.5,3.5
200503,35.2,-2.9
200504,52.2,3.5
200505,55.5,-3.9
200506,71.1,3.2
200507,74.8,2.7
200508,73.5,3.4
200509,67.2,3.4
200510,54.4,2.1
200511,44.5,3.6
200512,27.9,-3.0
200601,38.0,10.6
200602,31.6,2.6
200603,38.6,0.5
200604,53.7,5.0
200605,58.1,-1.3
200606,66.4,-1.5
200607,73.4,1.3
200608,72.8,2.7
200609,61.8,-2.0
200610,50.7,-1.6
200611,44.8,3.9
200612,38.5,7.6
200701,32.7,5.3
200702,21.3,-7.7
200703,42.6,4.5
200704,46.9,-1.8
200705,62.3,2.9
200706,68.7,0.8
200707,69.9,-2.2
200708,73.5,3.4
200709,66.6,2.8
200710,59.2,6.9
200711,42.4,1.5
200712,34.0,3.1
200801,30.5,3.1
200802,28.4,-0.6
200803,35.8,-2.3
200804,52.7,4.0
200805,55.8,-3.6
200806,69.1,1.2
200807,71.9,-0.2
200808,69.2,-0.9
200809,65.9,2.1
200810,52.0,-0.3
200811,40.8,-0.1
200812,32.7,1.8
200901,21.1,-6.3
200902,30.6,1.6
200903,41.8,3.7
200904,51.1,2.4
200905,60.6,1.2
200906,66.9,-1.0
200907,68.2,-3.9
200908,71.4,1.3
200909,64.3,0.5
200910,50.5,-1.8
200911,47.1,6.2
200912,30.8,-0.1
201001,26.6,-0.8
201002,26.5,-2.5
201003,42.9,4.8
201004,54.3,5.6
201005,62.2,2.8
201006,70.8,2.9
201007,74.4,2.3
201008,73.7,3.6
201009,65.6,1.8
201010,53.7,1.4
201011,42.0,1.1
201012,25.6,-5.3
201101,23.4,-4.0
201102,31.6,2.6
201103,39.1,1.0
201104,52.0,3.3
201105,61.6,2.2
201106,69.5,1.6
201107,76.0,3.9
201108,72.2,2.1
201109,65.6,1.8
201110,52.8,0.5
201111,47.1,6.2
201112,36.7,5.8
201201,31.3,3.9
201202,35.3,6.3
201203,49.8,11.7
201204,48.5,-0.2
201205,65.8,6.4
201206,68.5,0.6
201207,75.6,3.5
201208,71.0,0.9
