Lehigh County, Pennsylvania, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,27.7,0.7
200002,31.8,3.5
200003,44.4,6.9
200004,49.4,0.9
200005,61.3,2.1
200006,68.3,0.5
200007,69.7,-2.8
200008,69.4,-0.9
200009,61.7,-1.5
200010,52.8,0.9
200011,40.8,-0.1
200012,25.9,-4.5
200101,27.4,0.4
200102,32.3,4.0
200103,36.2,-1.3
200104,50.0,1.5
200105,60.5,1.3
200106,69.3,1.5
200107,69.2,-3.3
200108,73.5,3.2
200109,62.2,-1.0
200110,53.4,1.5
200111,46.8,5.9
200112,38.4,8.0
200201,34.5,7.5
200202,36.3,8.0
200203,40.5,3.0
200204,52.2,3.7
200205,57.4,-1.8
200206,69.3,1.5
200207,75.0,2.5
200208,74.8,4.5
200209,66.1,2.9
200210,51.2,-0.7
200211,40.9,0.0
200212,30.0,-0.4
200301,23.6,-3.4
200302,25.9,-2.4
200303,39.3,1.8
200304,48.1,-0.4
200305,56.9,-2.3
200306,66.4,-1.4
200307,73.3,0.8
200308,73.9,3.6
200309,64.8,1.6
200310,50.4,-1.5
200311,46.7,5.8
200312,33.3,2.9
200401,22.2,-4.8
200402,30.8,2.5
200403,40.9,3.4
200404,50.4,1.9
200405,65.7,6.5
200406,67.6,-0.2
200407,71.8,-0.7
200408,71.2,0.9
200409,66.0,2.8
200410,51.4,-0.5
200411,44.7,3.8
200412,32.6,2.2
200501,27.4,0.4
200502,32.4,4.1
200503,34.5,-3.0
200504,52.2,3.7
200505,56.2,-3.0
200506,72.0,4.2
200507,75.5,3.0
200508,74.8,4.5
200509,68.5,5.3
200510,54.8,2.9
200511,45.3,4.4
200512,29.1,-1.3
200601,36.4,9.4
200602,32.6,4.3
200603,40.4,2.9
200604,52.3,3.8
200605,60.4,1.2
200606,69.2,1.4
200607,75.5,3.0
200608,72.5,2.2
200609,62.1,-1.1
200610,51.1,-0.8
200611,47.4,6.5
200612,39.6,9.2
200701,33.5,6.5
200702,24.1,-4.2
200703,38.3,0.8
200704,47.1,-1.4
200705,62.4,3.2
200706,69.9,2.1
200707,71.8,-0.7
200708,72.7,2.4
200709,66.6,3.4
200710,60.2,8.3
200711,40.8,-0.1
200712,32.9,2.5
200801,31.9,4.9
200802,31.7,3.4
200803,39.4,1.9
200804,52.3,3.8
200805,56.4,-2.8
200806,71.4,3.6
200807,74.4,1.9
200808,69.1,-1.2
200809,65.4,2.2
200810,50.5,-1.4
200811,41.3,0.4
200812,32.7,2.3
200901,23.3,-3.7
200902,32.3,4.0
200903,39.2,1.7
200904,51.5,3.0
200905,60.2,1.0
200906,67.4,-0.4
200907,70.2,-2.3
200908,72.4,2.1
200909,62.4,-0.8
200910,50.8,-1.1
200911,47.0,6.1
200912,31.5,1.1
201001,29.0,2.0
201002,29.1,0.8
201003,44.8,7.3
201004,54.1,5.6
201005,62.8,3.6
201006,72.1,4.3
201007,76.4,3.9
201008,73.2,2.9
201009,66.9,3.7
201010,52.9,1.0
201011,42.4,1.5
201012,29.2,-1.2
201101,24.1,-2.9
201102,31.4,3.1
201103,39.0,1.5
201104,52.4,3.9
201105,63.3,4.1
201106,70.6,2.8
201107,77.6,5.1
201108,71.4,1.1
201109,66.5,3.3
201110,53.2,1.3
201111,46.2,5.3
201112,37.8,7.4
201201,32.3,5.3
201202,36.6,8.3
201203,48.5,11.0
201204,50.3,1.8
201205,64.8,5.6
201206,68.3,0.5
201207,76.7,4.2
201208,72.4,2.1
201209,64.7,1.5
201210,54.1,2.2
201211,39.2,-1.7
201212,37.6,7.2
201301,31.7,4.7
201302,30.3,2.0
201303,37.0,-0.5
201304,50.8,2.3
201305,60.3,1.1
201306,70.2,2.4
201307,76.5,4.0
201308,69.7,-0.6
201309,63.0,-0.2
201310,55.3,3.4
201311,40.3,-0.6
201312,32.2,1.8
201401,22.2,-4.8
201402,25.6,-2.7
201403,32.8,-4.7
201404,49.4,0.9
201405,61.1,1.9
201406,69.8,2.0
201407,73.0,0.5
201408,69.7,-0.6
201409,65.2,2.0
201410,55.6,3.7
201411,39.1,-1.8
201412,36.7,6.3
201501,25.3,-1.7
201502,19.2,-9.1
201503,33.6,-3.9
201504,50.6,2.1
201505,65.8,6.6
201506,69.6,1.8
201507,73.9,1.4
201508,72.3,2.0
201509,69.0,5.8
201510,52.6,0.7
201511,47.5,6.6
201512,45.3,14.9
201601,28.6,1.6
201602,33.8,5.5
201603,45.9,8.4
201604,49.9,1.4
201605,60.0,0.8
201606,70.0,2.2
201607,76.5,4.0
201608,75.4,5.1
201609,68.2,5.0
201610,54.9,3.0
201611,45.2,4.3
201612,34.2,3.8
201701,34.1,7.1
201702,38.5,10.2
201703,37.0,-0.5
201704,55.7,7.2
201705,59.0,-0.2
201706,69.7,1.9
201707,74.8,2.3
201708,70.2,-0.1
201709,66.8,3.6
201710,58.9,7.0
201711,42.0,1.1
201712,31.1,0.7
201801,26.7,-0.3
201802,36.8,8.5
201803,36.6,-0.9
201804,46.2,-2.3
201805,64.6,5.4
201806,69.3,1.5
201807,75.6,3.1
201808,75.6,5.3
201809,68.7,5.5
201810,54.7,2.8
201811,40.2,-0.7
201812,36.4,6.0
201901,29.6,2.6
201902,32.3,4.0
201903,37.5,0.0
201904,53.8,5.3
201905,61.8,2.6
201906,68.6,0.8
201907,76.7,4.2
201908,73.5,3.2
201909,67.5,4.3
201910,56.8,4.9
201911,39.8,-1.1
201912,34.2,3.8
202001,34.8,7.8
