Westmoreland County, Pennsylvania, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,27.3,-0.5
200002,35.1,5.9
200003,43.8,5.7
200004,49.2,0.7
200005,61.8,2.6
200006,68.8,1.3
200007,67.7,-3.7
200008,68.0,-1.7
200009,61.9,-1.5
200010,53.8,1.6
200011,38.5,-2.3
200012,23.2,-7.8
200101,27.8,0.0
200102,34.8,5.6
200103,34.7,-3.4
200104,53.1,4.6
200105,59.0,-0.2
200106,67.2,-0.3
200107,68.6,-2.8
200108,72.1,2.4
200109,61.1,-2.3
200110,52.9,0.7
200111,47.6,6.8
200112,38.3,7.3
200201,34.2,6.4
200202,34.6,5.4
200203,40.4,2.3
200204,51.4,2.9
200205,56.2,-3.0
200206,69.0,1.5
200207,73.2,1.8
200208,72.4,2.7
200209,66.0,2.6
200210,50.7,-1.5
200211,40.1,-0.7
200212,29.4,-1.6
200301,21.6,-6.2
200302,26.1,-3.1
200303,40.4,2.3
200304,51.2,2.7
200305,58.1,-1.1
200306,64.4,-3.1
200307,69.8,-1.6
200308,71.2,1.5
200309,61.8,-1.6
200310,49.4,-2.8
200311,46.0,5.2
200312,31.4,0.4
200401,22.6,-5.2
200402,29.5,0.3
200403,41.5,3.4
200404,49.6,1.1
200405,64.0,4.8
200406,65.9,-1.6
200407,69.7,-1.7
200408,67.6,-2.1
200409,64.6,1.2
200410,52.2,0.0
200411,44.5,3.7
200412,33.0,2.0
200501,30.7,2.9
200502,32.3,3.1
200503,34.3,-3.8
200504,51.4,2.9
200505,54.6,-4.6
200506,70.0,2.5
200507,73.3,1.9
200508,72.5,2.8
200509,66.3,2.9
200510,53.5,1.3
200511,44.4,3.6
200512,27.4,-3.6
200601,37.8,10.0
200602,30.9,1.7
200603,38.5,0.4
200604,52.1,3.6
200605,57.0,-2.2
200606,65.5,-2.0
200607,72.4,1.0
200608,71.4,1.7
200609,60.6,-2.8
200610,50.3,-1.9
200611,44.4,3.6
200612,38.7,7.7
200701,32.8,5.0
200702,20.4,-8.8
200703,41.3,3.2
200704,46.1,-2.4
200705,61.2,2.0
200706,67.5,0.0
200707,68.3,-3.1
200708,71.8,2.1
200709,64.9,1.5
200710,58.4,6.2
200711,41.3,0.5
200712,34.0,3.0
200801,29.9,2.1
200802,30.0,0.8
200803,37.4,-0.7
200804,52.7,4.2
200805,55.2,-4.0
200806,68.7,1.2
200807,70.9,-0.5
200808,67.8,-1.9
200809,64.4,1.0
200810,50.1,-2.1
200811,39.3,-1.5
200812,32.9,1.9
200901,22.7,-5.1
200902,31.0,1.8
200903,41.2,3.1
200904,50.3,1.8
200905,59.8,0.6
200906,66.2,-1.3
200907,67.4,-4.0
200908,70.6,0.9
200909,63.1,-0.3
200910,49.5,-2.7
200911,46.5,5.7
200912,29.3,-1.7
201001,25.4,-2.4
201002,24.8,-4.4
201003,42.4,4.3
201004,53.9,5.4
201005,61.8,2.6
201006,70.0,2.5
201007,73.6,2.2
201008,72.1,2.4
201009,64.5,1.1
201010,52.5,0.3
201011,41.6,0.8
201012,24.8,-6.2
201101,23.3,-4.5
201102,31.9,2.7
201103,38.5,0.4
201104,52.1,3.6
201105,61.6,2.4
201106,68.3,0.8
201107,74.4,3.0
201108,70.2,0.5
201109,64.9,1.5
201110,51.7,-0.5
201111,46.8,6.0
201112,36.8,5.8
201201,31.8,4.0
201202,35.3,6.1
201203,49.9,11.8
201204,48.5,0.0
201205,65.4,6.2
201206,67.4,-0.1
201207,74.8,3.4
