Clarendon County, South Carolina, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,44.5,-1.6
200002,50.1,2.0
200003,58.5,3.3
200004,61.7,-1.3
200005,74.6,3.3
200006,79.0,1.3
200007,80.6,0.1
200008,79.5,0.2
200009,73.7,-0.8
200010,63.0,-1.1
200011,52.6,-1.6
200012,39.8,-7.2
200101,43.9,-2.2
200102,51.9,3.8
200103,53.4,-1.8
200104,64.4,1.4
200105,71.8,0.5
200106,78.0,0.3
200107,79.0,-1.5
200108,80.2,0.9
200109,72.1,-2.4
200110,62.1,-2.0
200111,60.4,6.2
200112,53.8,6.8
200201,48.5,2.4
200202,49.4,1.3
200203,57.8,2.6
200204,68.5,5.5
200205,69.6,-1.7
200206,78.8,1.1
200207,82.9,2.4
200208,80.6,1.3
200209,76.7,2.2
200210,67.3,3.2
200211,52.9,-1.3
200212,44.5,-2.5
200301,42.5,-3.6
200302,47.7,-0.4
200303,58.4,3.2
200304,61.5,-1.5
200305,71.0,-0.3
200306,77.0,-0.7
200307,79.9,-0.6
200308,80.6,1.3
200309,73.1,-1.4
200310,64.0,-0.1
200311,59.5,5.3
200312,43.8,-3.2
200401,43.4,-2.7
200402,45.0,-3.1
200403,58.3,3.1
200404,63.5,0.5
200405,74.9,3.6
200406,79.2,1.5
200407,81.2,0.7
200408,77.5,-1.8
200409,74.2,-0.3
200410,67.4,3.3
200411,57.6,3.4
200412,46.7,-0.3
200501,48.6,2.5
200502,49.0,0.9
200503,52.8,-2.4
200504,61.4,-1.6
200505,68.5,-2.8
200506,77.3,-0.4
200507,82.9,2.4
200508,81.0,1.7
200509,78.3,3.8
200510,65.9,1.8
200511,56.8,2.6
200512,45.4,-1.6
200601,51.9,5.8
200602,47.6,-0.5
200603,55.4,0.2
200604,66.4,3.4
200605,69.5,-1.8
200606,77.0,-0.7
200607,81.0,0.5
200608,82.0,2.7
200609,72.8,-1.7
200610,62.3,-1.8
200611,55.2,1.0
200612,51.7,4.7
200701,50.0,3.9
200702,46.0,-2.1
200703,58.7,3.5
200704,61.3,-1.7
200705,69.3,-2.0
200706,77.6,-0.1
200707,79.1,-1.4
200708,84.4,5.1
200709,75.8,1.3
200710,69.4,5.3
200711,54.7,0.5
200712,53.5,6.5
200801,45.6,-0.5
200802,52.4,4.3
200803,55.6,0.4
200804,63.4,0.4
200805,69.3,-2.0
200806,80.8,3.1
200807,80.4,-0.1
200808,79.9,0.6
200809,74.8,0.3
200810,61.4,-2.7
200811,50.8,-3.4
200812,52.5,5.5
200901,45.3,-0.8
200902,47.3,-0.8
200903,54.9,-0.3
200904,62.5,-0.5
200905,71.9,0.6
200906,79.7,2.0
200907,79.4,-1.1
200908,80.8,1.5
200909,74.5,0.0
200910,63.2,-0.9
200911,56.3,2.1
200912,46.0,-1.0
201001,41.8,-4.3
201002,42.3,-5.8
201003,53.3,-1.9
201004,64.9,1.9
201005,74.1,2.8
201006,83.1,5.4
201007,82.4,1.9
201008,82.3,3.0
201009,77.3,2.8
201010,64.9,0.8
201011,54.8,0.6
201012,39.5,-7.5
201101,41.7,-4.4
201102,51.9,3.8
201103,57.0,1.8
201104,65.8,2.8
201105,72.6,1.3
201106,82.0,4.3
201107,83.9,3.4
201108,81.6,2.3
201109,75.5,1.0
201110,62.3,-1.8
201111,56.5,2.3
201112,51.9,4.9
201201,49.0,2.9
201202,51.4,3.3
201203,63.5,8.3
201204,63.9,0.9
201205,73.3,2.0
201206,74.7,-3.0
201207,83.4,2.9
