Anderson County, Texas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,50.6,4.3
200002,57.8,7.7
200003,62.1,5.1
200004,64.4,-0.8
200005,75.1,2.5
200006,78.8,-1.0
200007,84.4,1.5
200008,85.9,3.0
200009,78.2,1.1
200010,68.6,1.4
200011,52.5,-3.4
200012,41.2,-7.0
200101,43.7,-2.6
200102,53.3,3.2
200103,52.5,-4.5
200104,68.0,2.8
200105,73.6,1.0
200106,77.4,-2.4
200107,83.5,0.6
200108,83.2,0.3
200109,74.4,-2.7
200110,63.3,-3.9
200111,59.8,3.9
200112,50.7,2.5
200201,48.5,2.2
200202,47.0,-3.1
200203,55.2,-1.8
200204,68.9,3.7
200205,73.1,0.5
200206,79.1,-0.7
200207,82.2,-0.7
200208,83.4,0.5
200209,77.8,0.7
200210,65.9,-1.3
200211,53.6,-2.3
200212,48.9,0.7
200301,45.3,-1.0
200302,47.9,-2.2
200303,56.4,-0.6
200304,66.1,0.9
200305,75.1,2.5
200306,78.6,-1.2
200307,82.4,-0.5
200308,83.5,0.6
200309,74.4,-2.7
200310,68.0,0.8
200311,59.7,3.8
200312,48.8,0.6
200401,49.1,2.8
200402,46.9,-3.2
200403,62.2,5.2
200404,65.3,0.1
200405,74.0,1.4
200406,78.6,-1.2
200407,81.6,-1.3
200408,79.9,-3.0
200409,76.4,-0.7
200410,73.7,6.5
200411,58.6,2.7
200412,48.2,0.0
200501,52.5,6.2
200502,53.9,3.8
200503,56.9,-0.1
200504,64.2,-1.0
200505,71.2,-1.4
200506,81.4,1.6
200507,82.7,-0.2
200508,83.6,0.7
200509,81.4,4.3
200510,66.9,-0.3
200511,61.0,5.1
200512,47.6,-0.6
200601,53.8,7.5
200602,49.8,-0.3
200603,61.8,4.8
200604,71.0,5.8
200605,74.0,1.4
200606,79.6,-0.2
200607,83.4,0.5
200608,86.2,3.3
200609,76.5,-0.6
200610,67.0,-0.2
200611,57.2,1.3
200612,50.1,1.9
200701,44.2,-2.1
200702,48.7,-1.4
200703,64.0,7.0
200704,61.6,-3.6
200705,72.8,0.2
200706,78.7,-1.1
200707,79.1,-3.8
200708,83.4,0.5
200709,78.5,1.4
200710,68.7,1.5
200711,59.9,4.0
200712,51.5,3.3
200801,46.9,0.6
200802,53.3,3.2
200803,60.1,3.1
200804,65.6,0.4
200805,72.4,-0.2
200806,82.2,2.4
200807,84.2,1.3
200808,82.5,-0.4
200809,73.5,-3.6
200810,64.9,-2.3
200811,57.2,1.3
200812,48.2,0.0
200901,47.8,1.5
200902,55.3,5.2
200903,58.6,1.6
200904,63.2,-2.0
200905,72.7,0.1
200906,82.4,2.6
200907,84.3,1.4
200908,83.5,0.6
200909,75.4,-1.7
200910,64.1,-3.1
200911,58.6,2.7
200912,43.2,-5.0
201001,43.9,-2.4
201002,43.1,-7.0
201003,54.6,-2.4
201004,65.9,0.7
201005,76.8,4.2
201006,83.3,3.5
201007,83.6,0.7
201008,86.7,3.8
201009,78.9,1.8
201010,67.1,-0.1
201011,57.6,1.7
201012,47.8,-0.4
201101,44.1,-2.2
201102,50.2,0.1
201103,61.9,4.9
201104,70.2,5.0
201105,72.7,0.1
201106,85.1,5.3
201107,88.4,5.5
201108,90.8,7.9
201109,78.6,1.5
201110,66.8,-0.4
201111,57.8,1.9
201112,47.7,-0.5
201201,51.2,4.9
201202,53.3,3.2
201203,65.2,8.2
201204,69.9,4.7
201205,75.6,3.0
201206,81.1,1.3
201207,83.5,0.6
201208,84.0,1.1
