Brazos County, Texas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,53.3,4.7
200002,59.4,7.2
200003,64.0,5.0
200004,67.2,0.3
200005,77.0,2.8
200006,80.4,-0.4
200007,85.5,1.8
200008,85.8,2.0
200009,79.8,1.5
200010,70.8,2.0
200011,55.2,-2.7
200012,44.6,-5.8
200101,46.7,-1.9
200102,56.3,4.1
200103,54.2,-4.8
200104,70.2,3.3
200105,76.0,1.8
200106,79.9,-0.9
200107,84.9,1.2
200108,84.9,1.1
200109,76.6,-1.7
200110,66.4,-2.4
200111,62.5,4.6
200112,53.2,2.8
200201,51.5,2.9
200202,48.9,-3.3
200203,58.6,-0.4
200204,71.7,4.8
200205,75.2,1.0
200206,80.7,-0.1
200207,82.0,-1.7
200208,83.0,-0.8
200209,78.3,0.0
200210,68.1,-0.7
200211,55.3,-2.6
200212,51.8,1.4
200301,47.5,-1.1
200302,50.2,-2.0
200303,58.5,-0.5
200304,68.6,1.7
200305,77.5,3.3
200306,80.1,-0.7
200307,82.2,-1.5
200308,84.1,0.3
200309,75.1,-3.2
200310,69.0,0.2
200311,62.2,4.3
200312,51.4,1.0
200401,52.2,3.6
200402,49.4,-2.8
200403,65.0,6.0
200404,67.4,0.5
200405,74.7,0.5
200406,79.1,-1.7
200407,81.8,-1.9
200408,81.2,-2.6
200409,78.7,0.4
200410,75.3,6.5
200411,59.5,1.6
200412,50.7,0.3
200501,54.0,5.4
200502,55.6,3.4
200503,58.9,-0.1
200504,65.7,-1.2
200505,73.6,-0.6
200506,82.5,1.7
200507,84.0,0.3
200508,83.6,-0.2
200509,83.2,4.9
200510,69.0,0.2
200511,62.6,4.7
200512,49.1,-1.3
200601,55.6,7.0
200602,51.9,-0.3
200603,63.6,4.6
200604,72.2,5.3
200605,75.5,1.3
200606,80.4,-0.4
200607,83.0,-0.7
200608,85.2,1.4
200609,78.0,-0.3
200610,68.9,0.1
200611,59.8,1.9
200612,52.3,1.9
200701,46.2,-2.4
200702,51.8,-0.4
200703,64.4,5.4
200704,64.0,-2.9
200705,74.3,0.1
200706,80.4,-0.4
200707,80.8,-2.9
200708,84.2,0.4
200709,79.8,1.5
200710,70.4,1.6
200711,60.9,3.0
200712,53.6,3.2
200801,49.0,0.4
200802,56.6,4.4
200803,61.0,2.0
200804,67.5,0.6
200805,75.3,1.1
200806,84.0,3.2
200807,84.3,0.6
200808,83.6,-0.2
200809,76.0,-2.3
200810,66.7,-2.1
200811,59.8,1.9
200812,51.0,0.6
200901,50.9,2.3
200902,58.8,6.6
200903,60.8,1.8
200904,66.0,-0.9
200905,76.0,1.8
200906,84.3,3.5
200907,87.6,3.9
200908,86.5,2.7
200909,77.0,-1.3
200910,67.8,-1.0
200911,59.7,1.8
200912,46.0,-4.4
201001,46.4,-2.2
201002,45.2,-7.0
201003,56.6,-2.4
201004,67.2,0.3
201005,77.8,3.6
201006,82.7,1.9
201007,83.8,0.1
201008,87.4,3.6
201009,79.8,1.5
201010,69.4,0.6
201011,60.0,2.1
201012,52.7,2.3
201101,48.0,-0.6
201102,53.0,0.8
201103,64.4,5.4
201104,73.4,6.5
201105,76.1,1.9
201106,85.2,4.4
201107,87.5,3.8
201108,89.9,6.1
201109,81.4,3.1
201110,69.0,0.2
201111,60.9,3.0
201112,51.3,0.9
201201,54.7,6.1
201202,56.6,4.4
201203,65.9,6.9
201204,71.6,4.7
201205,77.0,2.8
201206,82.8,2.0
201207,83.8,0.1
201208,85.8,2.0
201209,79.0,0.7
201210,68.3,-0.5
201211,60.8,2.9
201212,54.9,4.5
201301,52.3,3.7
201302,55.7,3.5
201303,58.2,-0.8
201304,64.8,-2.1
201305,73.2,-1.0
201306,82.4,1.6
201307,83.4,-0.3
201308,85.5,1.7
201309,81.3,3.0
201310,68.7,-0.1
201311,54.7,-3.2
201312,47.8,-2.6
201401,46.0,-2.6
201402,50.4,-1.8
201403,55.5,-3.5
201404,66.3,-0.6
201405,71.9,-2.3
201406,80.8,0.0
201407,82.2,-1.5
201408,83.6,-0.2
201409,79.3,1.0
201410,70.7,1.9
201411,53.4,-4.5
201412,54.2,3.8
201501,46.1,-2.5
201502,49.5,-2.7
201503,58.1,-0.9
201504,69.6,2.7
201505,74.2,0.0
201506,80.4,-0.4
201507,84.1,0.4
201508,84.6,0.8
201509,79.8,1.5
201510,71.7,2.9
201511,60.4,2.5
201512,56.3,5.9
201601,49.4,0.8
201602,56.8,4.6
201603,63.6,4.6
201604,67.8,0.9
201605,72.6,-1.6
201606,81.3,0.5
201607,85.6,1.9
201608,82.9,-0.9
201609,80.4,2.1
201610,72.7,3.9
201611,64.1,6.2
201612,54.3,3.9
201701,55.7,7.1
201702,62.8,10.6
201703,65.9,6.9
201704,69.0,2.1
201705,73.3,-0.9
201706,79.8,-1.0
201707,85.7,2.0
201708,83.2,-0.6
201709,78.2,-0.1
201710,68.7,-0.1
201711,64.4,6.5
201712,50.4,0.0
201801,46.1,-2.5
201802,55.0,2.8
201803,64.3,5.3
201804,63.6,-3.3
201805,77.7,3.5
201806,83.0,2.2
201807,84.5,0.8
201808,84.8,1.0
201809,78.7,0.4
201810,68.3,-0.5
201811,54.5,-3.4
201812,51.6,1.2
201901,49.2,0.6
201902,54.5,2.3
201903,58.5,-0.5
201904,67.0,0.1
201905,75.8,1.6
201906,80.3,-0.5
201907,83.6,-0.1
201908,86.7,2.9
201909,83.3,5.0
201910,69.3,0.5
201911,56.4,-1.5
201912,54.1,3.7
202001,54.9,6.3
