Lubbock County, Texas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,43.8,5.0
200002,51.1,8.2
200003,54.1,4.3
200004,61.6,2.5
200005,73.9,5.8
200006,74.6,-1.7
200007,80.5,1.3
200008,80.7,2.8
200009,74.5,3.5
200010,62.2,1.8
200011,43.4,-4.8
200012,36.3,-3.8
200101,37.5,-1.3
200102,45.0,2.1
200103,48.2,-1.6
200104,63.8,4.7
200105,70.0,1.9
200106,80.0,3.7
200107,84.4,5.2
200108,79.4,1.5
200109,71.8,0.8
200110,61.6,1.2
200111,52.9,4.7
200112,43.4,3.3
200201,42.7,3.9
200202,42.4,-0.5
200203,48.9,-0.9
200204,62.4,3.3
200205,69.6,1.5
200206,78.4,2.1
200207,78.9,-0.3
200208,80.6,2.7
200209,72.2,1.2
200210,58.5,-1.9
200211,47.5,-0.7
200212,42.5,2.4
200301,42.6,3.8
200302,43.1,0.2
200303,53.4,3.6
200304,62.7,3.6
200305,70.3,2.2
200306,74.1,-2.2
200307,81.3,2.1
200308,80.6,2.7
200309,70.0,-1.0
200310,64.9,4.5
200311,51.6,3.4
200312,44.2,4.1
200401,42.9,4.1
200402,41.8,-1.1
200403,56.5,6.7
200404,59.8,0.7
200405,71.8,3.7
200406,76.4,0.1
200407,78.0,-1.2
200408,75.0,-2.9
200409,70.0,-1.0
200410,62.4,2.0
200411,47.7,-0.5
200412,42.6,2.5
200501,43.9,5.1
200502,46.0,3.1
200503,50.6,0.8
200504,59.4,0.3
200505,68.0,-0.1
200506,78.4,2.1
200507,78.7,-0.5
200508,76.3,-1.6
200509,75.3,4.3
200510,62.0,1.6
200511,52.6,4.4
200512,41.9,1.8
200601,47.7,8.9
200602,45.3,2.4
200603,54.1,4.3
200604,65.7,6.6
200605,73.1,5.0
200606,79.7,3.4
200607,81.6,2.4
200608,79.4,1.5
200609,68.1,-2.9
200610,61.0,0.6
200611,52.3,4.1
200612,41.7,1.6
200701,36.0,-2.8
200702,43.4,0.5
200703,56.1,6.3
200704,55.3,-3.8
200705,65.9,-2.2
200706,74.0,-2.3
200707,76.5,-2.7
200708,78.5,0.6
200709,73.4,2.4
200710,64.7,4.3
200711,50.8,2.6
200712,42.3,2.2
200801,40.4,1.6
200802,46.9,4.0
200803,52.4,2.6
200804,59.7,0.6
200805,69.4,1.3
200806,80.5,4.2
200807,78.2,-1.0
200808,76.7,-1.2
200809,68.3,-2.7
200810,60.8,0.4
200811,51.4,3.2
200812,42.7,2.6
200901,42.2,3.4
200902,49.5,6.6
200903,55.2,5.4
200904,60.3,1.2
200905,68.5,0.4
200906,78.8,2.5
200907,79.9,0.7
200908,79.7,1.8
200909,69.6,-1.4
200910,57.7,-2.7
200911,52.9,4.7
200912,36.2,-3.9
201001,39.1,0.3
201002,38.9,-4.0
201003,50.8,1.0
201004,60.4,1.3
201005,68.2,0.1
201006,80.4,4.1
201007,76.7,-2.5
201008,79.6,1.7
201009,74.1,3.1
201010,63.1,2.7
201011,50.4,2.2
201012,45.3,5.2
201101,39.7,0.9
201102,41.6,-1.3
201103,55.8,6.0
201104,64.9,5.8
201105,69.9,1.8
201106,85.0,8.7
201107,85.2,6.0
201108,85.5,7.6
201109,71.8,0.8
201110,62.4,2.0
201111,50.6,2.4
201112,38.2,-1.9
201201,44.4,5.6
201202,44.0,1.1
201203,58.1,8.3
201204,66.7,7.6
201205,72.6,4.5
201206,80.0,3.7
201207,81.0,1.8
201208,80.1,2.2
201209,72.2,1.2
201210,60.1,-0.3
201211,54.8,6.6
201212,43.4,3.3
201301,40.8,2.0
201302,43.5,0.6
201303,52.4,2.6
201304,57.5,-1.6
201305,69.2,1.1
201306,79.6,3.3
201307,77.8,-1.4
201308,79.2,1.3
201309,73.9,2.9
201310,61.3,0.9
201311,47.5,-0.7
201312,38.4,-1.7
201401,39.2,0.4
201402,41.7,-1.2
201403,50.0,0.2
201404,60.2,1.1
201405,68.7,0.6
201406,77.6,1.3
201407,78.4,-0.8
201408,79.3,1.4
201409,70.7,-0.3
201410,63.4,3.0
201411,45.6,-2.6
201412,43.9,3.8
201501,38.4,-0.4
201502,43.6,0.7
201503,51.6,1.8
201504,61.4,2.3
201505,65.3,-2.8
201506,76.6,0.3
201507,80.0,0.8
201508,79.1,1.2
201509,75.6,4.6
201510,63.6,3.2
201511,50.4,2.2
201512,44.0,3.9
201601,40.9,2.1
201602,48.2,5.3
201603,56.9,7.1
201604,61.1,2.0
201605,66.9,-1.2
201606,77.7,1.4
201607,84.0,4.8
201608,77.6,-0.3
201609,72.4,1.4
201610,66.6,6.2
201611,54.6,6.4
201612,41.8,1.7
201701,43.0,4.2
201702,51.3,8.4
201703,58.5,8.7
201704,62.0,2.9
201705,68.1,0.0
201706,79.3,3.0
201707,80.4,1.2
201708,75.6,-2.3
201709,71.8,0.8
201710,61.4,1.0
201711,54.0,5.8
201712,42.3,2.2
201801,38.7,-0.1
201802,44.6,1.7
201803,55.8,6.0
201804,58.5,-0.6
201805,76.3,8.2
201806,81.5,5.2
201807,81.2,2.0
201808,79.4,1.5
201809,71.4,0.4
201810,58.9,-1.5
201811,46.0,-2.2
201812,40.6,0.5
201901,42.2,3.4
201902,44.9,2.0
201903,48.9,-0.9
201904,60.8,1.7
201905,66.6,-1.5
201906,75.9,-0.4
201907,80.8,1.6
201908,83.1,5.2
201909,76.8,5.8
201910,57.1,-3.3
201911,47.0,-1.2
201912,45.0,4.9
202001,44.1,5.3
