McLennan County, Texas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,51.2,5.4
200002,57.2,7.4
200003,61.7,4.6
200004,65.5,0.0
200005,75.7,2.7
200006,79.3,-1.1
200007,85.0,1.0
200008,86.3,2.2
200009,79.9,2.0
200010,69.6,2.0
200011,53.0,-3.1
200012,42.2,-5.8
200101,44.5,-1.3
200102,52.3,2.5
200103,52.7,-4.4
200104,68.3,2.8
200105,74.5,1.5
200106,79.8,-0.6
200107,85.6,1.6
200108,84.9,0.8
200109,75.5,-2.4
200110,65.1,-2.5
200111,60.3,4.2
200112,51.2,3.2
200201,49.0,3.2
200202,47.3,-2.5
200203,55.4,-1.7
200204,69.8,4.3
200205,73.7,0.7
200206,79.5,-0.9
200207,81.8,-2.2
200208,84.0,-0.1
200209,78.5,0.6
200210,66.2,-1.4
200211,54.7,-1.4
200212,49.6,1.6
200301,45.5,-0.3
200302,48.8,-1.0
200303,56.8,-0.3
200304,66.5,1.0
200305,76.1,3.1
200306,78.8,-1.6
200307,83.7,-0.3
200308,84.2,0.1
200309,75.2,-2.7
200310,68.8,1.2
200311,60.6,4.5
200312,50.6,2.6
200401,50.8,5.0
200402,46.7,-3.1
200403,62.9,5.8
200404,66.2,0.7
200405,74.2,1.2
200406,78.6,-1.8
200407,81.8,-2.2
200408,80.6,-3.5
200409,77.1,-0.8
200410,73.4,5.8
200411,58.5,2.4
200412,49.5,1.5
200501,51.6,5.8
200502,52.8,3.0
200503,57.4,0.3
200504,65.4,-0.1
200505,72.0,-1.0
200506,81.6,1.2
200507,84.0,0.0
200508,83.4,-0.7
200509,81.8,3.9
200510,67.9,0.3
200511,61.0,4.9
200512,47.3,-0.7
200601,55.0,9.2
200602,50.6,0.8
200603,62.0,4.9
200604,71.9,6.4
200605,75.0,2.0
200606,80.8,0.4
200607,84.9,0.9
200608,87.6,3.5
200609,77.5,-0.4
200610,68.5,0.9
200611,58.9,2.8
200612,51.0,3.0
200701,43.4,-2.4
200702,49.7,-0.1
200703,63.5,6.4
200704,61.7,-3.8
200705,72.5,-0.5
200706,79.1,-1.3
200707,80.0,-4.0
200708,84.2,0.1
200709,79.0,1.1
200710,69.3,1.7
200711,60.6,4.5
200712,50.4,2.4
200801,46.0,0.2
200802,53.1,3.3
200803,58.7,1.6
200804,65.3,-0.2
200805,74.2,1.2
200806,83.0,2.6
200807,84.7,0.7
200808,83.2,-0.9
200809,75.3,-2.6
200810,66.5,-1.1
200811,58.4,2.3
200812,47.8,-0.2
200901,48.6,2.8
200902,57.0,7.2
200903,60.3,3.2
200904,63.7,-1.8
200905,73.6,0.6
200906,83.4,3.0
200907,85.5,1.5
200908,85.8,1.7
200909,76.0,-1.9
200910,64.3,-3.3
200911,59.3,3.2
200912,43.9,-4.1
201001,45.0,-0.8
201002,43.4,-6.4
201003,55.4,-1.7
201004,66.1,0.6
201005,75.9,2.9
201006,83.5,3.1
201007,84.0,0.0
201008,87.4,3.3
201009,79.3,1.4
201010,67.8,0.2
201011,59.3,3.2
201012,50.2,2.2
201101,45.2,-0.6
201102,51.0,1.2
201103,61.9,4.8
201104,71.1,5.6
201105,74.9,1.9
201106,85.8,5.4
201107,89.2,5.2
201108,91.4,7.3
201109,80.4,2.5
201110,68.3,0.7
201111,58.4,2.3
201112,48.7,0.7
201201,50.2,4.4
201202,53.6,3.8
201203,63.3,6.2
201204,70.2,4.7
201205,76.5,3.5
201206,82.5,2.1
201207,84.4,0.4
201208,85.1,1.0
