Webb County, Texas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,61.0,6.7
200002,67.5,9.1
200003,72.6,7.2
200004,73.8,0.5
200005,82.8,3.5
200006,84.4,0.3
200007,88.1,2.0
200008,86.4,0.4
200009,82.8,1.6
200010,74.1,1.0
200011,61.5,-1.3
200012,50.4,-5.2
200101,53.8,-0.5
200102,62.7,4.3
200103,61.5,-3.9
200104,75.9,2.6
200105,81.0,1.7
200106,86.7,2.6
200107,88.0,1.9
200108,87.0,1.0
200109,80.3,-0.9
200110,73.9,0.8
200111,67.3,4.5
200112,57.3,1.7
200201,58.7,4.4
200202,56.4,-2.0
200203,65.6,0.2
200204,78.8,5.5
200205,82.3,3.0
200206,85.9,1.8
200207,84.0,-2.1
200208,86.6,0.6
200209,79.2,-2.0
200210,74.2,1.1
200211,60.3,-2.5
200212,57.0,1.4
200301,53.3,-1.0
200302,57.6,-0.8
200303,64.8,-0.6
200304,73.8,0.5
200305,84.2,4.9
200306,85.2,1.1
200307,84.1,-2.0
200308,86.0,0.0
200309,79.0,-2.2
200310,72.7,-0.4
200311,65.5,2.7
200312,57.1,1.5
200401,57.1,2.8
200402,57.6,-0.8
200403,69.0,3.6
200404,70.0,-3.3
200405,77.5,-1.8
200406,83.9,-0.2
200407,84.2,-1.9
200408,84.8,-1.2
200409,80.1,-1.1
200410,79.1,6.0
200411,64.8,2.0
200412,55.0,-0.6
200501,59.1,4.8
200502,60.4,2.0
200503,66.4,1.0
200504,71.8,-1.5
200505,79.3,0.0
200506,85.3,1.2
200507,86.9,0.8
200508,87.3,1.3
200509,85.8,4.6
200510,73.7,0.6
200511,67.4,4.6
200512,56.0,0.4
200601,60.8,6.5
200602,59.3,0.9
200603,71.8,6.4
200604,79.7,6.4
200605,82.6,3.3
200606,85.3,1.2
200607,85.2,-0.9
200608,87.6,1.6
200609,81.2,0.0
200610,74.4,1.3
200611,66.7,3.9
200612,55.8,0.2
200701,51.3,-3.0
200702,59.6,1.2
200703,69.8,4.4
200704,70.0,-3.3
200705,78.0,-1.3
200706,82.6,-1.5
200707,81.9,-4.2
200708,84.2,-1.8
200709,81.7,0.5
200710,74.8,1.7
200711,66.0,3.2
200712,60.3,4.7
200801,55.5,1.2
200802,65.4,7.0
200803,68.5,3.1
200804,75.1,1.8
200805,82.0,2.7
200806,87.2,3.1
200807,83.0,-3.1
200808,84.3,-1.7
200809,79.3,-1.9
200810,73.0,-0.1
200811,64.8,2.0
200812,57.6,2.0
200901,58.6,4.3
200902,64.0,5.6
200903,68.4,3.0
200904,75.4,2.1
200905,83.1,3.8
200906,87.3,3.2
200907,90.5,4.4
200908,89.3,3.3
200909,80.2,-1.0
200910,74.5,1.4
200911,63.2,0.4
200912,50.8,-4.8
201001,54.3,0.0
201002,53.7,-4.7
201003,63.1,-2.3
201004,72.8,-0.5
201005,80.3,1.0
201006,85.6,1.5
201007,84.2,-1.9
201008,87.3,1.3
201009,81.9,0.7
201010,73.6,0.5
201011,65.5,2.7
201012,58.1,2.5
201101,54.3,0.0
201102,59.3,0.9
201103,71.9,6.5
201104,79.9,6.6
201105,82.2,2.9
201106,87.2,3.1
201107,88.6,2.5
201108,90.8,4.8
201109,85.2,4.0
201110,74.0,0.9
201111,65.5,2.7
201112,55.3,-0.3
201201,58.6,4.3
201202,60.0,1.6
201203,70.9,5.5
201204,78.2,4.9
201205,81.5,2.2
201206,87.5,3.4
201207,86.9,0.8
201208,88.6,2.6
201209,82.5,1.3
201210,75.7,2.6
201211,67.0,4.2
201212,60.8,5.2
201301,58.0,3.7
201302,63.4,5.0
201303,68.0,2.6
201304,72.7,-0.6
201305,78.9,-0.4
201306,86.1,2.0
201307,86.0,-0.1
201308,87.6,1.6
201309,81.6,0.4
201310,75.1,2.0
201311,62.0,-0.8
201312,53.7,-1.9
201401,52.4,-1.9
201402,58.5,0.1
201403,63.5,-1.9
201404,74.1,0.8
201405,77.7,-1.6
201406,86.4,2.3
201407,86.2,0.1
201408,88.1,2.1
201409,81.2,0.0
201410,76.9,3.8
201411,59.1,-3.7
201412,58.9,3.3
201501,51.1,-3.2
201502,57.0,-1.4
201503,61.7,-3.7
201504,73.0,-0.3
201505,78.2,-1.1
201506,82.1,-2.0
201507,86.5,0.4
201508,87.0,1.0
201509,83.4,2.2
201510,77.5,4.4
201511,66.1,3.3
201512,60.2,4.6
201601,54.9,0.6
201602,64.4,6.0
201603,70.5,5.1
201604,75.1,1.8
201605,79.4,0.1
201606,84.4,0.3
201607,88.7,2.6
201608,85.5,-0.5
201609,82.9,1.7
201610,77.0,3.9
201611,68.9,6.1
201612,58.7,3.1
201701,61.6,7.3
201702,68.6,10.2
201703,70.9,5.5
201704,74.7,1.4
201705,79.3,0.0
201706,85.4,1.3
201707,87.5,1.4
201708,86.7,0.7
201709,82.5,1.3
201710,72.6,-0.5
201711,68.2,5.4
201712,55.0,-0.6
201801,51.4,-2.9
201802,63.5,5.1
201803,71.0,5.6
201804,71.9,-1.4
201805,82.6,3.3
201806,86.9,2.8
201807,86.9,0.8
201808,87.1,1.1
201809,80.8,-0.4
201810,71.2,-1.9
201811,59.9,-2.9
201812,57.3,1.7
201901,54.7,0.4
201902,60.8,2.4
201903,65.2,-0.2
201904,71.2,-2.1
201905,81.2,1.9
201906,87.2,3.1
201907,88.2,2.1
201908,90.6,4.6
201909,85.8,4.6
201910,76.1,3.0
201911,61.8,-1.0
201912,60.0,4.4
202001,60.9,6.6
