Salt Lake County, Utah, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,32.1,5.7
200002,37.0,6.2
200003,38.7,1.6
200004,50.4,5.2
200005,57.6,3.3
200006,66.8,3.5
200007,75.4,3.6
200008,74.1,4.3
200009,61.7,1.3
200010,49.1,0.3
200011,29.7,-6.8
200012,30.2,2.1
200101,26.8,0.4
200102,32.0,1.2
200103,41.4,4.3
200104,46.3,1.1
200105,58.9,4.6
200106,66.6,3.3
200107,74.3,2.5
200108,74.4,4.6
200109,66.2,5.8
200110,51.9,3.1
200111,40.1,3.6
200112,26.0,-2.1
200201,25.5,-0.9
200202,28.3,-2.5
200203,35.2,-1.9
200204,47.9,2.7
200205,55.6,1.3
200206,67.4,4.1
200207,76.7,4.9
200208,70.8,1.0
200209,61.2,0.8
200210,46.4,-2.4
200211,35.4,-1.1
200212,31.4,3.3
200301,35.9,9.5
200302,30.7,-0.1
200303,40.2,3.1
200304,45.9,0.7
200305,56.6,2.3
200306,65.2,1.9
200307,77.7,5.9
200308,74.1,4.3
200309,61.8,1.4
200310,55.0,6.2
200311,33.5,-3.0
200312,32.0,3.9
200401,23.6,-2.8
200402,27.4,-3.4
200403,44.6,7.5
200404,48.0,2.8
200405,55.7,1.4
200406,65.4,2.1
200407,72.8,1.0
200408,68.7,-1.1
200409,60.6,0.2
200410,49.1,0.3
200411,36.7,0.2
200412,30.9,2.8
200501,33.0,6.6
200502,33.6,2.8
200503,39.0,1.9
200504,46.0,0.8
200505,55.0,0.7
200506,61.2,-2.1
200507,75.0,3.2
200508,70.8,1.0
200509,60.8,0.4
200510,50.5,1.7
200511,39.3,2.8
200512,29.3,1.2
200601,31.1,4.7
200602,30.8,0.0
200603,36.7,-0.4
200604,48.5,3.3
200605,58.1,3.8
200606,67.7,4.4
200607,76.1,4.3
200608,70.5,0.7
200609,58.7,-1.7
200610,47.3,-1.5
200611,38.6,2.1
200612,28.8,0.7
200701,22.5,-3.9
200702,34.3,3.5
200703,43.3,6.2
200704,48.3,3.1
200705,57.8,3.5
200706,67.7,4.4
200707,77.1,5.3
200708,73.8,4.0
200709,61.8,1.4
200710,49.4,0.6
200711,40.6,4.1
200712,25.7,-2.4
200801,23.6,-2.8
200802,30.2,-0.6
200803,36.0,-1.1
200804,41.8,-3.4
200805,52.6,-1.7
200806,64.0,0.7
200807,74.6,2.8
200808,71.8,2.0
200809,61.5,1.1
200810,50.3,1.5
200811,41.3,4.8
200812,28.3,0.2
200901,29.9,3.5
200902,33.2,2.4
200903,38.5,1.4
200904,45.0,-0.2
200905,56.9,2.6
200906,61.5,-1.8
200907,72.8,1.0
200908,69.5,-0.3
200909,65.1,4.7
200910,44.9,-3.9
200911,39.7,3.2
200912,23.0,-5.1
201001,29.4,3.0
201002,31.8,1.0
201003,38.8,1.7
201004,44.2,-1.0
201005,49.0,-5.3
201006,63.7,0.4
201007,73.3,1.5
201008,70.3,0.5
201009,64.2,3.8
201010,51.8,3.0
201011,35.5,-1.0
201012,32.8,4.7
201101,26.5,0.1
201102,30.0,-0.8
201103,39.1,2.0
201104,41.6,-3.6
201105,49.6,-4.7
201106,61.6,-1.7
201107,72.4,0.6
201108,73.2,3.4
201109,64.5,4.1
201110,50.6,1.8
201111,36.6,0.1
201112,28.0,-0.1
201201,31.6,5.2
201202,32.4,1.6
201203,43.9,6.8
201204,49.8,4.6
201205,56.5,2.2
201206,67.7,4.4
201207,74.8,3.0
201208,74.6,4.8
201209,64.5,4.1
201210,50.4,1.6
201211,42.3,5.8
201212,30.4,2.3
201301,21.2,-5.2
201302,27.8,-3.0
201303,40.6,3.5
201304,43.8,-1.4
201305,56.1,1.8
201306,68.2,4.9
201307,75.5,3.7
201308,72.9,3.1
201309,62.5,2.1
201310,46.8,-2.0
201311,39.9,3.4
201312,24.2,-3.9
201401,29.9,3.5
201402,35.8,5.0
201403,41.8,4.7
201404,46.6,1.4
201405,57.2,2.9
201406,64.8,1.5
201407,75.5,3.7
201408,68.4,-1.4
201409,64.9,4.5
201410,53.8,5.0
201411,38.3,1.8
201412,33.6,5.5
201501,33.3,6.9
201502,39.8,9.0
201503,45.6,8.5
201504,47.7,2.5
201505,54.8,0.5
201506,71.2,7.9
201507,70.9,-0.9
201508,71.6,1.8
201509,66.1,5.7
201510,55.5,6.7
201511,35.7,-0.8
201512,28.7,0.6
201601,28.6,2.2
201602,34.9,4.1
201603,42.5,5.4
201604,49.3,4.1
201605,55.0,0.7
201606,70.7,7.4
201607,75.1,3.3
201608,72.6,2.8
201609,62.3,1.9
201610,53.7,4.9
201611,43.6,7.1
201612,27.8,-0.3
201701,26.7,0.3
201702,36.8,6.0
201703,46.4,9.3
201704,45.4,0.2
201705,56.4,2.1
201706,68.6,5.3
201707,76.9,5.1
201708,73.1,3.3
201709,61.0,0.6
201710,47.8,-1.0
201711,43.8,7.3
201712,31.3,3.2
201801,35.1,8.7
201802,33.5,2.7
201803,40.0,2.9
201804,48.7,3.5
201805,58.5,4.2
201806,68.5,5.2
201807,77.4,5.6
201808,72.7,2.9
201809,66.6,6.2
201810,48.4,-0.4
201811,35.8,-0.7
201812,28.8,0.7
201901,28.5,2.1
201902,30.6,-0.2
201903,38.5,1.4
201904,47.8,2.6
201905,51.8,-2.5
201906,63.7,0.4
201907,75.1,3.3
201908,73.4,3.6
201909,62.7,2.3
201910,42.3,-6.5
201911,39.5,3.0
201912,30.8,2.7
202001,31.9,5.5
