Lunenburg County, Virginia, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,35.5,-1.2
200002,42.5,4.0
200003,51.4,4.8
200004,54.8,-0.9
200005,66.9,2.1
200006,74.3,1.6
200007,73.9,-2.7
200008,74.2,-0.7
200009,66.8,-1.9
200010,58.3,0.7
200011,45.2,-2.0
200012,31.8,-6.7
200101,36.4,-0.3
200102,42.4,3.9
200103,43.8,-2.8
200104,57.2,1.5
200105,64.0,-0.8
200106,73.4,0.7
200107,72.9,-3.7
200108,76.7,1.8
200109,66.3,-2.4
200110,56.0,-1.6
200111,52.6,5.4
200112,45.2,6.7
200201,40.0,3.3
200202,42.3,3.8
200203,48.2,1.6
200204,59.6,3.9
200205,63.8,-1.0
200206,75.0,2.3
200207,78.8,2.2
200208,77.2,2.3
200209,70.4,1.7
200210,59.1,1.5
200211,46.2,-1.0
200212,37.4,-1.1
200301,33.3,-3.4
200302,36.8,-1.7
200303,48.2,1.6
200304,55.5,-0.2
200305,63.4,-1.4
200306,70.6,-2.1
200307,76.1,-0.5
200308,77.0,2.1
200309,67.9,-0.8
200310,56.2,-1.4
200311,53.6,6.4
200312,38.4,-0.1
200401,34.1,-2.6
200402,37.8,-0.7
200403,49.6,3.0
200404,57.4,1.7
200405,71.3,6.5
200406,73.0,0.3
200407,76.6,0.0
200408,73.4,-1.5
200409,69.1,0.4
200410,58.1,0.5
200411,50.0,2.8
200412,39.9,1.4
200501,39.4,2.7
200502,40.8,2.3
200503,43.1,-3.5
200504,56.7,1.0
200505,61.7,-3.1
200506,73.2,0.5
200507,79.6,3.0
200508,77.7,2.8
200509,73.0,4.3
200510,59.7,2.1
200511,50.3,3.1
200512,37.1,-1.4
200601,44.4,7.7
200602,39.6,1.1
200603,47.5,0.9
200604,59.5,3.8
200605,62.3,-2.5
200606,72.9,0.2
200607,77.8,1.2
200608,78.8,3.9
200609,66.8,-1.9
200610,55.6,-2.0
200611,49.8,2.6
200612,44.7,6.2
200701,42.3,5.6
200702,35.0,-3.5
200703,50.7,4.1
200704,55.9,0.2
200705,65.6,0.8
200706,73.6,0.9
200707,76.0,-0.6
200708,79.5,4.6
200709,71.4,2.7
200710,63.8,6.2
200711,47.9,0.7
200712,43.3,4.8
200801,38.4,1.7
200802,42.6,4.1
200803,49.1,2.5
200804,56.7,1.0
200805,62.5,-2.3
200806,76.6,3.9
200807,76.7,0.1
200808,74.8,-0.1
200809,69.2,0.5
200810,56.1,-1.5
200811,46.3,-0.9
200812,42.6,4.1
200901,35.6,-1.1
200902,41.4,2.9
200903,46.2,-0.4
200904,57.2,1.5
200905,66.0,1.2
200906,72.9,0.2
200907,74.0,-2.6
200908,77.2,2.3
200909,67.7,-1.0
200910,56.5,-1.1
200911,51.2,4.0
200912,37.9,-0.6
201001,34.6,-2.1
201002,34.8,-3.7
201003,48.9,2.3
201004,59.9,4.2
201005,67.5,2.7
201006,78.0,5.3
201007,79.6,3.0
201008,77.4,2.5
201009,71.7,3.0
201010,59.7,2.1
201011,47.6,0.4
201012,32.6,-5.9
201101,35.2,-1.5
201102,43.2,4.7
201103,48.0,1.4
201104,59.5,3.8
201105,65.9,1.1
201106,74.7,2.0
201107,79.4,2.8
201108,76.1,1.2
201109,70.0,1.3
201110,57.2,-0.4
201111,51.3,4.1
201112,44.8,6.3
201201,41.2,4.5
201202,43.8,5.3
201203,56.8,10.2
201204,56.7,1.0
201205,68.4,3.6
201206,71.4,-1.3
201207,80.7,4.1
201208,75.3,0.4
201209,68.3,-0.4
201210,57.6,0.0
201211,44.2,-3.0
201212,45.1,6.6
201301,40.8,4.1
201302,39.0,0.5
201303,42.0,-4.6
201304,58.6,2.9
201305,64.1,-0.7
201306,74.5,1.8
201307,77.5,0.9
201308,73.6,-1.3
201309,68.4,-0.3
201310,59.3,1.7
201311,46.2,-1.0
201312,42.7,4.2
201401,32.8,-3.9
201402,40.0,1.5
201403,41.7,-4.9
201404,56.9,1.2
201405,67.0,2.2
201406,74.2,1.5
201407,76.2,-0.4
201408,73.0,-1.9
201409,69.9,1.2
201410,59.8,2.2
201411,44.3,-2.9
201412,42.4,3.9
201501,36.8,0.1
201502,32.5,-6.0
201503,46.1,-0.5
201504,58.0,2.3
201505,68.7,3.9
201506,75.8,3.1
201507,77.2,0.6
201508,75.2,0.3
201509,70.8,2.1
201510,57.4,-0.2
201511,52.7,5.5
201512,51.0,12.5
201601,35.6,-1.1
201602,41.6,3.1
201603,53.9,7.3
201604,56.6,0.9
201605,63.5,-1.3
201606,72.7,0.0
201607,78.8,2.2
201608,78.9,4.0
201609,73.7,5.0
201610,61.3,3.7
201611,49.2,2.0
201612,41.2,2.7
201701,41.1,4.4
201702,47.9,9.4
201703,48.2,1.6
201704,62.1,6.4
201705,65.2,0.4
201706,72.9,0.2
201707,78.8,2.2
201708,74.5,-0.4
201709,68.7,0.0
201710,62.2,4.6
201711,47.7,0.5
201712,39.6,1.1
201801,33.5,-3.2
201802,47.8,9.3
201803,43.2,-3.4
201804,54.7,-1.0
201805,71.5,6.7
201806,74.9,2.2
201807,76.4,-0.2
201808,77.1,2.2
201809,74.7,6.0
201810,60.7,3.1
201811,46.2,-1.0
201812,41.4,2.9
201901,39.6,2.9
201902,43.9,5.4
201903,45.3,-1.3
201904,59.5,3.8
201905,71.0,6.2
201906,72.7,0.0
201907,79.0,2.4
201908,76.7,1.8
201909,74.6,5.9
201910,62.0,4.4
201911,45.2,-2.0
201912,43.2,4.7
202001,42.0,5.3
