Norfolk City, Virginia, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,39.7,-0.8
200002,45.1,3.6
200003,52.8,4.0
200004,57.4,0.4
200005,69.8,3.5
200006,75.9,1.7
200007,76.4,-2.0
200008,76.7,-0.4
200009,71.2,-0.9
200010,62.1,0.4
200011,48.8,-2.5
200012,37.8,-5.0
200101,39.4,-1.1
200102,44.2,2.7
200103,46.9,-1.9
200104,58.4,1.4
200105,66.9,0.6
200106,76.0,1.8
200107,76.0,-2.4
200108,78.9,1.8
200109,70.3,-1.8
200110,61.5,-0.2
200111,56.4,5.1
200112,49.8,7.0
200201,44.7,4.2
200202,45.6,4.1
200203,52.0,3.2
200204,62.4,5.4
200205,66.5,0.2
200206,76.6,2.4
200207,80.4,2.0
200208,79.6,2.5
200209,73.8,1.7
200210,64.0,2.3
200211,50.5,-0.8
200212,41.9,-0.9
200301,35.7,-4.8
200302,40.3,-1.2
200303,51.0,2.2
200304,57.6,0.6
200305,64.9,-1.4
200306,74.0,-0.2
200307,79.0,0.6
200308,79.4,2.3
200309,72.8,0.7
200310,61.1,-0.6
200311,56.8,5.5
200312,43.0,0.2
200401,37.5,-3.0
200402,41.4,-0.1
200403,50.8,2.0
200404,59.5,2.5
200405,73.1,6.8
200406,75.2,1.0
200407,79.2,0.8
200408,76.4,-0.7
200409,73.1,1.0
200410,61.5,-0.2
200411,53.6,2.3
200412,44.4,1.6
200501,42.0,1.5
200502,42.0,0.5
200503,45.4,-3.4
200504,57.6,0.6
200505,62.8,-3.5
200506,75.2,1.0
200507,81.1,2.7
200508,80.5,3.4
200509,75.9,3.8
200510,64.0,2.3
200511,54.7,3.4
200512,42.0,-0.8
200601,47.7,7.2
200602,42.5,1.0
200603,49.5,0.7
200604,60.6,3.6
200605,66.0,-0.3
200606,74.5,0.3
200607,80.3,1.9
200608,80.9,3.8
200609,70.4,-1.7
200610,61.1,-0.6
200611,54.4,3.1
200612,48.5,5.7
200701,46.2,5.7
200702,37.7,-3.8
200703,51.4,2.6
200704,57.4,0.4
200705,65.6,-0.7
200706,75.4,1.2
200707,78.7,0.3
200708,79.9,2.8
200709,74.8,2.7
200710,69.8,8.1
200711,52.0,0.7
200712,48.2,5.4
200801,42.2,1.7
200802,46.6,5.1
200803,52.6,3.8
200804,59.2,2.2
200805,65.3,-1.0
200806,78.8,4.6
200807,78.9,0.5
200808,77.6,0.5
200809,73.9,1.8
200810,60.4,-1.3
200811,49.2,-2.1
200812,47.8,5.0
200901,38.0,-2.5
200902,43.0,1.5
200903,47.5,-1.3
200904,59.4,2.4
200905,69.2,2.9
200906,76.0,1.8
200907,77.5,-0.9
200908,80.0,2.9
200909,71.3,-0.8
200910,62.7,1.0
200911,55.3,4.0
200912,43.8,1.0
201001,38.0,-2.5
201002,37.2,-4.3
201003,51.5,2.7
201004,61.9,4.9
201005,70.1,3.8
201006,80.3,6.1
201007,82.1,3.7
201008,80.0,2.9
201009,74.9,2.8
201010,63.7,2.0
201011,51.8,0.5
201012,34.8,-8.0
201101,36.1,-4.4
201102,45.3,3.8
201103,48.9,0.1
201104,62.0,5.0
201105,69.5,3.2
201106,78.1,3.9
201107,81.9,3.5
201108,79.4,2.3
201109,73.6,1.5
201110,61.1,-0.6
201111,55.0,3.7
201112,48.9,6.1
201201,44.8,4.3
201202,46.0,4.5
201203,58.5,9.7
201204,59.3,2.3
201205,70.2,3.9
201206,74.3,0.1
201207,82.4,4.0
201208,79.0,1.9
201209,72.1,0.0
201210,62.6,0.9
201211,48.2,-3.1
201212,49.6,6.8
201301,43.4,2.9
201302,42.6,1.1
201303,45.2,-3.6
201304,59.8,2.8
201305,67.5,1.2
201306,76.4,2.2
201307,80.5,2.1
201308,76.6,-0.5
201309,71.2,-0.9
201310,64.1,2.4
201311,51.0,-0.3
201312,46.5,3.7
201401,36.7,-3.8
201402,41.2,-0.3
201403,45.9,-2.9
201404,57.9,0.9
201405,69.8,3.5
201406,76.2,2.0
201407,78.2,-0.2
201408,76.7,-0.4
201409,73.7,1.6
201410,64.7,3.0
201411,49.2,-2.1
201412,46.4,3.6
201501,40.2,-0.3
201502,32.9,-8.6
201503,47.7,-1.1
201504,59.4,2.4
201505,70.3,4.0
201506,78.7,4.5
201507,80.0,1.6
201508,78.1,1.0
201509,75.6,3.5
201510,63.0,1.3
201511,57.2,5.9
201512,57.3,14.5
201601,40.5,0.0
201602,44.0,2.5
201603,55.4,6.6
201604,57.2,0.2
201605,65.4,-0.9
201606,74.9,0.7
201607,81.6,3.2
201608,80.9,3.8
201609,75.6,3.5
201610,65.0,3.3
201611,52.0,0.7
201612,44.6,1.8
201701,44.5,4.0
201702,50.7,9.2
201703,49.4,0.6
201704,65.2,8.2
201705,67.6,1.3
201706,76.4,2.2
201707,81.3,2.9
201708,78.1,1.0
201709,73.1,1.0
201710,65.7,4.0
201711,52.2,0.9
201712,42.5,-0.3
201801,37.0,-3.5
201802,50.6,9.1
201803,45.6,-3.2
201804,57.4,0.4
201805,73.3,7.0
201806,77.9,3.7
201807,78.8,0.4
201808,80.8,3.7
201809,78.8,6.7
201810,65.2,3.5
201811,52.0,0.7
201812,46.8,4.0
201901,42.4,1.9
201902,47.6,6.1
201903,48.9,0.1
201904,63.0,6.0
201905,73.4,7.1
201906,76.8,2.6
201907,81.6,3.2
201908,79.4,2.3
201909,76.1,4.0
201910,67.1,5.4
201911,49.8,-1.5
201912,48.5,5.7
202001,47.3,6.8
