Okanogan County, Washington, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,23.7,2.7
200002,28.4,2.3
200003,34.8,1.7
200004,44.2,2.6
200005,47.5,-1.8
200006,55.6,0.0
200007,61.5,-1.1
200008,62.1,0.3
200009,52.9,-1.1
200010,42.7,-0.2
200011,27.4,-3.1
200012,21.5,-2.0
200101,26.1,5.1
200102,25.5,-0.6
200103,35.0,1.9
200104,39.8,-1.8
200105,50.5,1.2
200106,53.2,-2.4
200107,62.6,0.0
200108,64.9,3.1
200109,57.6,3.6
200110,40.7,-2.2
200111,34.7,4.2
200112,25.9,2.4
200201,27.0,6.0
200202,28.4,2.3
200203,29.3,-3.8
200204,41.2,-0.4
200205,46.7,-2.6
200206,57.7,2.1
200207,65.1,2.5
200208,62.3,0.5
200209,54.6,0.6
200210,42.1,-0.8
200211,34.3,3.8
200212,28.6,5.1
200301,28.9,7.9
200302,29.7,3.6
200303,35.3,2.2
200304,40.9,-0.7
200305,47.8,-1.5
200306,58.7,3.1
200307,66.4,3.8
200308,64.8,3.0
200309,57.1,3.1
200310,46.5,3.6
200311,26.5,-4.0
200312,24.0,0.5
200401,23.7,2.7
200402,28.8,2.7
200403,38.0,4.9
200404,45.3,3.7
200405,49.1,-0.2
200406,58.5,2.9
200407,65.6,3.0
200408,65.3,3.5
200409,52.7,-1.3
200410,44.3,1.4
200411,33.1,2.6
200412,28.2,4.7
200501,23.2,2.2
200502,30.4,4.3
200503,37.6,4.5
200504,42.8,1.2
200505,51.8,2.5
200506,54.0,-1.6
200507,62.7,0.1
200508,64.1,2.3
200509,52.9,-1.1
200510,43.9,1.0
200511,29.5,-1.0
200512,22.4,-1.1
200601,29.1,8.1
200602,26.3,0.2
200603,33.5,0.4
200604,42.2,0.6
200605,50.1,0.8
200606,57.4,1.8
200607,66.7,4.1
200608,62.6,0.8
200609,56.7,2.7
200610,43.7,0.8
200611,28.3,-2.2
200612,22.7,-0.8
200701,21.9,0.9
200702,29.6,3.5
200703,36.1,3.0
200704,41.1,-0.5
200705,50.6,1.3
200706,54.7,-0.9
200707,67.2,4.6
200708,61.6,-0.2
200709,54.0,0.0
200710,41.0,-1.9
200711,30.2,-0.3
200712,22.3,-1.2
200801,19.4,-1.6
200802,28.8,2.7
200803,32.2,-0.9
200804,37.0,-4.6
200805,51.2,1.9
200806,54.6,-1.0
200807,63.4,0.8
200808,62.2,0.4
200809,55.0,1.0
200810,42.7,-0.2
200811,33.7,3.2
200812,18.1,-5.4
200901,21.9,0.9
200902,25.5,-0.6
200903,29.7,-3.4
200904,40.5,-1.1
200905,49.5,0.2
200906,57.8,2.2
200907,66.1,3.5
200908,64.4,2.6
200909,57.6,3.6
200910,39.0,-3.9
200911,32.4,1.9
200912,19.9,-3.6
201001,29.1,8.1
201002,32.4,6.3
201003,36.4,3.3
201004,40.9,-0.7
201005,45.5,-3.8
201006,53.5,-2.1
201007,63.0,0.4
201008,61.3,-0.5
201009,53.2,-0.8
201010,44.9,2.0
201011,28.1,-2.4
201012,24.8,1.3
201101,25.3,4.3
201102,23.8,-2.3
201103,33.0,-0.1
201104,36.2,-5.4
201105,46.0,-3.3
201106,53.0,-2.6
201107,58.8,-3.8
201108,63.8,2.0
201109,58.7,4.7
201110,42.2,-0.7
201111,28.9,-1.6
201112,25.1,1.6
201201,22.4,1.4
201202,27.8,1.7
201203,32.1,-1.0
201204,42.1,0.5
201205,47.8,-1.5
201206,52.0,-3.6
201207,64.2,1.6
201208,65.1,3.3
201209,58.2,4.2
201210,43.0,0.1
201211,32.7,2.2
201212,25.4,1.9
201301,22.5,1.5
201302,29.2,3.1
201303,35.2,2.1
201304,40.8,-0.8
201305,50.6,1.3
201306,55.3,-0.3
201307,66.0,3.4
201308,63.6,1.8
201309,56.4,2.4
201310,42.6,-0.3
201311,30.9,0.4
201312,21.2,-2.3
201401,28.8,7.8
201402,22.0,-4.1
201403,33.8,0.7
201404,41.6,0.0
201405,51.1,1.8
201406,55.9,0.3
201407,67.7,5.1
201408,65.4,3.6
201409,56.3,2.3
201410,46.8,3.9
201411,29.8,-0.7
201412,26.9,3.4
201501,28.3,7.3
201502,34.6,8.5
201503,40.3,7.2
201504,42.0,0.4
201505,53.4,4.1
201506,63.7,8.1
201507,67.1,4.5
201508,64.6,2.8
201509,53.1,-0.9
201510,48.0,5.1
201511,30.2,-0.3
201512,24.0,0.5
201601,26.3,5.3
201602,31.6,5.5
201603,36.9,3.8
201604,48.6,7.0
201605,52.6,3.3
201606,57.4,1.8
201607,61.5,-1.1
201608,64.2,2.4
201609,53.6,-0.4
201610,42.0,-0.9
201611,37.7,7.2
201612,18.4,-5.1
201701,18.4,-2.6
201702,23.6,-2.5
201703,33.2,0.1
201704,39.9,-1.7
201705,50.6,1.3
201706,56.9,1.3
201707,66.8,4.2
201708,67.4,5.6
201709,56.7,2.7
201710,41.5,-1.4
201711,31.3,0.8
201712,22.3,-1.2
201801,27.9,6.9
201802,25.0,-1.1
201803,33.4,0.3
201804,40.9,-0.7
201805,55.9,6.6
201806,55.4,-0.2
201807,66.1,3.5
201808,64.2,2.4
201809,53.0,-1.0
201810,43.4,0.5
201811,33.0,2.5
201812,26.4,2.9
201901,27.8,6.8
201902,17.8,-8.3
201903,32.0,-1.1
201904,42.0,0.4
201905,53.1,3.8
201906,57.3,1.7
201907,62.0,-0.6
201908,64.9,3.1
201909,53.4,-0.6
201910,38.2,-4.7
201911,32.7,2.2
201912,26.4,2.9
202001,26.0,5.0
